Error during initialization.;Fehler bei der Initialisierung
Error;Fehler
Error parsing on line %d. Incorrect file format?\nLine contents: %s;Fehler bei der Verarbeitung vn Zeile %d. Falsches Dateiformat?\nZeileninhalt: %s
Cannot close file :%s;Kann die Datei nicht schließen: %s
The program installation directory '%s' is read-only!;Kein Schreibzugriff auf das Programmverzeichnis '%s'!
Quant Analyzer will not work correctly, because it wouldn't be able to write changes to settings or database.;Das Programm wird nicht fehlerfrei ausgeführt, da es Änderungen an Einstellungen oder Datenbanken nicht speichern kann.
Please reinstall Quant Analyzer to a normal directory, for example C:\\Trading or C:\\QuantAnalyzer.;Bitte installiere StrategyQuant erneut in ein normales Verzeichnis, zum Beispiel C:\StrategyQuant.
Installation Error?;Installationsfehler?
OK;OK
Cancel;Abbrechen
Close;Schließen
Equity (%s);Equity (%s)
Cannot perform cross-over with different length parents.;Kreuzung von Eltern mit unterschiedlicher Länge nicht möglich.
Session;Session
Store chart data in the backtest result?;Chartdaten im Backtest-Ergebnis speichern?
Store Chart Data;Chartdaten speichern
Build options;Generierungsoptionen
Cannot start project.;Projekt kann nicht gestartet werden.
abe;abe
days;Tage
hours;Stunden
mins;Minuten
Others;andere
StrategyQuant Test Email;StrategyQuant Test-E-mail
This is a test email.;Dies ist eine Test-E-Mail
Test Email was sent to your email address.;Test-E-Mail wurde an deine Mailadresse geschickt.
Test Email could not be sent. Please check your SMTP settings.;Test-E-Mail konnte nicht gesendet werden. Bitte SMTP-Einstellungen überprüfen.
Monte Carlo trades manipulation;Monte Carlo Trades-Manipulation
This cross check uses Monte Carlo method to perform various simulations of resulting equity curve by manipulating the order of the trades.<br/>It allows you to quickly assess how much the good results are dependent on order of the trades.;Dieser Cross-Check nutzt die Monte-Carlo-Methode, um verschiedene Simulationen der resultierenden Ergebniskurve durchzuführen, indem die Reihenfolge der Trades verändert wird.<br/>So kannst du schnell herausfinden, wie stark die guten Ergebnisse von der Trade-Reihenfolge abhängen.
Monte Carlo retest methods;Monte Carlo Retest-Methoden
This cross check uses Monte Carlo methods that perform simulations that require retesting the strategy - using different spread, parameters or history data.<br/>Note that it is slow, strategy will have to be retested multiple times, depending on your number of simulations.;Dieser Cross-Check nutzt Monte-Carlo-Methoden mit Simulationen, die einen erneuten Retest der Strategie erfordern - mit verändertem Spread, Parametern oder Historiendaten.<br/>Beachte, dass dies länger dauert, da die Strategie, je nach Anzahl an Simulationen, mehrmals getestet werden muss.
Retest on additional markets;Retest auf anderen Märkten
This cross check retest the strategy on multiple additional markets (symbols).<br/>It allows you to compare the performance on multiple symbols, ideally you want to find the strategy that will work on multiple markets.;Dieser Cross-Check testet die Strategie erneut auf mehreren zusätzlichen Märkten (Symbolen).<br/>So kannst du die Performance auf verschiedenen Symbolen vergleichen - idealerweise sollte eine Strategie auf mehreren Märkten funktionieren.
Retest with higher precision;Retest mit höherer Präzision
This cross checks retests the strategy with higher precision.<br/>It can be used if you are using the lowest 'Selected timeframe' precision in the main backtest to quickly find and evaluate the valid strategies. You can then use this cross check to retest the strategy with higher precision to see if it performs in a same way with higher precision backtesting.;Dieser Cross-Check testet die Strategie erneut mit erhöhter Präzision.<br/>Er kann verwendet werden, wenn du die schnellste 'Ausgewählter Timeframe'-Präzision im Haupttest benutzt, um schnell die besten Strategien zu finden. Du kannst dann diesen Cross-Check verwenden, um die Strategie mit erhöhter Präzision zu testen und herauszufinden, ob sie sich bei erhöhter Präzision genauso verhält.
Walk-Forward Matrix;Walk-Forward Matrix
This cross check performs Walk-Forward Matrix evaluation of the strategy using the settings below.<br/>Be aware that WF Matrix is extremely slow, it consists of running a number of WF optimizations, which themselves are very slow.<br/>The number of backtests required can easily grow to thousands or even tens of thousands for one WF optimization,<br/>so it is a good idea to limit the maximum tests for one WF optimization to some realistic number. ;Dieser Cross-Check führt eine Walk-Forward Matrix-Auswertung der Strategie mit den unten angegebenen Einstellungen durch.<br/>Beachte, dass WF Matrix extrem langsam ist - sie besteht aus einer Anzahl WF-Optimierungen, welche ihrerseits bereits sehr langsam sind.<br/>Die Anzahl an erforderlichen Backtests kann schnell auf mehrere Tausend pro WF-Optimierung anwachsen,<br/>es ist also empfehlenswert, die Maximale Anzahl an Tests pro WF-Optimierung realistisch zu begrenzen. 
Walk-Forward Optimization;Walk-Forward Optimierung
This cross check performs Walk-Forward Optimization of the strategy using the settings below.<br/>Be aware that WF optimization is very slow, it requires repeated backtests of the strategy in different time ranges and using different parameter values.<br/>The number of backtests required can easily grow to thousands or even tens of thousands for one WF optimization, so it is a good idea to limit the maximum tests to some realistic number. ;Dieser Cross-Check führt eine Walk-Forward-Optimierung der Strategie mit den unten angegebenen Einstellungen durch.<br/>Beachte, dass WF-Optimierung sehr langsam ist - sie erfordert wiederholte Backtests der Strategie in verschiedenen Zeitrahmen und mit verschiedenen Parametern.<br/>Die Anzahl an erforderlichen Backtests kann schnell auf mehrere Tausend pro WF-Optimierung anwachsen,<br/>es ist also empfehlenswert, die Maximale Anzahl an Tests realistisch zu begrenzen. 
Cannot find MT4 data folder in default location '%s'.;MT4 Datenverzeichnis am Standardort '%s' nicht gefunden.
Data folder doesn't contain MT4 history files.;Datenverzeichnis enthält keine MT4 Historiendaten.
Main data backtest;Hauptdaten-Backtest
Net Profit (Return);Nettoprofit (Gewinn)
Return / Drawdown ratio;Gewinn- / Drawdown Verhältnis
R Expectancy (Van Tharp);Gewinnerwartung (Van Tharp)
Annual Return % / Max DD %;Jahresgewinn % / Max DD %
