Max records is set to a number lower than the current number of records in the databank. <br/><br/>Do you want to delete the overabundant records? If you click No, this change will be not applied.;Maximální počet záznamů je nastavený na číslo nižší než aktuální počet záznamů v databance. <br/><br/>Chcete odstranit nadbytečné záznamy? Pokud klepnete na tlačítko Ne, tato změna se neprovede.
Changing max records value...;Upravuji maximální hodnotu …
Deleting overabundant results...;Mazání nadbytečných výsledků ...
SQX Template Files;SQX Šablony
SQX Strategy Files;SQX Strategie
No items available.;Žádné položky k dispozici.
No results so far;Zatím žádné výsledky
Best strategy so far;Nejlepší strategie doposud
2nd Best strategy so far;2. Nejlepší strategie doposud
3rd Best strategy so far;3. Nejlepší strategie doposud
Symbol '%s' doesn't contain any data;Symbol '%s' neobsahuje žádná data
Preparing clone to timezone;Příprava klonování dat do časového pásma
Cancel export;Zrušit export
Do you want to keep the export file?;Chcete zachovat soubor exportu?
Output file must be filled;Výstupní soubor musí být vyplněn
Preparing export to CSV;Připravuje se export do CSV
Select export file;Vybrat soubor exportu
ExportData;Exportovat data
Export to MT4 works only with TICK data.;Export do MT4 pracuje pouze s tickovými daty.
Select MT4 installation folder;Vybrat složku instalace MT4
Select MT4 Data folder;Vybrat datovou složku MT4
Select MT4 data specification file;Vybrat specifikaci MT4 datového souboru
Preparing export to MT4;Připravuji export do MT4
Export to MT5 works only with TICK and M1 data.;Export do MT5 pracuje pouze s tickovými a M1 daty.
Instrument;Nástroj
Point value;Hodnota bodu
Pip/Tick size;Velikost Pip / Tick
Pip/Tick step;Pip / Tick krok
Default spread;Výchozí spread
Commissions;Poplatky
No instruments defined.;Nedefinovány žádné nástroje.
You have to select some record.;Budete muset vybrat nějaký záznam.
Are you sure you want to remove selected instruments (%d)?;Jste si jisti, že chcete odstranit vybrané nástroje (%d)?
Are you sure you want to remove instrument '%s'?;Jste si jisti, že chcete odstranit nástroj '%s'?
Remove instruments;Odebrat nástroje
Remove instrument;Odebrat nástroj
Session Name;Název seance
Start time;Čas spuštění
End time;Čas ukončení
SEOC;SEOC
No session times defined.;Nejsou definovány časy obchodní seance.
You must select at least one row;Je nutné vybrat alespoň jeden řádek
No;Ne
No session defined. Please define Monday session and try again;Nejsou definovány časy obchodní seance. Prosím definujte pondělní seanci a zkuste to znovu
No suitable Monday session found. Monday session must end on Monday or Tuesday;Pondělní seance není definována. Pondělní seance musí skončit v pondělí nebo v úterý
You have to create Monday session element;Musíte vytvořit pondělí seanci
Changes not saved;Změny nejsou uloženy
Do you really want to discard changes?;Opravdu chcete zahodit provedené změny?
Session template name not filled;Název šablony seance není vyplněn
No sessions defined;Žádné seance nejsou definovány
No session selected;Žádná seance není definována
Removing session;Odstraňuji seanci
Available data range;Dostupný rozsah dat
No Dukascopy symbols available.;Žádné Dukascopy symboly nejsou k dispozici.
No symbols selected;Nejsou vybrány symboly
Fast Data Download;Rychlé stahování dat
This option is available only for users with full licence, not for trial users.;Tato možnost je k dispozici pouze pro uživatele s plnou licencí (v trial verzi není dostupné).
Preparing Dukascopy data import;Příprava importu Dukascopy dat
You must select at least one Dukascopy record.;Je nutné vybrat alespoň jeden záznam Dukascopy.
Preparing TickDownloader data import;Příprava importu dat TickDownloader
Select TickDownloader data folder;Vyberte složku dat TickDownloader
You must select at least one File record.;Je nutné vybrat alespoň jeden soubor.
Delete data format;Smazat formát dat
New format error;Chyba nového formátu
Name cannot be empty;Název nemůže být prázdný
Select file to import;Vyberte soubor, který chcete importovat
ImportData;Importovat data
Select type for each column.;Vyberte typ pro každý sloupec.
Preparing File data import;Příprava importu dat souboru
Cancel import;Zrušit import
Do you really want to cancel the import?;Opravdu chcete zrušit import?
Profit Factor;Profit Factor
No annual stats available.;Roční statistiky nejsou k dispozici.
To use fitness '%s' you have to enable this cross check in Settings -> Cross checks.;Chcete-li používat fitness '%s' musíte povolit tuto metodu v Nastavení -> Cross checks.
Retest options;Možnosti retestu
Cannot delete view.;Nelze smazat pohled.
Code Editor;Editor kódu
Grid Control;Grid systém
Grid test;Grid test
Neural Network Trainer;Neuronové sítě
Custom Projects;Vlastní projekty
Wizard;Wizard
Monte Carlo trades manipulation;Monte Carlo manipulace s obchody
Monte Carlo retest;Monte Carlo retest
Retest on additional markets;Retest na dalších trzích
Retest with higher precision;Retest s vyšší přesností
Data are imported historical data into the program. Data manager allows you to import history from files, or to download it directly from online sources.;Historická data jsou importována do programu. Správce dat umožňuje importovat historii ze souborů, nebo si jej stáhnout přímo z internetových zdrojů.
Every data is linked with instrument that contains the definition of the imported symbol.;Data jsou spojena s vybraným instrumentem, který obsahuje definici importovaného symbolu.
Instruments;Nástroje
Instruments are symbol specifications. Here you specify what is their type, point value pip/tick size, etc.;Instrumenty jsou specifikace daného trhu. Zde určíte, co je jejich typ, hodnota bodu, velikosti pip / tick, atd.
For example, you can have multiple EURUSD data imported from various sources, but they all share the same instrument - EURUSD.;Například můžete mít více dat EURUSD importovaných z různých zdrojů, ale všechny mají stejný nástroj - EURUSD.
Sessions;Seance
Sessions are definitions of trading time, from market opening to market closing.;Seance jsou definice obchodních hodin od otevření do uzavření trhu.
Please note that they are not used and not supported in forex / MetaTrader, you can safely use Forex_247 session in MT4.;Vezměte prosím na vědomí, že nejsou používány ve forexu / MetaTraderu, můžete bez obav použít Forex_247 seanci v MT4.
Dukascopy data;Dukascopy data
File import;Import souborů
Trades on chart;Obchody na grafu
Portfolio correlation;Portfolio korelace
Monte Carlo tests;Monte Carlo testy
Source Code;Zdrojový kód
Strategy config;Konfigurace strategie
Walk-Forward Results;Walk-Forward výsledky
Test indicators;Testovat indikátory
Test indicator values between platforms;Testovat hodnoty indikátoru mezi platformami
Here you can choose the building blocks that will be used to generate every strategy. You can affect the probability of choosing a block by increasing its weight.<br>Every block has also advanced parameter settings that allow you to modify how block parameters are generated or define some predefined parameter sets to choose from.;Zde si můžete vybrat základní stavební bloky, které budou použity ke generování každé strategie. Můžete ovlivnit pravděpodobnost výběru bloku zvýšením jeho váhy.<br>Každý blok má k dispozici také pokročilá nastavení parametrů, které vám umožní upravit, jak jsou generovány parametry nebo definovat některé předdefinované sady parametrů.
Cross checks (robustness);Cross check testy (robustnost)
Cross checks allow you to run a sequence of further tests (cross checks) once the strategy passes the basic filters.<br/>You can have strategy retested with higher precision or run a Monte Carlo simulation or Optimization on it.<br/><br/>If you define also filters, you can automatically dismiss strategies that will not pass the cross check filter - this allows you to create a "strategy testing funnel" where only the strategies that pass all the tests are saved (this applies only to Builder).;Cross check umožňuje spustit sled dalších testů (ověřovacích testů), jakmile strategie projde základními filtry. <br/>Můžete mít strategii znovu testovánu s vyšší přesností nebo spustit simulaci Monte Carlo nebo další optimalizace. <br/><br/>Pokud definujete také filtry, můžete automaticky odmítnout strategie, které neprojdou přes cross checking. To vám umožní vytvořit „testovací trychtýř“, který uloží pouze ty strategie, které splní všechny testy (platí pouze v Builderu).
Configure trading engine, symbols and timeframes for the main backtest. You can configure also Out of sample (unseen) periods, and default spread, slippage, commissions.;Konfigurovat testovací engine, symboly a časové rámce pro hlavní backtest. Můžete nastavit také Out of Sample (neviděné) období, výchozí spread, skluz, poplatky.
Filter strategies;Filtrovat strategie
Genetic options;Nastavení genetiky
Configure Genetic options;Konfigurovat genetiku
Go To Task;Přejít na úlohy
Money management;Money management
Configure initial capital and desired position sizing method.;Konfigurace počátečního kapitálu a požadované metody money-managementu.
Notes;Poznámky
Save some notes about this configuration;Uložit poznámky o této konfiguraci
Notification / Pause;Oznámení / Pauza
Choose strategy to optimize or alternatively optimize all strategies in source databank. You can also configure optimization type - simple or Walk-Forward.;Vyberte strategii k optimalizaci nebo alternativně optimalizujte všechny strategie v databance. Můžete také nastavit typ optimalizace - jednoduchá nebo Walk-Forward.
Trading options define behavior of the strategy and affect how and when strategy trades. You can limit trading time to a range, close the trade at the end of range or limit maximum trades per day.;Možnosti obchodování určují chování strategie a ovlivňují, jak a kdy strategie obchoduje. Můžete omezit obchodování časově, uzavírání obchodu na konci rozsahu nebo omezit maximum obchodů za den.
Choose which strategy parameters will be optimized. If you optimize all strategies in databank the parameters are configured in an automatic mode.<br/>You can choose which categoes of parameters will be optimized - periods, exit parameters (Stop Loss, Profit Target), numbers, nonstants..;Vyberte, které parametry budou optimalizovány. Optimalizujete-li všechny strategie v databance, budou parametry nakonfigurovány v automatickém režimu <br/> Můžete si vybrat, které kategorie parametrů budou optimalizovány - období, parametry výstupu (Stop Loss, Profit Target), čísla, konstanty ..
Parts to improve;Části k vylepšení
Configure which parts of the strategy should be improved. You can further configure if you want to replace the whole part, or add new blocks to it.;Nastavte, která část strategie by měla být zlepšena. Dále můžete nastavit, zda chcete vyměnit celý díl, nebo přidat nové bloky.
