Block;OppositeBlock
ADX;ADX
ADXChangesDown;ADXChangesDown
ADXChangesUp;ADXChangesUp
ADXCrossDown;ADXCrossDown
ADXCrossUp;ADXCrossUp
ADXFalling;ADXFalling
ADXHigher;ADXHigher
ADXLower;ADXLower
ADXRising;ADXRising
AND;AND
ATR;ATR
ATRChangesDown;ATRChangesDown
ATRChangesUp;ATRChangesUp
ATRCrossDown;ATRCrossDown
ATRCrossUp;ATRCrossUp
ATRFalling;ATRFalling
ATRHigher;ATRHigher
ATRLower;ATRLower
ATRRising;ATRRising
AWOChangesDown;AWOChangesUp
AWOChangesUp;AWOChangesDown
AWOCrossDown;AWOCrossUp
AWOCrossUp;AWOCrossDown
AWOFalling;AWORising
AWOHigher;AWOLower
AWOLower;AWOHigher
AWORising;AWOFalling
Abs;Abs
AccountBalance;AccountBalance
AccountEquity;AccountEquity
AlwaysFalse;AlwaysFalse
AlwaysTrue;AlwaysTrue
Aroon;Aroon
AroonCrossesAbove;AroonCrossesBelow
AroonCrossesBelow;AroonCrossesAbove
AroonFallFromTop;AroonRiseFromBottom
AroonRiseFromBottom;AroonFallFromTop
Ask;Bid
AssignVariable;AssignVariable
AvgVolume;AvgVolume
AvgVolumeFalling;AvgVolumeFalling
AvgVolumeRising;AvgVolumeRising
AwesomeOscillator;AwesomeOscillator
BBBarClosesAboveDown;BBBarClosesBelowUp
BBBarClosesAboveUp;BBBarClosesBelowDown
BBBarClosesBelowDown;BBBarClosesAboveUp
BBBarClosesBelowUp;BBBarClosesAboveDown
BBBarOpensAboveDown;BBBarOpensBelowUp
BBBarOpensAboveDownAfterOpenBelow;BBBarOpensBelowUpAfterOpenAbove
BBBarOpensAboveUp;BBBarOpensBelowDown
BBBarOpensAboveUpAfterOpenBelow;BBBarOpensBelowDownAfterOpenAbove
BBBarOpensBelowDown;BBBarOpensAboveUp
BBBarOpensBelowDownAfterOpenAbove;BBBarOpensAboveUpAfterOpenBelow
BBBarOpensBelowUp;BBBarOpensAboveDown
BBBarOpensBelowUpAfterOpenAbove;BBBarOpensAboveDownAfterOpenBelow
BBLowerFalling;BBUpperRising
BBLowerRising;BBUpperFalling
BBRange;BBRange
BBUpperFalling;BBLowerRising
BBUpperRising;BBLowerFalling
BBWidthRatio;BBWidthRatio
BEPChangesDown;BUPChangesUp
BEPChangesUp;BUPChangesDown
BEPCrossDown;BUPCrossUp
BEPCrossUp;BUPCrossDown
BEPFalling;BUPRising
BEPHigher;BUPLower
BEPLower;BUPHigher
BEPRising;BUPFalling
BUPChangesDown;BEPChangesUp
BUPChangesUp;BEPChangesDown
BUPCrossDown;BEPCrossUp
BUPCrossUp;BEPCrossDown
BUPFalling;BEPRising
BUPHigher;BEPLower
BUPLower;BEPHigher
BUPRising;BEPFalling
BarDate;BarDate
