Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,99.81,100.97,99.72,100.77,73715522
2005-02-28,100.54,100.67,99.61,100.09,83660391
2005-03-01,100.23,100.85,100.23,100.61,57324269
2005-03-02,100.22,101.19,100.11,100.56,77401499
2005-03-03,100.96,101.17,100.16,100.6,74833524
2005-03-04,101.28,101.95,101.07,101.87,67691848
2005-03-07,101.81,102.28,101.58,101.91,52789969
2005-03-08,101.82,102.07,101.33,101.51,53826031
2005-03-09,101.22,101.48,100.37,100.38,88694761
2005-03-10,100.39,100.83,99.91,100.61,78691811
2005-03-11,100.86,101.01,99.7,99.91,70049913
2005-03-14,99.91,100.55,99.82,100.53,43788621
2005-03-15,100.76,100.8,99.65,99.69,75298894
2005-03-16,99.334,99.493,98.68,98.858,92456291
2005-03-17,99.026,99.364,98.74,99.066,75602315
2005-03-18,98.838,99.205,98.051,98.366,74571438
2005-03-21,98.512,98.572,97.714,98.011,74023883
2005-03-22,98.228,98.69,97.019,97.019,112467850
2005-03-23,97.039,97.694,96.895,97.101,86697229
2005-03-24,97.481,97.91,97.15,97.218,62684711
2005-03-28,97.441,97.87,97.355,97.355,56565961
2005-03-29,97.218,97.831,96.478,96.7,88021650
2005-03-30,97.019,98.099,96.905,98.08,75791620
2005-03-31,98.09,98.306,97.802,97.89,78384175
2005-04-01,98.433,98.75,97.019,97.451,117363040
2005-04-04,97.404,97.792,96.885,97.616,86290184
2005-04-05,97.724,98.238,97.654,98.09,60347735
2005-04-06,98.306,98.71,98.08,98.415,64240606
2005-04-07,98.268,98.976,98.178,98.956,56906858
2005-04-08,98.898,98.937,97.92,97.92,77476571
2005-04-11,98.159,98.277,97.772,98.011,55258898
2005-04-12,97.822,98.808,97.15,98.502,104317830
2005-04-13,98.385,98.591,97.209,97.346,79602552
2005-04-14,97.461,97.518,96.082,96.082,120070074
2005-04-15,96.055,96.429,94.687,94.726,161549430
2005-04-18,94.707,95.401,94.565,95.023,120884051
2005-04-19,95.517,96.025,95.297,95.786,82424661
2005-04-20,95.776,95.958,94.226,94.423,138381619
2005-04-21,95.261,96.439,94.917,96.275,105398351
2005-04-22,96.055,96.671,94.832,95.911,108256614
2005-04-25,96.158,96.671,96.035,96.536,63100557
2005-04-26,96.245,96.905,95.555,95.603,90814355
2005-04-27,95.326,96.324,94.975,95.978,102649867
2005-04-28,95.661,96.006,94.773,94.773,89494762
2005-04-29,95.498,96.168,94.574,96.064,125664162
2005-05-02,96.324,96.593,95.883,96.593,67553150
2005-05-03,96.324,96.972,96.006,96.768,104732472
2005-05-04,96.797,97.714,96.497,97.518,99397930
2005-05-05,97.654,97.92,96.885,97.481,117274592
2005-05-06,97.861,97.91,97.15,97.169,83872471
2005-05-09,97.286,98.001,97.14,97.763,52991929
2005-05-10,97.404,97.518,96.583,96.768,90416461
2005-05-11,97.029,97.423,96.149,97.306,110909782
2005-05-12,97.364,97.577,95.786,96.236,115167166
2005-05-13,96.507,96.768,95.269,96.035,102958464
2005-05-16,96.015,96.962,95.987,96.933,59468564
2005-05-17,96.612,97.674,96.401,97.567,74007733
2005-05-18,97.991,98.818,97.929,98.581,94054843
2005-05-19,98.77,99.106,98.502,99.006,75734383
2005-05-20,99.056,99.086,98.542,98.858,55941893
2005-05-23,98.937,99.61,98.917,99.404,61809519
2005-05-24,99.125,99.454,98.927,99.185,61454402
2005-05-25,99.066,99.483,98.62,99.106,58422986
2005-05-26,99.414,99.75,99.275,99.62,52488481
2005-05-27,99.63,99.79,99.424,99.79,29693133
2005-05-31,99.65,99.71,99.096,99.165,54142221
