<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Abadan.PG,20201028,18500.00,19850.00,17970.00,19220.00,292441645480,15212188,46668,D,18910.00,19850.00
Abadan.PG,20201027,18830.00,19590.00,18830.00,18910.00,125575747550,6639716,24913,D,19820.00,19250.00
Abadan.PG,20201026,19000.00,19000.00,19000.00,19820.00,8268724000,435196,260,D,19990.00,19000.00
Abadan.PG,20201024,19200.00,19200.00,19200.00,19990.00,10261017600,534428,732,D,20210.00,19200.00
Abadan.PG,20201021,20720.00,20720.00,19000.00,20210.00,271603481920,13438821,34483,D,19740.00,19660.00
Abadan.PG,20201020,18620.00,20580.00,18620.00,19740.00,336523198560,17051533,52279,D,19600.00,20580.00
Abadan.PG,20201019,19030.00,19030.00,19030.00,19600.00,19406051830,1019761,4279,D,20030.00,19030.00
Abadan.PG,20201018,20020.00,20830.00,19950.00,20030.00,108837150790,5434089,27060,D,21000.00,19950.00
Abadan.PG,20201014,21800.00,21870.00,20940.00,21000.00,171664052190,8174804,35994,D,22040.00,20940.00
Abadan.PG,20201013,22100.00,23110.00,21930.00,22040.00,206428647460,9365900,40016,D,23080.00,21940.00
Abadan.PG,20201012,23080.00,23080.00,23080.00,23080.00,69982045080,3032151,11365,D,24290.00,23080.00
Abadan.PG,20201011,23950.00,25080.00,23010.00,24290.00,307561183870,12663673,62469,D,23900.00,23150.00
Abadan.PG,20201010,24300.00,25000.00,23080.00,23900.00,338423533550,14158216,73240,D,24290.00,24230.00
Abadan.PG,20201007,24770.00,24960.00,22700.00,24290.00,525536829680,21635592,112834,D,23780.00,24960.00
Abadan.PG,20201006,22420.00,24780.00,22420.00,23780.00,441608596710,18571629,133490,D,23600.00,24780.00
Abadan.PG,20201005,22520.00,22520.00,22520.00,23600.00,3964533400,176045,280,D,23700.00,22520.00
Abadan.PG,20201004,22700.00,22700.00,22700.00,23700.00,7363267100,324373,409,D,23890.00,22700.00
Abadan.PG,20201003,23300.00,23300.00,23300.00,23890.00,24347055400,1044938,1349,D,24520.00,23300.00
Abadan.PG,20200930,23430.00,23430.00,23430.00,24520.00,5347827210,228247,277,D,24660.00,23430.00
Abadan.PG,20200929,23490.00,23490.00,23490.00,24660.00,2328587190,99131,192,D,24720.00,23490.00
Abadan.PG,20200928,23540.00,23540.00,23540.00,24720.00,2038093200,86580,113,D,24770.00,23540.00
Abadan.PG,20200927,23610.00,23610.00,23610.00,24770.00,3138288420,132922,213,D,24850.00,23610.00
Abadan.PG,20200926,23760.00,23760.00,23760.00,24850.00,6198960240,260899,463,D,25010.00,23760.00
Abadan.PG,20200923,24250.00,24250.00,24250.00,25010.00,17958822500,740570,1359,D,25520.00,24250.00
Abadan.PG,20200922,24500.00,24500.00,24500.00,25520.00,9340674000,381252,606,D,25780.00,24500.00
Abadan.PG,20200921,24620.00,24620.00,24620.00,25780.00,4662240160,189368,324,D,25910.00,24620.00
Abadan.PG,20200920,24920.00,24920.00,24920.00,25910.00,11242633080,451149,643,D,26230.00,24920.00
Abadan.PG,20200919,25590.00,25590.00,25590.00,26230.00,24741870630,966857,907,D,26930.00,25590.00
Abadan.PG,20200916,28000.00,28490.00,26030.00,26930.00,334314398740,12415486,48290,D,27390.00,26030.00
Abadan.PG,20200915,26230.00,27650.00,26200.00,27390.00,519151223690,18955721,62110,D,26340.00,27650.00
Abadan.PG,20200914,25820.00,28000.00,25820.00,26340.00,709705078110,26941585,72139,D,27170.00,25890.00
Abadan.PG,20200913,27110.00,28000.00,27090.00,27170.00,63633640930,2342145,6140,D,28510.00,27090.00
Abadan.PG,20200912,28810.00,29900.00,27380.00,28510.00,543138425450,19052035,69894,D,28660.00,27690.00
Abadan.PG,20200908,28610.00,28610.00,28610.00,29910.00,5871029490,205209,423,D,30110.00,28610.00
Abadan.PG,20200907,28940.00,28940.00,28940.00,30110.00,10385813560,358874,673,D,30460.00,28940.00
Abadan.PG,20200906,31400.00,32000.00,29360.00,30460.00,250588646840,8226373,37705,D,30900.00,29360.00
Abadan.PG,20200905,31850.00,33000.00,30480.00,30900.00,513896727420,16632625,97483,D,32080.00,31330.00
Abadan.PG,20200902,32000.00,33300.00,31850.00,32080.00,140043211360,4365711,17942,D,33520.00,31850.00
Abadan.PG,20200901,33640.00,34790.00,32000.00,33520.00,992256944850,29599542,165210,D,33630.00,33400.00
Abadan.PG,20200831,34440.00,34440.00,31400.00,33630.00,1786892161190,53139361,187871,D,32800.00,34430.00
Abadan.PG,20200826,31800.00,33250.00,31670.00,32800.00,671294476510,20468456,55818,D,31670.00,33250.00
Abadan.PG,20200825,31670.00,31670.00,31330.00,31670.00,579667078070,18303352,92605,D,30170.00,31670.00
Abadan.PG,20200824,30170.00,30180.00,30170.00,30170.00,345623356800,11455862,52605,D,31750.00,30170.00
Abadan.PG,20200823,34910.00,34910.00,31590.00,31750.00,830618939280,26157184,47715,D,33250.00,31590.00
Abadan.PG,20200822,33250.00,33250.00,33250.00,33250.00,76829112500,2310650,32996,D,31670.00,33250.00
Abadan.PG,20200819,31670.00,31670.00,31670.00,31670.00,65358614130,2063739,28769,D,30170.00,31670.00
Abadan.PG,20200818,30170.00,30170.00,30170.00,30170.00,61352022480,2033544,20461,D,28740.00,30170.00
Abadan.PG,20200817,28740.00,28740.00,28740.00,28740.00,59456880900,2068785,11389,D,27380.00,28740.00
Abadan.PG,20200816,27380.00,27380.00,27380.00,27380.00,55316142560,2020312,4870,D,26080.00,27380.00
Abadan.PG,20200815,26300.00,26300.00,26300.00,26080.00,43316599700,1647019,5998,D,25050.00,26300.00
Abadan.PG,20200812,25050.00,25050.00,25050.00,25050.00,52971481500,2114630,4507,D,23860.00,25050.00
Abadan.PG,20200811,24880.00,24880.00,24880.00,23860.00,7014916000,281950,6240,D,23700.00,24880.00
Abadan.PG,20200805,24100.00,24100.00,24100.00,23700.00,41611469700,1726617,9010,D,22960.00,24100.00
Abadan.PG,20200804,22960.00,22960.00,22960.00,22960.00,61003434240,2656944,10920,D,21870.00,22960.00
Abadan.PG,20200803,21870.00,21870.00,21870.00,21870.00,58489346700,2674410,9682,D,20830.00,21870.00
Abadan.PG,20200802,20830.00,20830.00,20830.00,20830.00,55662467580,2672226,10918,D,19840.00,20830.00
Abadan.PG,20200801,19840.00,19840.00,19840.00,19840.00,65019132160,3277174,10472,D,18900.00,19840.00
Abadan.PG,20200729,18900.00,18900.00,18900.00,18900.00,61493266800,3253612,13587,D,18000.00,18900.00
Abadan.PG,20200728,18000.00,18000.00,18000.00,18000.00,58438260000,3246570,8228,D,17150.00,18000.00
Abadan.PG,20200727,17150.00,17150.00,17150.00,17150.00,55732972400,3249736,7371,D,16340.00,17150.00
Abadan.PG,20200726,16340.00,16340.00,16340.00,16340.00,53022956860,3244979,6771,D,15570.00,16340.00
Abadan.PG,20200725,16270.00,16270.00,16270.00,15570.00,5023720440,308772,6616,D,15500.00,16270.00
Abadan.PG,20200722,15500.00,15500.00,15500.00,15500.00,3874996280000,249999760,5235505,D,1000.00,15500.00
