Date,Time,Open,High,Low,Close,Volume
20200903,141100,4735000,4735000,4733000,4733000,4
20200903,141200,4735000,4737000,4735000,4736000,3
20200903,141300,4735000,4738000,4735000,4738000,7
20200903,141400,4737500,4740000,4737500,4739000,4
20200903,141500,4737000,4740000,4737000,4738000,5
20200903,141600,4740000,4741000,4739000,4739000,4
20200903,141700,4738000,4739000,4738000,4739000,5
20200903,141800,4738000,4739000,4738000,4739000,2
20200903,141900,4738000,4741000,4737000,4741000,5
20200903,142000,4741000,4744000,4740000,4742000,6
20200903,142100,4743000,4745000,4741000,4744000,17
20200903,142200,4742000,4745000,4742000,4745000,3
20200903,142300,4747000,4747000,4744000,4744000,8
20200903,142400,4743000,4746000,4743000,4743000,8
20200903,142500,4744000,4747000,4743000,4744000,14
20200903,142600,4745000,4745000,4743000,4743000,2
20200903,142700,4745000,4745000,4741000,4743000,9
20200903,142800,4744000,4744000,4742000,4743000,8
20200903,142900,4742000,4745000,4742000,4744000,9
20200903,143000,4743000,4744000,4742000,4742000,5
20200903,143100,4742000,4742000,4741000,4741000,3
20200903,143200,4740000,4740000,4737000,4739000,5
20200903,143300,4736000,4736000,4734000,4736000,10
20200903,143400,4736000,4736000,4734000,4736000,5
20200903,143500,4733000,4736000,4733000,4736000,7
20200903,143600,4738000,4739000,4737000,4737000,4
20200903,143700,4738000,4738000,4734000,4735000,5
20200903,143800,4736000,4739000,4735000,4739000,5
20200903,143900,4737000,4737000,4735000,4737000,7
20200903,144000,4737000,4738000,4737000,4738000,3
20200903,144100,4738000,4739000,4738000,4739000,4
20200903,144200,4740000,4742000,4740000,4742000,3
20200903,144300,4743000,4743000,4743000,4743000,3
20200903,144400,4742000,4743000,4741000,4741000,7
20200903,144500,4742000,4742000,4741000,4742000,4
20200903,144600,4743000,4744000,4741000,4742000,9
20200903,144700,4744000,4745000,4744000,4745000,2
20200903,144800,4743000,4744000,4743000,4743000,5
20200903,144900,4743000,4744000,4743000,4743000,4
20200903,145000,4740000,4741000,4740000,4741000,3
20200903,145100,4739000,4740000,4738000,4740000,9
20200903,145300,4738000,4739000,4738000,4739000,2
20200903,145400,4737000,4737000,4736000,4736000,2
20200903,145500,4735000,4735000,4735000,4735000,1
20200903,145600,4738000,4738000,4737000,4737000,4
20200903,145700,4736000,4737000,4736000,4737000,2
20200903,145800,4736000,4737000,4734000,4736000,7
20200903,145900,4737000,4737000,4735000,4736000,5
20200903,150000,4738000,4738000,4738000,4738000,1
20200903,150100,4735000,4735000,4735000,4735000,1
20200903,150200,4734000,4734000,4733000,4733000,4
20200903,150300,4730000,4730000,4723000,4728000,11
20200903,150400,4723000,4726000,4715000,4715000,10
20200903,150500,4717000,4718000,4715000,4718000,16
20200903,150600,4715000,4718000,4711000,4711000,4
20200903,150700,4715000,4715000,4709000,4713000,10
20200903,150800,4716000,4716000,4709000,4711000,6
20200903,150900,4713000,4713000,4712000,4713000,3
20200903,151000,4715000,4716000,4714000,4714000,4
20200903,151100,4717000,4717000,4714000,4714000,4
20200903,151200,4713000,4716000,4713000,4714000,8
20200903,151300,4717000,4717000,4714000,4714000,5
20200903,151400,4716000,4716000,4714000,4716000,4
20200903,151500,4717000,4719000,4715000,4719000,11
20200903,151600,4716000,4717000,4715000,4715000,4
20200903,151700,4712000,4713000,4712000,4712000,5
20200903,151800,4712000,4712000,4710000,4710000,5
20200903,151900,4716000,4716000,4710000,4710000,2
20200903,152000,4710000,4710000,4707000,4707000,8
20200903,152100,4705000,4707000,4705000,4705000,8
20200903,152200,4704000,4704000,4697000,4699000,9
20200903,152300,4702000,4704000,4695000,4701000,7
20200903,152400,4702000,4705000,4702000,4705000,8
20200903,152500,4702000,4705000,4699000,4699000,9
20200903,152600,4699000,4701000,4693000,4698000,9
20200903,152700,4699000,4701000,4699000,4700000,9
20200903,152800,4702000,4703000,4701000,4702000,6
20200903,152900,4703000,4706000,4703000,4704000,7
20200903,153000,4706000,4708000,4705000,4708000,6
20200903,153100,4706000,4709000,4706000,4708000,12
20200903,153200,4707000,4709000,4706000,4707000,9
20200903,153300,4709000,4710000,4709000,4709000,4
20200903,153400,4709000,4711000,4709000,4710000,9
20200903,153500,4709000,4712000,4709000,4712000,8
20200903,153600,4710000,4714000,4709000,4709000,11
20200903,153700,4712000,4713000,4709000,4712000,11
20200903,153800,4710000,4712000,4710000,4711000,9
20200903,153900,4713000,4713000,4710000,4710000,13
20200903,154000,4707000,4707000,4705000,4705000,5
20200903,154100,4704000,4707000,4704000,4704000,10
20200903,154200,4706000,4706000,4704000,4704000,8
20200903,154300,4706000,4707000,4706000,4707000,3
20200903,154400,4704000,4707000,4703000,4706000,14
20200903,154500,4708000,4708000,4707000,4707000,3
20200903,154600,4707000,4707000,4705000,4705000,3
20200903,154700,4707000,4707000,4706000,4706000,3
20200903,154800,4705000,4708000,4704000,4707000,8
20200903,154900,4706000,4708000,4706000,4707000,12
20200903,155000,4708000,4708000,4706000,4708000,8
20200903,155100,4710000,4710000,4708000,4709000,4
20200903,155200,4709000,4711000,4707000,4710000,9
20200903,155300,4708000,4708000,4708000,4708000,2
20200903,155400,4709000,4710000,4707000,4707000,5
20200903,155500,4709000,4709000,4705000,4707000,4
20200903,155600,4707000,4707000,4707000,4707000,1
20200903,155700,4706000,4706000,4701000,4702000,10
20200903,155800,4704000,4704000,4698000,4698000,5
20200903,155900,4697000,4698000,4697000,4698000,4
20200903,160000,4695000,4696000,4690000,4694000,12
20200903,160100,4695000,4696000,4692000,4694000,6
20200903,160200,4697000,4698000,4695000,4698000,6
20200903,160300,4697000,4697000,4693000,4693000,7
20200903,160400,4694000,4695000,4692000,4695000,11
20200903,160500,4694000,4697000,4691000,4691000,8
20200903,160600,4690000,4694000,4685000,4692000,10
20200903,160700,4694000,4695000,4692000,4695000,9
20200903,160800,4693000,4698000,4693000,4696000,11
20200903,160900,4699000,4700000,4697000,4699000,8
20200903,161000,4698000,4699000,4696000,4696000,8
20200903,161100,4697000,4698000,4695000,4696000,5
20200903,161200,4697000,4697000,4696000,4697000,4
20200903,161300,4697000,4697000,4697000,4697000,1
20200903,161400,4698000,4699000,4698000,4698000,8
20200903,161500,4699000,4701000,4698000,4700000,6
20200903,161600,4702000,4705000,4702000,4703000,7
20200903,161700,4705000,4705000,4702000,4704000,4
20200903,161800,4701000,4701000,4701000,4701000,1
20200903,161900,4702000,4703000,4701000,4701000,4
20200903,162000,4700000,4701000,4699000,4699000,5
20200903,162100,4699000,4702000,4699000,4701000,5
20200903,162200,4705000,4706000,4703000,4703000,10
20200903,162300,4707000,4707000,4701000,4705000,13
20200903,162400,4704000,4704000,4702000,4703000,5
20200903,162500,4702000,4703000,4700000,4702000,12
20200903,162600,4703000,4704000,4701000,4704000,5
20200903,162700,4705000,4705000,4704000,4705000,4
20200903,162800,4707000,4707000,4704000,4704000,5
20200903,162900,4705000,4707000,4705000,4706000,5
20200903,163000,4710000,4710000,4707000,4707000,3
20200903,163100,4706000,4709000,4706000,4707000,3
20200903,163200,4706000,4707000,4706000,4707000,3
20200903,163300,4704000,4705000,4703000,4703000,5
20200903,163400,4705000,4705000,4705000,4705000,1
20200903,163500,4703000,4707000,4703000,4707000,3
20200903,163800,4709000,4709000,4707000,4707000,3
20200903,163900,4709000,4709000,4707000,4709000,5
20200903,164000,4707000,4709000,4707000,4707000,3
20200903,164100,4709000,4710000,4707000,4709000,11
20200903,164200,4709000,4710000,4709000,4709000,3
20200903,164300,4709000,4711000,4708000,4708000,3
20200903,164400,4709000,4710000,4707000,4709000,10
20200903,164500,4709000,4710000,4708000,4709000,12
20200903,164600,4711000,4712000,4710000,4710000,5
20200903,164700,4712000,4712000,4710000,4710000,2
20200903,164800,4712000,4713000,4711000,4713000,4
20200903,164900,4712000,4712000,4709000,4710000,5
20200903,165000,4709000,4710000,4709000,4709000,7
20200903,165100,4711000,4711000,4709000,4711000,6
20200903,165200,4713000,4715000,4711000,4713000,5
20200903,165300,4714000,4716000,4713000,4716000,10
20200903,165400,4718000,4721000,4715000,4721000,9
20200903,165500,4719000,4723000,4719000,4720000,10
20200903,165600,4719000,4722000,4719000,4722000,2
20200903,165700,4721000,4721000,4717000,4717000,6
20200903,165800,4716000,4718000,4716000,4717000,3
20200903,165900,4710000,4720000,4710000,4720000,8
20200903,170000,4716000,4717000,4716000,4717000,3
20200903,170100,4719000,4719000,4716000,4716000,7
20200903,170200,4714000,4716000,4713000,4716000,6
20200903,170300,4715000,4719000,4715000,4719000,2
20200903,170400,4718000,4718000,4716000,4717000,9
20200903,170500,4718000,4719000,4717000,4719000,5
20200903,170600,4718000,4721000,4718000,4721000,6
20200903,170700,4721000,4722000,4719000,4722000,7
20200903,170800,4719000,4722000,4719000,4720000,7
20200903,170900,4721000,4721000,4717000,4719000,10
20200903,171000,4722000,4724000,4721000,4724000,6
20200903,171100,4725000,4725000,4722000,4724000,9
20200903,171200,4725000,4725000,4721000,4722000,7
20200903,171300,4722000,4722000,4721000,4721000,2
20200903,171400,4724000,4724000,4723000,4723000,3
20200903,171500,4725000,4725000,4722000,4724000,6
20200903,171600,4724000,4725000,4722000,4725000,8
20200903,171700,4722000,4725000,4722000,4722000,12
20200903,171800,4721000,4725000,4721000,4722000,6
20200903,171900,4721000,4721000,4720000,4720000,2
20200903,172000,4719000,4721000,4718000,4719000,5
20200903,172100,4719000,4719000,4717000,4717000,3
20200903,172200,4719000,4719000,4717000,4719000,4
20200903,172300,4717000,4717000,4715000,4716000,5
20200903,172400,4715000,4718000,4715000,4718000,8
20200903,172500,4718000,4721000,4718000,4720000,8
20200903,172600,4718000,4720000,4718000,4718000,4
20200903,172700,4717000,4719000,4717000,4719000,6
20200903,172900,4718000,4719000,4717000,4719000,4
20200903,173000,4720000,4720000,4718000,4718000,2
20200903,173100,4720000,4720000,4717000,4719000,8
20200903,173200,4720000,4721000,4719500,4719500,5
20200903,173300,4720000,4721000,4719000,4721000,4
20200903,173400,4721000,4721000,4721000,4721000,2
20200903,173500,4719000,4720000,4719000,4720000,3
20200903,173600,4717000,4719000,4717000,4718000,4
