<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020.12.28,10:00:00,520000,528000,520000,528000,10
2020.12.28,11:00:00,530000,530000,530000,530000,3
2020.12.28,12:00:00,525000,525000,525000,525000,4
2020.12.28,14:00:00,525000,525000,525000,525000,2
2020.12.29,13:00:00,520000,520000,520000,520000,5
2020.12.30,13:00:00,505000,505000,505000,505000,3
2021.01.02,14:00:00,509000,510000,509000,510000,15
2021.01.04,14:00:00,515000,515000,515000,515000,2
2021.01.06,14:00:00,520000,540000,520000,540000,14
2021.01.07,10:00:00,520000,520000,520000,520000,7
2021.01.07,13:00:00,530000,530000,530000,530000,6
2021.01.07,14:00:00,527000,527000,527000,527000,13
2021.01.09,12:00:00,530000,530000,530000,530000,12
2021.01.10,12:00:00,522000,522000,510000,510000,50
2021.01.13,12:00:00,500000,500000,500000,500000,3
2021.01.19,11:00:00,500000,519900,500000,519900,12
2021.01.23,14:00:00,501100,501100,501100,501100,7
2021.01.24,13:00:00,480100,480100,476200,476200,6
2021.01.30,11:00:00,489900,490900,489900,490900,6
2021.01.31,14:00:00,504000,504000,504000,504000,11
2021.02.03,12:00:00,510000,510000,510000,510000,10
2021.02.04,13:00:00,519800,535500,519800,535500,29
2021.02.04,14:00:00,535500,535500,518600,528000,12
2021.02.06,11:00:00,543600,554300,543600,550000,49
2021.02.06,12:00:00,550000,550000,550000,550000,2
2021.02.06,13:00:00,540000,540000,540000,540000,1
2021.02.06,14:00:00,525000,554300,525000,554300,103
2021.02.07,10:00:00,550000,550000,519700,519700,40
2021.02.07,11:00:00,520000,520200,520000,520100,19
2021.02.07,12:00:00,540000,540000,540000,540000,4
2021.02.07,14:00:00,521000,521000,521000,521000,15
2021.02.08,12:00:00,525000,525000,525000,525000,9
2021.02.13,11:00:00,525000,525000,525000,525000,6
2021.02.13,13:00:00,525000,527200,525000,527200,5
2021.02.14,14:00:00,520000,520000,520000,520000,10
2021.02.15,10:00:00,510000,510000,510000,510000,6
2021.02.15,11:00:00,502000,502000,494000,494000,13
2021.02.15,14:00:00,494000,494000,494000,494000,8
2021.02.16,11:00:00,490000,509900,490000,509900,13
2021.02.16,12:00:00,505100,505100,505000,505000,6
2021.02.16,13:00:00,505100,505100,505000,505000,8
2021.02.17,12:00:00,483100,485100,483100,485000,17
2021.02.18,14:00:00,488000,488000,488000,488000,6
2021.02.20,12:00:00,488100,488100,488100,488100,6
2021.02.20,14:00:00,482900,482900,482900,482900,3
