Date,Time,Open,High,Low,Close,Volume
19381004,155600,41925,41925,41925,41925,1
19381005,155700,41930,41930,41930,41930,1
19381006,155800,41935,41935,41935,41935,1
19381007,155900,41940,41940,41940,41940,1
19381008,160000,41945,41945,41945,41945,1
19381009,160200,41940,41940,41940,41940,1
19381010,160400,41945,41945,41945,41945,1
19381011,160700,41940,41940,41935,41935,2
19381012,160900,41940,41940,41940,41940,1
19381013,161100,41945,41945,41945,41945,1
19381014,161200,41940,41940,41940,41940,1
19381015,161400,41935,41935,41935,41935,1
19381016,161900,41930,41930,41930,41930,1
19381017,162200,41920,41920,41920,41920,1
19381018,162300,41915,41920,41915,41920,2
19381019,162600,41925,41925,41925,41925,1
19381020,162700,41920,41920,41920,41920,1
19381021,163000,41925,41925,41925,41925,1
19381022,163300,41930,41930,41930,41930,1
19381023,163400,41935,41935,41930,41930,2
19381024,163600,41935,41935,41935,41935,1
19381025,163700,41930,41930,41925,41925,2
19381026,163900,41920,41920,41910,41910,3
19381027,164000,41900,41900,41900,41900,1
19381028,164200,41895,41900,41895,41900,2
19381029,164600,41905,41905,41905,41905,1
19381030,164700,41900,41900,41900,41900,1
19381031,164900,41895,41895,41895,41895,1
19381101,165100,41910,41910,41910,41910,1
19381102,165500,41905,41905,41905,41905,1
19381103,170200,41910,41910,41910,41910,1
19381104,170300,41915,41915,41910,41910,2
19381105,170400,41905,41905,41905,41905,1
19381106,170500,41890,41890,41890,41890,1
19381107,170600,41895,41895,41895,41895,1
19381108,170700,41890,41890,41890,41890,1
19381109,170800,41895,41895,41895,41895,1
19381110,171000,41900,41900,41900,41900,1
19381111,171100,41905,41905,41905,41905,1
19381112,171300,41910,41910,41910,41910,1
19381113,171400,41915,41915,41915,41915,1
19381114,171600,41920,41920,41920,41920,1
19381115,171700,41915,41915,41915,41915,1
19381116,171900,41920,41920,41920,41920,1
19381117,172300,41915,41915,41915,41915,1
19381118,172900,41905,41905,41905,41905,1
19381119,173100,41900,41900,41900,41900,1
19381120,173400,41895,41895,41895,41895,1
19381121,173700,41900,41900,41900,41900,1
19381122,173800,41895,41895,41895,41895,1
19381123,173900,41900,41900,41900,41900,1
19381124,174000,41905,41905,41905,41905,1
19381125,174100,41910,41910,41910,41910,1
19381126,174200,41915,41915,41915,41915,1
19381127,174400,41920,41920,41920,41920,1
19381128,174600,41925,41925,41925,41925,1
19381129,174800,41930,41930,41930,41930,1
19381130,175000,41925,41925,41920,41920,2
19381201,175100,41925,41925,41925,41925,1
19381202,180000,41930,41930,41930,41930,1
19381203,180200,41925,41925,41925,41925,1
19381204,180700,41920,41920,41920,41920,1
19381205,181000,41925,41925,41925,41925,1
19381206,181300,41930,41930,41930,41930,1
19381207,181700,41925,41925,41925,41925,1
19381208,181900,41920,41925,41920,41925,2
19381209,182100,41920,41920,41920,41920,1
19381210,182300,41925,41925,41925,41925,1
19381211,182700,41920,41920,41920,41920,1
19381212,183000,41930,41930,41930,41930,1
19381213,183200,41940,41940,41940,41940,1
19381214,183300,41945,41960,41945,41960,3
19381215,183400,41970,41970,41970,41970,1
19381216,183500,41965,41965,41965,41965,1
19381217,183600,41960,41965,41960,41965,2
19381218,184200,41970,41970,41970,41970,1
19381219,184500,41960,41960,41960,41960,1
19381220,185100,41965,41965,41965,41965,1
19381221,185500,41960,41960,41960,41960,1
19381222,190000,41955,41955,41955,41955,1
19381223,190100,41945,41945,41945,41945,1
19381224,190300,41940,41940,41940,41940,1
19381225,190400,41945,41945,41945,41945,1
19381226,190600,41940,41940,41940,41940,1
19381227,190700,41935,41940,41935,41940,2
19381228,190800,41935,41940,41935,41940,2
19381229,191000,41935,41935,41935,41935,1
19381230,191200,41930,41930,41930,41930,1
19381231,191300,41935,41935,41935,41935,1
19390101,192200,41940,41940,41940,41940,1
19390102,192800,41945,41945,41945,41945,1
19390103,193100,41950,41950,41950,41950,1
19390104,193800,41955,41955,41955,41955,1
19390105,194000,41950,41950,41950,41950,1
19390106,194500,41945,41945,41945,41945,1
19390107,194700,41940,41940,41940,41940,1
19390108,194800,41945,41945,41945,41945,1
19390109,194900,41940,41940,41940,41940,1
19390110,195200,41945,41945,41945,41945,1
19390111,195500,41940,41940,41940,41940,1
19390112,195600,41945,41945,41945,41945,1
19390113,195900,41950,41950,41950,41950,1
19390114,110200,42100,42100,42100,42100,1
19390115,110300,42090,42090,42090,42090,1
19390116,110400,42100,42120,42100,42115,4
19390117,110600,42110,42110,42110,42110,1
19390118,110700,42100,42100,42100,42100,1
19390119,110800,42110,42110,42110,42110,1
19390120,110900,42125,42150,42120,42150,4
19390121,111000,42140,42140,42140,42140,1
19390122,111100,42150,42150,42140,42140,2
19390123,111200,42150,42150,42150,42150,1
19390124,111300,42160,42160,42160,42160,1
19390125,111400,42170,42180,42170,42170,3
19390126,111500,42180,42180,42180,42180,1
19390127,111800,42190,42190,42190,42190,1
19390128,111900,42180,42180,42175,42175,2
19390129,112300,42160,42160,42160,42160,1
19390130,112500,42165,42165,42160,42160,2
19390131,112900,42165,42165,42165,42165,1
19390201,113000,42160,42160,42150,42150,3
19390202,113100,42155,42155,42155,42155,1
19390203,113200,42140,42140,42140,42140,1
19390204,113300,42150,42150,42150,42150,1
19390205,113500,42160,42170,42160,42170,3
19390206,113600,42165,42165,42150,42150,2
19390207,113700,42140,42140,42140,42140,1
19390208,113800,42130,42130,42130,42130,1
19390209,114200,42125,42125,42125,42125,1
19390210,115000,42160,42160,42160,42160,1
19390211,115100,42145,42145,42145,42145,1
19390212,115200,42160,42160,42160,42160,1
19390213,115400,42190,42190,42190,42190,1
