Date,Open ,High,Low,Close,Volume
19790319,100,140,100,140,1
19800319,140,200,140,200,1
19810319,200,270,200,270,1
19820319,270,350,270,350,1
19830319,350,450,350,450,1
19840319,450,580,450,580,1
19850319,580,610,580,610,1
19860319,610,740,610,740,1
19870319,740,960,740,960,1
19880319,990,990,960,960,1
19890319,960,1200,960,1200,1
19900319,1200,1410,1200,1410,1
19910319,1410,1420,1410,1420,1
19920319,1420,1490,1420,1490,1
19930319,1490,1800,1490,1800,1
19940319,1800,2630,1800,2630,1
19950319,2630,4030,2630,4030,1
19960319,4030,4440,4030,4440,1
19970320,4440,4780,4440,4780,1
19980320,4780,6460,4780,6460,1
19990320,6460,8630,6460,8630,1
20000319,8630,8630,8130,8130,1
20010320,8130,8130,7990,7990,1
20020320,7920,7990,7920,7990,1
20030320,7990,8320,7990,8320,1
20040320,8320,8740,8320,8740,1
20050320,8740,9040,8740,9040,1
20060320,9040,9220,9040,9220,1
20070320,9220,9430,9220,9430,1
20071213,9400,9430,9400,9430,1
20071216,9470,9500,9470,9500,1
20071223,9500,9500,9470,9470,1
20071230,9480,9480,9340,9340,1
20080106,9330,9350,9330,9350,1
20080113,9310,9400,9300,9400,1
20080120,9390,9470,9370,9370,1
20080127,9370,9370,9300,9340,1
20080203,9350,9470,9350,9470,1
20080210,9460,9460,9400,9400,1
20080217,9410,9430,9360,9360,1
20080224,9360,9380,9260,9260,1
20080302,9250,9320,9250,9250,1
20080309,9250,9250,9150,9150,1
20080316,9150,9150,9070,9110,1
20080324,9300,9300,9180,9210,1
20080330,9210,9250,9200,9200,1
20080406,9150,9150,9070,9070,1
20080413,9070,9140,9050,9100,1
20080420,9200,9340,9150,9340,1
20080427,9300,9370,9270,9370,1
20080504,9350,9450,9330,9350,1
20080511,9370,9380,9320,9350,1
20080518,9350,9370,9210,9220,1
20080525,9220,9340,9210,9340,1
20080601,9380,9400,9380,9400,1
20080608,9280,9470,9280,9470,1
20080615,9450,9450,9380,9380,1
20080622,9380,9400,9310,9310,1
20080629,9310,9350,9250,9350,1
20080706,9350,9380,9260,9260,1
20080713,9260,9300,9260,9300,1
20080720,9300,9350,9250,9330,1
20080727,9330,9410,9330,9410,1
20080803,9400,9650,9400,9650,1
20080810,9550,9700,9550,9700,1
20080818,9650,9650,9630,9640,1
20080824,9650,9700,9650,9700,1
20080831,9700,9750,9700,9750,1
20080907,9750,9900,9700,9850,1
20080914,9850,9850,9720,9720,1
20080921,9720,9720,9620,9700,1
20080928,9700,9950,9700,9900,1
20081005,9900,9970,9900,9960,1
20081012,9950,9950,9890,9930,1
20081019,9930,10050,9930,10050,1
20081026,10050,10180,10050,10150,1
20081102,10150,10180,10120,10180,1
20081109,10150,10250,10150,10250,1
20081116,10250,10340,10250,10340,1
20081123,10360,10360,10240,10240,1
20081130,10240,10240,10220,10240,1
20081207,10250,10250,10070,10070,1
20081214,10080,10080,9950,10000,1
20081221,10000,10000,9950,9950,1
20081228,9950,9950,9890,9950,1
20090104,9950,10040,9950,10040,1
20090111,10040,10100,10040,10060,1
20090118,10060,10060,9950,9950,1
20090125,9950,9950,9780,9800,1
20090201,9800,9800,9680,9680,1
20090208,9660,9670,9650,9650,1
20090215,9650,9730,9650,9730,1
20090222,9730,9890,9730,9890,1
20090301,9890,10000,9890,9980,1
20090308,9980,9980,9880,9880,1
20090316,9880,9880,9860,9870,1
20090325,9880,9970,9880,9970,1
20090329,9970,10020,9970,9970,1
20090405,9940,10040,9900,10000,1
20090412,10000,10070,9990,10070,1
20090419,10070,10120,10050,10050,1
20090426,10040,10070,9950,9950,1
20090503,9960,9960,9880,9880,1
20090510,9880,9890,9830,9890,1
20090517,9870,9890,9750,9750,1
20090524,9740,9750,9720,9720,1
20090531,9670,9780,9670,9780,1
20090607,9800,9860,9800,9860,1
20090614,9900,9900,9900,9900,1
20090621,9960,9990,9940,9950,1
20090628,9950,10000,9950,10000,1
20090705,10010,10070,10010,10050,1
20090712,10040,10040,10000,10000,1
20090719,10000,10000,9990,9990,1
20090726,10000,10040,10000,10000,1
20090802,10000,10030,9980,10030,1
20090809,10030,10030,10010,10010,1
20090816,10010,10020,9970,9970,1
20090823,9970,9980,9970,9970,1
20090830,9970,9990,9970,9970,1
20090906,9970,9970,9940,9940,1
20090913,9930,9950,9920,9920,1
20090920,9920,9920,9890,9920,1
20090927,9910,9960,9910,9960,1
20091004,9950,9950,9940,9940,1
20091011,9930,9940,9930,9940,1
20091018,9940,9940,9920,9920,1
20091025,9920,9990,9910,9990,1
20091101,9990,9990,9960,9970,1
20091108,9960,9960,9930,9950,1
20091115,9940,9970,9940,9970,1
20091122,9970,9980,9950,9960,1
20091129,9980,10010,9970,10000,1
20091206,10000,10040,10000,10040,1
20091213,10030,10050,10020,10050,1
20091220,10030,10080,10030,10080,1
20091227,10050,10050,10030,10030,1
20100103,10030,10050,10030,10030,1
20100110,10020,10030,10010,10030,1
20100117,10020,10080,10020,10070,1
20100124,10120,10200,10110,10120,1
20100131,10110,10110,10080,10090,1
20100207,10090,10100,10090,10100,1
20100214,10100,10100,10080,10080,1
20100221,10080,10120,10080,10080,1
20100228,10060,10060,10060,10060,1
20100307,10060,10070,9980,9980,1
20100314,9980,10050,9980,10050,1
20100328,10040,10050,10020,10050,1
20100404,10010,10070,10000,10030,1
20100411,10030,10070,10020,10070,1
20100418,10060,10120,10060,10120,1
20100425,10120,10200,10120,10160,1
20100502,10150,10280,10150,10280,1
20100509,10270,10390,10250,10390,1
20100516,10410,10440,10380,10380,1
20100523,10350,10450,10350,10430,1
20100530,10420,10470,10420,10460,1
20100606,10650,10650,10530,10530,1
20100613,10510,10510,10440,10440,1
20100620,10440,10490,10420,10490,1
20100627,10480,10560,10460,10460,1
20100704,10460,10490,10460,10460,1
20100711,10450,10460,10450,10460,1
20100718,10410,10500,10410,10470,1
20100725,10480,10500,10480,10480,1
20100801,10480,10500,10470,10490,1
20100808,10480,10720,10480,10720,1
20100815,10670,10670,10590,10590,1
20100822,10550,10570,10540,10550,1
20100829,10530,10540,10520,10520,1
20100905,10510,10600,10500,10590,1
20100912,10570,10580,10520,10560,1
20100919,10580,10650,10560,10650,1
20100926,10850,11300,10850,11300,1
20101003,10900,11100,10900,11000,1
20101010,10800,11000,10700,10900,1
20101017,10950,11000,10650,10650,1
20101024,10690,10950,10690,10850,1
20101031,10750,10750,10690,10690,1
20101107,10680,10680,10590,10670,1
20101114,10650,10650,10570,10570,1
20101121,10570,10600,10550,10600,1
20101128,10580,10650,10580,10620,1
20101205,10600,10630,10600,10630,1
20101212,10650,10650,10650,10650,1
20101219,10680,10730,10680,10730,1
20101226,10770,10800,10730,10730,1
20110102,10730,10850,10730,10850,1
20110109,10850,11000,10850,10890,1
20110116,10930,10930,10820,10820,1
20110123,10820,10920,10750,10920,1
20110130,10920,11050,10920,11000,1
20110206,10960,10970,10910,10970,1
20110213,10980,10980,10900,10900,1
20110220,10900,11070,10900,11070,1
20110227,11150,11400,11150,11150,1
20110306,11100,11100,11050,11050,1
20110313,10980,11200,10980,11200,1
20110320,11100,11100,11100,11100,1
20110327,11100,11180,11100,11180,1
20110403,11120,11300,11120,11250,1
20110410,11260,11350,11250,11350,1
20110417,11250,11250,11200,11250,1
20110424,11250,11280,11250,11280,1
20110501,11350,11480,11350,11480,1
20110508,11520,12000,11520,11700,1
20110515,11800,11870,11780,11870,1
20110522,11900,12080,11900,11950,1
20110529,11600,11800,11550,11800,1
20110605,11850,12150,11850,12150,1
20110612,12350,12500,12150,12150,1
20110619,12000,12000,11480,11480,1
20110626,11420,11720,11420,11720,1
20110703,11800,11900,11550,11550,1
20110710,11520,11520,11370,11400,1
20110717,11490,11540,11340,11360,1
20110724,11320,11350,11300,11350,1
20110731,11240,11500,11240,11450,1
20110807,11460,11900,11460,11770,1
20110814,11700,11870,11650,11870,1
