<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.27	01:00:00	1.10304	1.10309	1.10255	1.10284	708	0	30
2020.01.27	02:00:00	1.10285	1.10329	1.10244	1.10328	2539	0	30
2020.01.27	03:00:00	1.10327	1.10335	1.10233	1.10329	1653	0	30
2020.01.27	04:00:00	1.10328	1.10335	1.10296	1.10303	894	0	30
2020.01.27	05:00:00	1.10303	1.10344	1.10298	1.10313	473	0	30
2020.01.27	06:00:00	1.10309	1.10309	1.10262	1.10274	581	0	30
2020.01.27	07:00:00	1.10273	1.10279	1.10262	1.10269	442	0	30
2020.01.27	08:00:00	1.10267	1.10274	1.10255	1.10258	267	0	30
2020.01.27	09:00:00	1.10259	1.10305	1.10251	1.10279	464	0	30
2020.01.27	10:00:00	1.10275	1.10355	1.10249	1.10342	1071	0	30
2020.01.27	11:00:00	1.10343	1.10363	1.10241	1.10298	1965	0	30
2020.01.27	12:00:00	1.10299	1.10323	1.10145	1.10148	2705	0	30
2020.01.27	13:00:00	1.10152	1.10215	1.10138	1.10211	1943	0	30
2020.01.27	14:00:00	1.10212	1.10279	1.10200	1.10213	1731	0	30
2020.01.27	15:00:00	1.10212	1.10245	1.10201	1.10222	1244	0	30
2020.01.27	16:00:00	1.10223	1.10251	1.10189	1.10246	1694	0	30
2020.01.27	17:00:00	1.10247	1.10308	1.10215	1.10230	2206	0	30
2020.01.27	18:00:00	1.10229	1.10236	1.10130	1.10168	2905	0	30
2020.01.27	19:00:00	1.10169	1.10191	1.10084	1.10186	2335	0	30
2020.01.27	20:00:00	1.10185	1.10207	1.10123	1.10146	1337	0	30
2020.01.27	21:00:00	1.10147	1.10148	1.10095	1.10134	905	0	30
2020.01.27	22:00:00	1.10135	1.10158	1.10125	1.10133	838	0	30
2020.01.27	23:00:00	1.10134	1.10174	1.10128	1.10168	701	0	30
2020.01.28	00:00:00	1.10168	1.10189	1.10152	1.10182	769	0	30
2020.01.28	01:00:00	1.10183	1.10188	1.10169	1.10186	728	0	30
2020.01.28	02:00:00	1.10184	1.10192	1.10157	1.10172	703	0	30
2020.01.28	03:00:00	1.10171	1.10189	1.10168	1.10174	531	0	30
2020.01.28	04:00:00	1.10175	1.10239	1.10160	1.10216	748	0	30
2020.01.28	05:00:00	1.10215	1.10215	1.10165	1.10176	596	0	30
