Date,Time,Open,High,Low,Close,Volume
2020.09.24,8:00:00,1585000,1600000,1572000,1590000,139
2020.09.24,12:00:00,1590000,1605000,1583000,1595000,107
2020.09.26,8:00:00,1600000,1633000,1600000,1610000,91
2020.09.26,12:00:00,1612000,1625000,1606000,1606000,71
2020.09.27,8:00:00,1592000,1605000,1577000,1580000,123
2020.09.27,12:00:00,1590000,1603000,1570000,1592000,135
2020.09.28,8:00:00,1600000,1625000,1595000,1610000,84
2020.09.28,12:00:00,1606000,1627000,1568000,1576000,304
2020.09.29,8:00:00,1567000,1586000,1556000,1584000,154
2020.09.29,12:00:00,1579000,1651000,1572000,1651000,461
2020.09.30,8:00:00,1642000,1733000,1642000,1728000,377
2020.09.30,12:00:00,1729000,1733000,1729000,1733000,91
2020.10.01,8:00:00,1730000,1789000,1702000,1740000,368
2020.10.01,12:00:00,1740000,1753000,1703000,1735000,261
2020.10.03,8:00:00,1760000,1795000,1740000,1755000,394
2020.10.03,12:00:00,1754000,1755000,1730000,1740000,470
2020.10.04,8:00:00,1730000,1731000,1661000,1675000,337
2020.10.04,12:00:00,1677000,1688000,1658000,1658000,346
2020.10.05,8:00:00,1625000,1644000,1590000,1633000,419
2020.10.05,12:00:00,1630000,1737000,1626000,1702000,1030
2020.10.06,8:00:00,1699000,1767000,1699000,1739000,627
2020.10.06,12:00:00,1732000,1732000,1655000,1666000,931
2020.10.07,8:00:00,1681000,1700000,1600000,1616000,507
2020.10.07,12:00:00,1620000,1634000,1597000,1600000,427
2020.10.10,8:00:00,1618000,1646000,1606000,1640000,390
2020.10.10,12:00:00,1643000,1673000,1616000,1631000,765
2020.10.11,8:00:00,1643000,1659000,1618000,1656000,322
2020.10.11,12:00:00,1654000,1706000,1636000,1692000,692
2020.10.12,8:00:00,1686000,1687000,1616000,1625000,687
2020.10.12,12:00:00,1626000,1655000,1626000,1645000,404
2020.10.13,8:00:00,1640000,1683000,1632000,1682000,568
2020.10.13,12:00:00,1683000,1726000,1676000,1699000,1551
2020.10.14,8:00:00,1710000,1710000,1660000,1667000,497
2020.10.14,12:00:00,1666000,1695000,1664000,1687000,288
2020.10.15,8:00:00,1684000,1720000,1684000,1704000,426
2020.10.15,12:00:00,1701000,1736000,1694000,1720000,321
2020.10.18,8:00:00,1736000,1770000,1735000,1764000,337
2020.10.18,12:00:00,1761000,1780000,1731000,1753000,446
2020.10.19,8:00:00,1744000,1758000,1719000,1731000,242
2020.10.19,12:00:00,1738000,1777000,1734000,1749000,428
