<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.29	10:34:00	1714000	1714000	1714000	1714000	1	1	15000
2020.10.29	10:35:00	1715000	1717000	1715000	1717000	3	3	9000
2020.10.29	10:45:00	1711000	1711000	1711000	1711000	1	1	10000
2020.10.29	10:46:00	1712000	1712000	1712000	1712000	1	1	6000
2020.10.29	11:05:00	1705000	1705000	1703000	1703000	3	3	5000
2020.10.29	11:09:00	1707000	1707000	1707000	1707000	1	1	4000
2020.10.29	11:10:00	1706000	1706000	1706000	1706000	1	1	4000
2020.10.29	11:11:00	1706000	1706000	1706000	1706000	1	1	3000
2020.10.29	11:14:00	1708000	1708000	1708000	1708000	1	1	4000
2020.10.29	11:15:00	1705000	1705000	1705000	1705000	1	1	5000
2020.10.29	11:23:00	1710000	1710000	1704000	1705000	5	6	1000
2020.10.29	11:24:00	1703000	1703000	1698000	1698000	7	7	2000
2020.10.29	11:25:00	1697000	1704000	1697000	1704000	5	5	2000
2020.10.29	11:27:00	1704000	1704000	1700000	1700000	5	5	1000
2020.10.29	11:29:00	1700000	1700000	1700000	1700000	1	1	4000
2020.10.29	11:30:00	1702000	1702000	1702000	1702000	1	2	4000
2020.10.29	11:31:00	1704000	1704000	1704000	1704000	1	1	6000
2020.10.29	11:32:00	1704000	1704000	1704000	1704000	1	1	6000
2020.10.29	11:35:00	1706000	1706000	1705000	1705000	2	2	2000
2020.10.29	11:36:00	1703000	1703000	1703000	1703000	1	1	4000
2020.10.29	11:37:00	1703000	1707000	1703000	1707000	4	4	7000
2020.10.29	11:38:00	1700000	1700000	1700000	1700000	1	1	6000
2020.10.29	11:39:00	1700000	1700000	1700000	1700000	1	1	1000
2020.10.29	11:41:00	1700000	1700000	1700000	1700000	1	2	5000
2020.10.29	11:45:00	1704000	1704000	1704000	1704000	2	2	5000
2020.10.29	11:48:00	1705000	1705000	1705000	1705000	1	2	5000
2020.10.29	11:53:00	1705000	1705000	1705000	1705000	6	6	3000
2020.10.29	11:58:00	1705000	1705000	1705000	1705000	1	1	4000
2020.10.29	12:01:00	1706000	1707000	1706000	1707000	4	4	4000
2020.10.29	12:04:00	1707000	1709000	1707000	1709000	3	3	6000
2020.10.29	12:06:00	1710000	1710000	1710000	1710000	1	1	6000
2020.10.29	12:07:00	1711000	1713000	1711000	1713000	4	4	6000
2020.10.29	12:09:00	1706000	1706000	1700000	1700000	6	7	8000
2020.10.29	12:10:00	1702000	1702000	1702000	1702000	2	2	2000
2020.10.29	12:11:00	1709000	1709000	1709000	1709000	1	1	9000
2020.10.29	12:13:00	1709000	1709000	1709000	1709000	1	1	8000
2020.10.29	12:17:00	1709000	1709000	1709000	1709000	1	1	8000
2020.10.29	12:19:00	1702000	1702000	1701000	1701000	2	2	8000
2020.10.29	12:20:00	1709000	1709000	1709000	1709000	1	1	2000
2020.10.29	12:24:00	1706000	1706000	1706000	1706000	1	1	7000
