Date,Time,Open,High,Low,Close,Volume
2020.09.24,10:30:00,1585000,1599000,1585000,1599000,8
2020.09.24,10:31:00,1600000,1600000,1588000,1589000,13
2020.09.24,10:32:00,1588000,1588000,1588000,1588000,2
2020.09.24,10:33:00,1589000,1600000,1589000,1600000,2
2020.09.24,10:34:00,1590000,1590000,1590000,1590000,1
2020.09.24,10:36:00,1590000,1590000,1585000,1586000,7
2020.09.24,10:37:00,1586000,1586000,1584000,1584000,4
2020.09.24,10:38:00,1583000,1583000,1572000,1580000,7
2020.09.24,10:39:00,1580000,1580000,1580000,1580000,4
2020.09.24,10:40:00,1580000,1580000,1580000,1580000,1
2020.09.24,10:42:00,1580000,1580000,1580000,1580000,2
2020.09.24,10:43:00,1582000,1582000,1582000,1582000,1
2020.09.24,10:45:00,1580000,1580000,1580000,1580000,2
2020.09.24,10:47:00,1581000,1581000,1581000,1581000,1
2020.09.24,10:48:00,1585000,1585000,1585000,1585000,1
2020.09.24,10:51:00,1587000,1590000,1587000,1590000,16
2020.09.24,10:52:00,1589000,1589000,1589000,1589000,1
2020.09.24,10:55:00,1585000,1585000,1582000,1582000,6
2020.09.24,10:59:00,1588000,1588000,1588000,1588000,1
2020.09.24,11:00:00,1594000,1595000,1594000,1595000,4
2020.09.24,11:03:00,1587000,1587000,1584000,1584000,4
2020.09.24,11:08:00,1584000,1584000,1581000,1581000,7
2020.09.24,11:10:00,1582000,1582000,1579000,1579000,9
2020.09.24,11:11:00,1578000,1578000,1578000,1578000,1
2020.09.24,11:14:00,1586000,1587000,1586000,1587000,2
2020.09.24,11:20:00,1580000,1580000,1580000,1580000,1
2020.09.24,11:24:00,1587000,1589000,1587000,1589000,5
2020.09.24,11:26:00,1588000,1588000,1588000,1588000,3
2020.09.24,11:28:00,1589000,1589000,1589000,1589000,1
2020.09.24,11:33:00,1584000,1584000,1584000,1584000,1
2020.09.24,11:35:00,1588000,1590000,1588000,1590000,2
2020.09.24,11:36:00,1585000,1585000,1585000,1585000,1
2020.09.24,11:37:00,1585000,1585000,1585000,1585000,1
2020.09.24,11:38:00,1585000,1590000,1585000,1590000,4
2020.09.24,11:40:00,1584000,1584000,1584000,1584000,1
2020.09.24,11:45:00,1583000,1583000,1583000,1583000,1
2020.09.24,11:46:00,1587000,1588000,1584000,1584000,5
2020.09.24,11:47:00,1589000,1589000,1589000,1589000,2
2020.09.24,11:56:00,1590000,1591000,1590000,1590000,4
2020.09.24,12:00:00,1590000,1590000,1590000,1590000,3
2020.09.24,12:01:00,1585000,1585000,1583000,1585000,6
2020.09.24,12:03:00,1583000,1583000,1583000,1583000,5
2020.09.24,12:13:00,1588000,1589000,1588000,1589000,3
2020.09.24,12:16:00,1593000,1593000,1593000,1593000,2
2020.09.24,12:23:00,1590000,1593000,1590000,1593000,7
2020.09.24,12:52:00,1586000,1586000,1586000,1586000,1
2020.09.24,12:54:00,1587000,1595000,1586000,1586000,8
2020.09.24,12:55:00,1598000,1598000,1598000,1598000,1
2020.09.24,12:58:00,1598000,1598000,1598000,1598000,1
2020.09.24,12:59:00,1591000,1591000,1591000,1591000,1
2020.09.24,13:02:00,1597000,1597000,1597000,1597000,3
2020.09.24,13:04:00,1598000,1599000,1598000,1599000,4
2020.09.24,13:08:00,1593000,1593000,1593000,1593000,1
2020.09.24,13:10:00,1598000,1602000,1598000,1602000,6
2020.09.24,13:11:00,1600000,1600000,1600000,1600000,2
2020.09.24,13:12:00,1595000,1595000,1593000,1593000,2
2020.09.24,13:16:00,1592000,1592000,1592000,1592000,1
2020.09.24,13:20:00,1597000,1597000,1597000,1597000,1
2020.09.24,13:24:00,1596000,1596000,1593000,1594000,7
2020.09.24,13:25:00,1596000,1596000,1593000,1593000,6
2020.09.24,13:31:00,1598000,1600000,1598000,1600000,3
2020.09.24,13:43:00,1598000,1598000,1598000,1598000,1
2020.09.24,13:49:00,1591000,1591000,1591000,1591000,2
2020.09.24,13:50:00,1588000,1588000,1588000,1588000,1
2020.09.24,13:55:00,1589000,1589000,1589000,1589000,1
2020.09.24,14:06:00,1591000,1591000,1590000,1590000,2
2020.09.24,14:16:00,1591000,1591000,1590000,1590000,2
2020.09.24,14:19:00,1590000,1590000,1590000,1590000,1
2020.09.24,14:21:00,1598000,1598000,1598000,1598000,1
2020.09.24,14:23:00,1599000,1600000,1599000,1600000,5
2020.09.24,14:39:00,1600000,1600000,1600000,1600000,4
2020.09.24,14:41:00,1600000,1601000,1600000,1601000,4
2020.09.24,14:54:00,1603000,1605000,1595000,1595000,9
2020.09.26,10:30:00,1600000,1600000,1600000,1600000,2
2020.09.26,10:31:00,1617000,1620000,1617000,1620000,6
2020.09.26,10:33:00,1620000,1620000,1620000,1620000,2
2020.09.26,10:34:00,1611000,1611000,1610000,1610000,12
2020.09.26,10:35:00,1610000,1610000,1610000,1610000,2
2020.09.26,10:38:00,1630000,1630000,1630000,1630000,1
2020.09.26,10:39:00,1632000,1633000,1632000,1633000,3
2020.09.26,10:40:00,1633000,1633000,1633000,1633000,3
2020.09.26,10:42:00,1633000,1633000,1633000,1633000,1
2020.09.26,10:44:00,1627000,1627000,1627000,1627000,2
2020.09.26,10:45:00,1628000,1628000,1625000,1625000,6
2020.09.26,10:46:00,1620000,1620000,1620000,1620000,1
2020.09.26,10:47:00,1624000,1624000,1624000,1624000,1
2020.09.26,10:50:00,1625000,1630000,1625000,1630000,6
2020.09.26,10:52:00,1632000,1632000,1632000,1632000,1
2020.09.26,10:54:00,1620000,1620000,1618000,1618000,4
2020.09.26,10:57:00,1615000,1615000,1613000,1613000,3
2020.09.26,11:11:00,1611000,1611000,1600000,1600000,10
2020.09.26,11:12:00,1600000,1600000,1600000,1600000,2
2020.09.26,11:19:00,1602000,1602000,1601000,1601000,2
2020.09.26,11:20:00,1601000,1601000,1600000,1600000,3
2020.09.26,11:24:00,1616000,1620000,1601000,1601000,6
2020.09.26,11:27:00,1605000,1605000,1605000,1605000,1
2020.09.26,11:32:00,1612000,1612000,1612000,1612000,1
2020.09.26,11:33:00,1612000,1612000,1611000,1611000,3
2020.09.26,11:34:00,1611000,1611000,1611000,1611000,5
2020.09.26,11:35:00,1611000,1611000,1611000,1611000,1
2020.09.26,11:48:00,1610000,1610000,1610000,1610000,1
2020.09.26,12:24:00,1612000,1612000,1612000,1612000,3
2020.09.26,12:25:00,1622000,1625000,1622000,1625000,4
2020.09.26,12:30:00,1615000,1615000,1615000,1615000,2
2020.09.26,12:34:00,1615000,1615000,1615000,1615000,2
2020.09.26,12:35:00,1625000,1625000,1624000,1624000,4
2020.09.26,12:40:00,1615000,1615000,1614000,1614000,3
2020.09.26,12:42:00,1615000,1615000,1614000,1614000,8
2020.09.26,12:56:00,1615000,1615000,1615000,1615000,3
2020.09.26,13:22:00,1623000,1623000,1623000,1623000,1
2020.09.26,13:23:00,1616000,1616000,1616000,1616000,1
2020.09.26,13:31:00,1616000,1616000,1616000,1616000,1
2020.09.26,13:32:00,1612000,1612000,1612000,1612000,3
2020.09.26,13:37:00,1608000,1608000,1608000,1608000,2
2020.09.26,13:38:00,1608000,1608000,1608000,1608000,3
2020.09.26,13:40:00,1615000,1616000,1615000,1615000,4
2020.09.26,13:48:00,1613000,1613000,1613000,1613000,1
2020.09.26,14:00:00,1616000,1616000,1616000,1616000,2
2020.09.26,14:01:00,1612000,1612000,1612000,1612000,2
2020.09.26,14:13:00,1611000,1611000,1609000,1609000,4
2020.09.26,14:28:00,1609000,1609000,1609000,1609000,1
2020.09.26,14:32:00,1615000,1616000,1615000,1616000,2
2020.09.26,14:34:00,1610000,1610000,1610000,1610000,2
2020.09.26,14:42:00,1607000,1607000,1606000,1606000,2
2020.09.26,14:49:00,1607000,1607000,1607000,1607000,1
2020.09.26,14:50:00,1606000,1606000,1606000,1606000,10
2020.09.27,10:30:00,1592000,1592000,1591000,1591000,8
2020.09.27,10:31:00,1600000,1600000,1597000,1597000,6
2020.09.27,10:32:00,1600000,1600000,1600000,1600000,8
2020.09.27,10:33:00,1600000,1600000,1600000,1600000,5
2020.09.27,10:34:00,1601000,1601000,1601000,1601000,9
2020.09.27,10:35:00,1605000,1605000,1605000,1605000,2
2020.09.27,10:36:00,1600000,1600000,1598000,1598000,17
2020.09.27,10:37:00,1597000,1597000,1597000,1597000,2
2020.09.27,10:39:00,1595000,1595000,1595000,1595000,3
2020.09.27,10:40:00,1595000,1597000,1595000,1597000,6
2020.09.27,10:41:00,1595000,1595000,1595000,1595000,2
2020.09.27,10:47:00,1599000,1600000,1599000,1600000,4
2020.09.27,10:49:00,1600000,1600000,1600000,1600000,6
2020.09.27,10:50:00,1596000,1596000,1596000,1596000,2
2020.09.27,10:51:00,1595000,1595000,1595000,1595000,3
2020.09.27,10:52:00,1594000,1594000,1589000,1589000,8
2020.09.27,10:55:00,1590000,1590000,1590000,1590000,1
2020.09.27,10:56:00,1590000,1590000,1590000,1590000,1
2020.09.27,10:57:00,1589000,1589000,1589000,1589000,1
2020.09.27,11:00:00,1587000,1587000,1586000,1586000,2
2020.09.27,11:01:00,1585000,1585000,1585000,1585000,1
2020.09.27,11:02:00,1585000,1585000,1585000,1585000,2
2020.09.27,11:03:00,1583000,1583000,1579000,1579000,9
2020.09.27,11:04:00,1580000,1580000,1580000,1580000,1
2020.09.27,11:05:00,1580000,1588000,1580000,1588000,2
2020.09.27,11:07:00,1580000,1580000,1580000,1580000,1
2020.09.27,11:12:00,1580000,1580000,1580000,1580000,1
2020.09.27,11:14:00,1579000,1579000,1577000,1577000,2
2020.09.27,11:21:00,1588000,1588000,1588000,1588000,1
2020.09.27,11:30:00,1580000,1580000,1580000,1580000,1
2020.09.27,11:31:00,1579000,1579000,1579000,1579000,4
2020.09.27,11:56:00,1580000,1580000,1580000,1580000,1
2020.09.27,11:57:00,1580000,1580000,1580000,1580000,1
2020.09.27,12:13:00,1590000,1590000,1590000,1590000,2
2020.09.27,12:27:00,1579000,1579000,1579000,1579000,1
2020.09.27,12:35:00,1579000,1579000,1578000,1578000,6
2020.09.27,12:36:00,1577000,1577000,1576000,1576000,4
2020.09.27,12:39:00,1573000,1573000,1571000,1571000,8
2020.09.27,12:43:00,1570000,1570000,1570000,1570000,1
2020.09.27,12:54:00,1572000,1572000,1572000,1572000,1
2020.09.27,12:59:00,1578000,1578000,1578000,1578000,1
2020.09.27,13:01:00,1579000,1579000,1579000,1579000,2
2020.09.27,13:10:00,1580000,1580000,1580000,1580000,5
2020.09.27,13:11:00,1580000,1580000,1580000,1580000,3
2020.09.27,13:14:00,1580000,1580000,1580000,1580000,2
2020.09.27,13:19:00,1580000,1580000,1580000,1580000,2
2020.09.27,13:20:00,1587000,1587000,1587000,1587000,1
2020.09.27,13:21:00,1588000,1589000,1587000,1587000,4
2020.09.27,13:22:00,1589000,1589000,1589000,1589000,1
2020.09.27,13:23:00,1594000,1594000,1594000,1594000,1
2020.09.27,13:24:00,1587000,1587000,1587000,1587000,2
2020.09.27,13:29:00,1591000,1591000,1591000,1591000,1
2020.09.27,13:32:00,1591000,1591000,1587000,1587000,2
2020.09.27,13:40:00,1592000,1592000,1592000,1592000,1
2020.09.27,13:43:00,1583000,1583000,1583000,1583000,1
2020.09.27,13:45:00,1583000,1583000,1583000,1583000,3
2020.09.27,13:51:00,1587000,1587000,1587000,1587000,1
2020.09.27,13:55:00,1583000,1583000,1583000,1583000,1
2020.09.27,13:56:00,1583000,1583000,1583000,1583000,2
2020.09.27,13:57:00,1581000,1581000,1581000,1581000,1
2020.09.27,13:58:00,1581000,1581000,1581000,1581000,1
2020.09.27,13:59:00,1580000,1580000,1580000,1580000,1
2020.09.27,14:06:00,1587000,1589000,1587000,1589000,2
2020.09.27,14:13:00,1588000,1589000,1588000,1589000,5
2020.09.27,14:15:00,1589000,1589000,1589000,1589000,1
2020.09.27,14:20:00,1591000,1591000,1591000,1591000,1
2020.09.27,14:23:00,1594000,1595000,1594000,1595000,2
2020.09.27,14:24:00,1597000,1600000,1597000,1600000,7
2020.09.27,14:25:00,1599000,1601000,1599000,1601000,3
2020.09.27,14:26:00,1600000,1600000,1600000,1600000,5
2020.09.27,14:27:00,1600000,1600000,1600000,1600000,2
2020.09.27,14:29:00,1597000,1597000,1597000,1597000,3
2020.09.27,14:30:00,1600000,1600000,1600000,1600000,2
2020.09.27,14:35:00,1600000,1600000,1600000,1600000,2
2020.09.27,14:36:00,1600000,1601000,1600000,1601000,2
2020.09.27,14:38:00,1600000,1600000,1600000,1600000,1
2020.09.27,14:41:00,1602000,1602000,1602000,1602000,1
2020.09.27,14:42:00,1602000,1602000,1602000,1602000,5
2020.09.27,14:43:00,1601000,1601000,1601000,1601000,1
2020.09.27,14:44:00,1603000,1603000,1602000,1602000,3
