<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2021.01.03,12:00:00,1466000,1470000,1464000,1470000,29
2021.01.03,13:00:00,1468000,1473000,1467000,1470000,27
2021.01.03,14:00:00,1470000,1470000,1442000,1442000,127
2021.01.04,10:00:00,1443000,1450000,1433000,1439000,67
2021.01.04,11:00:00,1447000,1447000,1430000,1430000,23
2021.01.04,12:00:00,1432000,1450000,1432000,1447000,18
2021.01.04,13:00:00,1445000,1446000,1433000,1433000,21
2021.01.04,14:00:00,1438000,1444000,1432000,1438000,109
2021.01.05,10:00:00,1434000,1434000,1434000,1434000,4
2021.01.05,11:00:00,1450000,1452000,1432000,1440000,32
2021.01.05,12:00:00,1436000,1440000,1435000,1440000,9
2021.01.05,13:00:00,1440000,1450000,1439000,1450000,57
2021.01.05,14:00:00,1450000,1451000,1443000,1449000,36
2021.01.06,10:00:00,1450000,1469000,1450000,1463000,56
2021.01.06,11:00:00,1461000,1462000,1456000,1459000,50
2021.01.06,12:00:00,1459000,1461000,1455000,1458000,38
2021.01.06,13:00:00,1458000,1481000,1458000,1479000,454
2021.01.06,14:00:00,1479000,1480000,1474000,1474000,49
2021.01.07,10:00:00,1482000,1486000,1471000,1472000,42
2021.01.07,11:00:00,1471000,1479000,1466000,1471000,28
2021.01.07,12:00:00,1471000,1471000,1462000,1471000,52
2021.01.07,13:00:00,1471000,1471000,1463000,1469000,19
2021.01.07,14:00:00,1465000,1469000,1461000,1461000,49
2021.01.09,10:00:00,1460000,1460000,1430000,1450000,33
2021.01.09,11:00:00,1452000,1454000,1441000,1452000,53
2021.01.09,12:00:00,1453000,1455000,1447000,1455000,23
2021.01.09,13:00:00,1456000,1456000,1441000,1443000,62
2021.01.09,14:00:00,1441000,1441000,1435000,1435000,95
