Date,Time,Open,High,Low,Close,Volume
2020.10.19,8:00:00,1812000,1840000,1811000,1814000,37
2020.10.19,12:00:00,1815000,1869000,1815000,1859000,188
2020.10.20,8:00:00,1839000,1845000,1783000,1783000,124
2020.10.20,12:00:00,1788000,1820000,1788000,1808000,78
2020.10.21,8:00:00,1791000,1809000,1767000,1783000,70
2020.10.21,12:00:00,1784000,1813000,1780000,1795000,73
2020.10.22,8:00:00,1771000,1796000,1771000,1790000,49
2020.10.22,12:00:00,1786000,1795000,1786000,1792000,46
2020.10.24,8:00:00,1795000,1805000,1782000,1793000,13
2020.10.24,12:00:00,1795000,1795000,1786000,1787000,17
2020.10.26,8:00:00,1787000,1787000,1780000,1780000,17
2020.10.26,12:00:00,1777000,1782000,1777000,1782000,16
2020.10.27,8:00:00,1777000,1782000,1775000,1782000,17
2020.10.27,12:00:00,1785000,1785000,1775000,1776000,25
2020.10.28,8:00:00,1778000,1780000,1778000,1780000,7
2020.10.28,12:00:00,1780000,1810000,1771000,1780000,39
2020.10.29,8:00:00,1806000,1806000,1794000,1799000,6
2020.10.29,12:00:00,1800000,1804000,1790000,1796000,19
2020.10.31,8:00:00,1785000,1786000,1775000,1784000,10
2020.10.31,12:00:00,1786000,1798000,1779000,1781000,16
2020.11.01,8:00:00,1780000,1795000,1780000,1787000,24
2020.11.01,12:00:00,1781000,1790000,1762000,1770000,101
2020.11.02,8:00:00,1781000,1782000,1781000,1782000,4
2020.11.02,12:00:00,1777000,1810000,1777000,1785000,33
2020.11.04,8:00:00,1797000,1834000,1797000,1825000,21
2020.11.04,12:00:00,1824000,1824000,1810000,1815000,27
2020.11.05,8:00:00,1793000,1793000,1766000,1771000,30
2020.11.05,12:00:00,1771000,1776000,1770000,1770000,27
2020.11.07,8:00:00,1720000,1720000,1700000,1715000,61
2020.11.07,12:00:00,1710000,1730000,1700000,1730000,188
2020.11.08,8:00:00,1666000,1707000,1666000,1680000,29
2020.11.08,12:00:00,1680000,1713000,1677000,1713000,84
2020.11.09,8:00:00,1720000,1720000,1700000,1714000,25
2020.11.09,12:00:00,1720000,1756000,1718000,1745000,133
2020.11.10,8:00:00,1738000,1754000,1731000,1746000,62
2020.11.10,12:00:00,1745000,1746000,1730000,1730000,113
2020.11.11,8:00:00,1736000,1747000,1729000,1747000,28
2020.11.11,12:00:00,1739000,1742000,1727000,1727000,98
2020.11.12,8:00:00,1736000,1739000,1728000,1728000,49
2020.11.12,12:00:00,1726000,1736000,1723000,1736000,111
2020.11.14,8:00:00,1723000,1739000,1723000,1733000,11
2020.11.14,12:00:00,1735000,1740000,1734000,1738000,61
2020.11.15,8:00:00,1737000,1739000,1736000,1739000,11
2020.11.15,12:00:00,1748000,1765000,1744000,1749000,145
2020.11.16,8:00:00,1759000,1820000,1750000,1793000,102
2020.11.16,12:00:00,1787000,1822000,1770000,1781000,333
2020.11.17,8:00:00,1771000,1779000,1767000,1779000,62
2020.11.17,12:00:00,1783000,1792000,1776000,1792000,78
2020.11.18,8:00:00,1800000,1829000,1800000,1820000,91
2020.11.18,12:00:00,1825000,1870000,1803000,1823000,156
2020.11.19,8:00:00,1839000,1840000,1828000,1830000,88
2020.11.19,12:00:00,1828000,1833000,1820000,1829000,120
2020.11.21,8:00:00,1812000,1836000,1812000,1835000,15
2020.11.21,12:00:00,1833000,1850000,1826000,1834000,90
2020.11.22,8:00:00,1845000,1847000,1845000,1847000,4
2020.11.22,12:00:00,1838000,1838000,1810000,1821000,135
2020.11.23,8:00:00,1800000,1824000,1797000,1797000,111
2020.11.23,12:00:00,1792000,1809000,1770000,1795000,341
2020.11.24,8:00:00,1775000,1784000,1765000,1768000,167
2020.11.24,12:00:00,1770000,1784000,1757000,1773000,284
2020.11.25,8:00:00,1777000,1800000,1774000,1780000,232
2020.11.25,12:00:00,1782000,1789000,1771000,1780000,72
2020.11.26,8:00:00,1780000,1780000,1751000,1760000,88
2020.11.26,12:00:00,1763000,1763000,1746000,1755000,212
2020.11.28,8:00:00,1750000,1754000,1742000,1742000,67
2020.11.28,12:00:00,1742000,1800000,1742000,1773000,512
2020.11.29,8:00:00,1772000,1782000,1765000,1775000,65
2020.11.29,12:00:00,1773000,1773000,1758000,1763000,148
2020.11.30,8:00:00,1767000,1767000,1753000,1760000,195
2020.11.30,12:00:00,1760000,1760000,1750000,1756000,148
2020.12.01,8:00:00,1750000,1769000,1745000,1754000,373
2020.12.01,12:00:00,1754000,1759000,1734000,1743000,159
2020.12.02,8:00:00,1724000,1740000,1724000,1740000,142
2020.12.02,12:00:00,1738000,1750000,1729000,1743000,173
2020.12.03,8:00:00,1749000,1753000,1735000,1740000,111
2020.12.03,12:00:00,1740000,1747000,1739000,1739000,51
2020.12.05,8:00:00,1749000,1749000,1738000,1740000,31
2020.12.05,12:00:00,1740000,1740000,1719000,1719000,170
2020.12.06,8:00:00,1710000,1719000,1705000,1708000,124
2020.12.06,12:00:00,1717000,1730000,1708000,1710000,246
2020.12.07,8:00:00,1716000,1733000,1716000,1730000,142
2020.12.07,12:00:00,1725000,1734000,1705000,1715000,427
2020.12.08,8:00:00,1714000,1718000,1710000,1710000,87
2020.12.08,12:00:00,1711000,1720000,1707000,1719000,217
2020.12.09,8:00:00,1729000,1730000,1717000,1724000,137
2020.12.09,12:00:00,1721000,1724000,1712000,1718000,123
2020.12.10,8:00:00,1724000,1728000,1718000,1718000,60
2020.12.10,12:00:00,1719000,1734000,1718000,1734000,422
2020.12.12,8:00:00,1730000,1742000,1721000,1742000,267
2020.12.12,12:00:00,1742000,1770000,1741000,1759000,582
