<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2021.02.15,10:00:00,1426000,1429000,1426000,1426000,7
2021.02.15,11:00:00,1422000,1425000,1411000,1417000,85
2021.02.15,12:00:00,1418000,1418000,1415000,1415000,23
2021.02.15,13:00:00,1413000,1413000,1410000,1413000,20
2021.02.15,14:00:00,1418000,1421000,1413000,1417000,28
2021.02.16,10:00:00,1420000,1429000,1416000,1416000,18
2021.02.16,11:00:00,1420000,1420000,1417000,1419000,5
2021.02.16,12:00:00,1420000,1420000,1411000,1418000,89
2021.02.16,13:00:00,1420000,1432000,1420000,1430000,100
2021.02.16,14:00:00,1428000,1432000,1418000,1424000,86
