<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020.09.22,119500,120300,114500,116600,28352
2020.09.23,117300,119500,115900,117700,22031
2020.09.24,118000,124000,117200,123100,34182
2020.09.26,123000,129700,122800,129700,34136
2020.09.27,130800,131300,122800,122800,53335
2020.09.28,120700,122200,117400,117400,43266
2020.09.29,116600,123500,113000,119600,65492
2020.09.30,121000,126200,118800,124600,43403
2020.10.01,126900,131100,124300,131100,36173
2020.10.03,137100,148400,137100,148400,1408
2020.10.04,143900,143900,136200,143900,73399
2020.10.05,144200,148600,141700,142900,60737
2020.10.06,143000,150700,142600,150700,54335
2020.10.07,151800,157800,150500,157800,40915
2020.10.10,160000,165300,159200,165300,55877
2020.10.11,170500,173300,168000,173300,38268
2020.10.12,175300,178000,164400,164400,27369
2020.10.13,156400,157300,152600,152600,10899
2020.10.14,150700,158300,148700,149200,78935
2020.10.15,149500,151200,142100,143700,52988
2020.10.18,141000,151500,140200,151500,54719
2020.10.19,152400,153800,144000,144000,65102
2020.10.20,140000,151500,138000,149800,74688
2020.10.21,147500,154400,144400,146700,81013
2020.10.22,144000,146300,142500,144200,40788
2020.10.24,142200,147200,141900,144400,46373
2020.10.26,147800,150800,147200,150200,58457
2020.10.27,149600,150000,142300,142300,59116
2020.10.28,139900,141500,135900,135900,61304
2020.10.29,135700,142500,132400,139900,76212
2020.10.31,139000,142300,134100,140900,81067
2020.11.01,142200,144700,139000,141500,62794
2020.11.02,142400,147500,142200,144700,64793
2020.11.04,143300,144200,138100,138100,52464
2020.11.05,136300,138600,135000,137800,45187
2020.11.07,134500,139400,133800,138600,53673
2020.11.08,138300,139700,135400,137400,59459
2020.11.09,137100,138700,135600,137900,63785
2020.11.10,138500,139400,136700,137100,31690
2020.11.11,136100,136600,134800,135400,28158
2020.11.12,135100,138700,135100,138300,32539
2020.11.14,138500,138500,136300,137000,26616
2020.11.15,136800,137300,135700,136100,22665
