<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020.09.22,10:00:00,119500,120300,114500,115800,9310
2020.09.22,11:00:00,115900,117700,114500,116200,7289
2020.09.22,12:00:00,116200,117000,115500,116700,3429
2020.09.22,13:00:00,116600,116600,115000,115000,3889
2020.09.22,14:00:00,115000,116600,114500,116600,4435
2020.09.23,10:00:00,117300,119000,116500,117000,6137
2020.09.23,11:00:00,116900,117100,116200,117000,4961
2020.09.23,12:00:00,116900,117000,115900,116700,2542
2020.09.23,13:00:00,116600,117600,116500,117000,2742
2020.09.23,14:00:00,117000,119500,117000,117700,5649
2020.09.24,10:00:00,118000,118400,117200,118300,1393
2020.09.24,11:00:00,118000,120200,117400,119300,6370
2020.09.24,12:00:00,119500,120000,118800,120000,3295
2020.09.24,13:00:00,120000,124000,119700,123000,13280
2020.09.24,14:00:00,123000,124000,122200,123100,9844
2020.09.26,10:00:00,123000,127000,122800,124000,9082
2020.09.26,11:00:00,124100,124500,123000,123500,4600
2020.09.26,12:00:00,123500,125500,123400,125100,2868
2020.09.26,13:00:00,125100,129700,125100,129100,10783
2020.09.26,14:00:00,129000,129700,127900,129700,6803
2020.09.27,10:00:00,130800,131300,127800,128100,14692
2020.09.27,11:00:00,128200,128200,122900,125000,17019
2020.09.27,12:00:00,125000,126000,124000,124900,4097
2020.09.27,13:00:00,124900,126500,123000,123800,7091
2020.09.27,14:00:00,123700,124300,122800,122800,10436
2020.09.28,10:00:00,120700,122200,117500,118600,9694
2020.09.28,11:00:00,118600,120300,117800,119400,9987
2020.09.28,12:00:00,119400,121200,119000,119300,8766
2020.09.28,13:00:00,119300,119400,117400,117800,9704
2020.09.28,14:00:00,117700,117700,117400,117400,5115
2020.09.29,10:00:00,116600,117300,114200,115800,10532
2020.09.29,11:00:00,115800,117100,115300,116500,5806
2020.09.29,12:00:00,116500,119800,115800,116700,12575
2020.09.29,13:00:00,116700,117000,113000,113500,11609
2020.09.29,14:00:00,113500,123500,113300,119600,24970
2020.09.30,10:00:00,121000,122300,118800,120700,6274
2020.09.30,11:00:00,120700,123300,119500,122600,5921
2020.09.30,12:00:00,122600,123500,119500,122700,9139
2020.09.30,13:00:00,122700,122800,120400,121700,5424
2020.09.30,14:00:00,121700,126200,121600,124600,16645
2020.10.01,10:00:00,126900,128100,124600,124900,5789
2020.10.01,11:00:00,124900,126300,124300,125700,6443
2020.10.01,12:00:00,125700,127700,125500,126000,8141
2020.10.01,13:00:00,126000,131100,125000,131100,15637
2020.10.01,14:00:00,131100,131100,131100,131100,163
2020.10.03,10:00:00,137100,137100,137100,137100,72
2020.10.03,11:00:00,137100,137100,137100,137100,67
2020.10.03,12:00:00,137100,137100,137100,137100,20
2020.10.03,13:00:00,137100,137100,137100,137100,2
2020.10.03,14:00:00,137100,137100,137100,137100,7
2020.10.03,17:00:00,141100,148400,141100,148400,1240
2020.10.04,10:00:00,143900,143900,139500,142700,24349
2020.10.04,11:00:00,142800,143900,140800,141100,11406
2020.10.04,12:00:00,141100,143400,136200,140800,14621
2020.10.04,13:00:00,140800,143100,139900,141200,10751
2020.10.04,14:00:00,141200,143900,139400,143900,12272
2020.10.05,10:00:00,144200,144900,141700,142900,9238
2020.10.05,11:00:00,143000,147400,142200,146700,13074
2020.10.05,12:00:00,146800,147100,145300,146200,8433
2020.10.05,13:00:00,146200,148600,143800,144000,13702
2020.10.05,14:00:00,144400,144900,142400,142900,16290
2020.10.06,10:00:00,143000,145800,142600,145500,6411
2020.10.06,11:00:00,144900,148900,144400,146900,14019
2020.10.06,12:00:00,146900,147700,144800,146500,5656
2020.10.06,13:00:00,146400,150000,145100,149000,11806
2020.10.06,14:00:00,149000,150700,148600,150700,16443
2020.10.07,10:00:00,151800,154900,150500,153300,8235
2020.10.07,11:00:00,153300,157500,153200,156600,10363
2020.10.07,12:00:00,156600,157400,155800,156200,7378
2020.10.07,13:00:00,156200,157800,155000,157700,12068
2020.10.07,14:00:00,157600,157800,156900,157800,2871
2020.10.10,10:00:00,160000,165300,159200,165300,15134
2020.10.10,11:00:00,165300,165300,160100,160900,18892
2020.10.10,12:00:00,160800,165300,160800,165300,14280
2020.10.10,13:00:00,165300,165300,164900,165300,3993
2020.10.10,14:00:00,165300,165300,165100,165300,3578
2020.10.11,10:00:00,170500,172500,168000,171200,16631
2020.10.11,11:00:00,171400,173300,170800,172600,14662
2020.10.11,12:00:00,172600,173300,172300,173300,6382
2020.10.11,13:00:00,173300,173300,173300,173300,143
2020.10.11,14:00:00,173300,173300,173300,173300,450
2020.10.12,10:00:00,175300,178000,164400,164400,26559
2020.10.12,11:00:00,164400,164400,164400,164400,427
2020.10.12,12:00:00,164400,164400,164400,164400,47
2020.10.12,13:00:00,164400,164400,164400,164400,316
2020.10.12,14:00:00,164400,164400,164400,164400,20
2020.10.13,10:00:00,156400,157300,156400,156400,10516
2020.10.13,11:00:00,156400,156400,156400,156400,28
2020.10.13,12:00:00,156400,156400,156400,156400,45
2020.10.13,13:00:00,156400,156400,156400,156400,9
2020.10.13,14:00:00,156400,156400,156400,156400,26
2020.10.13,15:00:00,152600,152600,152600,152600,275
2020.10.14,10:00:00,150700,158300,149000,151200,21363
2020.10.14,11:00:00,151200,155600,150500,153000,11962
2020.10.14,12:00:00,153100,157600,151000,155900,12402
2020.10.14,13:00:00,155700,156500,154600,155400,6312
2020.10.14,14:00:00,155500,155600,148700,149200,26896
2020.10.15,10:00:00,149500,151200,146800,148500,14732
2020.10.15,11:00:00,148500,150900,145800,146300,13244
2020.10.15,12:00:00,146300,146400,142400,143300,19901
2020.10.15,13:00:00,143400,143600,143000,143200,490
2020.10.15,14:00:00,143000,143800,142100,143700,4621
2020.10.18,10:00:00,141000,145800,140200,143200,14453
2020.10.18,11:00:00,143200,151500,143000,151500,21440
2020.10.18,12:00:00,151500,151500,151400,151500,7023
2020.10.18,13:00:00,151500,151500,151400,151500,6953
2020.10.18,14:00:00,151500,151500,151200,151500,4850
2020.10.19,10:00:00,152400,153800,144000,145800,27875
2020.10.19,11:00:00,145900,148500,145100,146000,11663
2020.10.19,12:00:00,146100,147000,144400,144800,13113
2020.10.19,13:00:00,144800,145900,144000,144000,10575
2020.10.19,14:00:00,144000,144200,144000,144000,1876
2020.10.20,10:00:00,140000,141700,138200,138400,16907
2020.10.20,11:00:00,138400,140600,138000,140500,11070
2020.10.20,12:00:00,140400,141700,139600,140200,7384
2020.10.20,13:00:00,140300,151500,138200,150300,23227
2020.10.20,14:00:00,150200,151400,147600,149800,16100
2020.10.21,10:00:00,147500,148900,144500,147000,13111
2020.10.21,11:00:00,147000,147600,144400,147600,11427
2020.10.21,12:00:00,147700,153600,146300,153000,20345
2020.10.21,13:00:00,153100,154400,149400,151000,18237
2020.10.21,14:00:00,151000,152100,145000,146700,17893
2020.10.22,10:00:00,144000,146300,142900,144000,13230
2020.10.22,11:00:00,143900,145500,143300,144000,6569
2020.10.22,12:00:00,144000,145700,143700,145200,6163
2020.10.22,13:00:00,145200,145200,142500,143700,8861
2020.10.22,14:00:00,143600,145000,143400,144200,5965
2020.10.24,10:00:00,142200,145000,141900,144500,7453
2020.10.24,11:00:00,144300,145800,143100,144900,12295
2020.10.24,12:00:00,144900,147200,144200,145100,11627
2020.10.24,13:00:00,145000,146100,143400,145400,8850
2020.10.24,14:00:00,145400,145600,143800,144400,6148
2020.10.26,10:00:00,147800,150800,147700,149000,19550
2020.10.26,11:00:00,149000,150100,148200,148900,8973
2020.10.26,12:00:00,149000,149000,147200,147900,7836
2020.10.26,13:00:00,148000,149600,147900,149200,9628
2020.10.26,14:00:00,149300,150500,149100,150200,12470
2020.10.27,10:00:00,149600,150000,147300,148900,11317
2020.10.27,11:00:00,149000,149100,146600,147600,12002
2020.10.27,12:00:00,147700,148300,145500,145900,11161
2020.10.27,13:00:00,145900,146100,142300,142300,24484
2020.10.27,14:00:00,142300,142300,142300,142300,152
2020.10.28,10:00:00,139900,140200,138500,139300,11174
2020.10.28,11:00:00,139400,141500,139100,139700,14786
2020.10.28,12:00:00,139700,140100,135900,135900,20302
2020.10.28,13:00:00,135900,135900,135900,135900,1121
2020.10.28,14:00:00,135900,137800,135900,135900,13921
2020.10.29,10:00:00,135700,136400,132500,133100,13689
2020.10.29,11:00:00,133200,136300,132400,136100,14813
2020.10.29,12:00:00,136100,142500,135900,139700,23907
2020.10.29,13:00:00,139700,141300,138400,140000,10183
2020.10.29,14:00:00,140000,141500,138200,139900,13620
2020.10.31,10:00:00,139000,142300,138800,140500,11049
2020.10.31,11:00:00,140500,140500,134100,136000,21676
2020.10.31,12:00:00,136200,136800,134300,136200,10880
2020.10.31,13:00:00,136200,137200,135000,136400,8095
2020.10.31,14:00:00,136400,141600,136300,140900,29367
2020.11.01,10:00:00,142200,144200,139700,140000,16683
2020.11.01,11:00:00,140000,141400,139500,141000,9347
2020.11.01,12:00:00,141000,141400,139000,140300,9722
2020.11.01,13:00:00,140300,141500,139400,140600,6654
2020.11.01,14:00:00,140700,144700,140400,141500,20388
2020.11.02,10:00:00,142400,145400,142200,143900,15504
2020.11.02,11:00:00,143900,144400,143000,143600,8578
2020.11.02,12:00:00,143600,147500,143000,145400,23660
2020.11.02,13:00:00,145400,146500,145000,145800,7446
2020.11.02,14:00:00,145800,145900,144200,144700,9605
2020.11.04,10:00:00,143300,144200,139800,141000,15275
2020.11.04,11:00:00,141000,141800,140300,141100,6752
2020.11.04,12:00:00,140900,142900,140400,142000,7825
2020.11.04,13:00:00,142000,142600,140100,140600,7031
2020.11.04,14:00:00,140700,141200,138100,138100,15581
2020.11.05,10:00:00,136300,137500,135400,136900,9447
2020.11.05,11:00:00,136900,137200,136100,136700,6244
2020.11.05,12:00:00,136800,138600,136800,137600,9969
2020.11.05,13:00:00,137600,138300,135000,135800,10034
2020.11.05,14:00:00,135900,138100,135300,137800,9493
2020.11.07,10:00:00,134500,137400,133800,137100,11791
2020.11.07,11:00:00,136900,137800,135800,136100,7182
2020.11.07,12:00:00,136300,137800,135300,137000,8286
2020.11.07,13:00:00,137100,139400,135400,138600,16830
2020.11.07,14:00:00,138600,139300,138400,138600,9584
2020.11.08,10:00:00,138300,138900,137300,138700,7561
2020.11.08,11:00:00,138700,139700,137600,138400,13314
2020.11.08,12:00:00,138400,138900,137600,138300,6435
2020.11.08,13:00:00,138400,138600,135800,136600,16313
2020.11.08,14:00:00,136700,137400,135400,137400,15836
2020.11.09,10:00:00,137100,137800,136300,137100,7914
2020.11.09,11:00:00,137100,138600,135600,137100,24682
2020.11.09,12:00:00,137100,138100,136800,137600,7701
2020.11.09,13:00:00,137400,138700,136900,137700,15561
2020.11.09,14:00:00,137700,138300,137200,137900,7927
2020.11.10,10:00:00,138500,139400,137800,138400,8705
2020.11.10,11:00:00,138400,138900,137300,138000,6201
2020.11.10,12:00:00,138000,138300,137500,137900,2965
2020.11.10,13:00:00,138000,138200,136700,137100,6390
2020.11.10,14:00:00,137100,137400,136700,137100,7429
2020.11.11,10:00:00,136100,136600,134800,135700,12284
2020.11.11,11:00:00,135700,136500,135600,135800,3385
2020.11.11,12:00:00,135900,136500,135700,136200,3548
2020.11.11,13:00:00,136200,136400,135400,135700,3581
2020.11.11,14:00:00,135800,136000,135300,135400,5360
2020.11.12,10:00:00,135100,135800,135100,135500,5387
2020.11.12,11:00:00,135500,138000,135500,137800,13829
2020.11.12,12:00:00,137700,137900,137100,137200,4454
2020.11.12,13:00:00,137200,137900,137200,137400,2399
2020.11.12,14:00:00,137500,138700,137300,138300,6470
2020.11.14,10:00:00,138500,138500,137100,137700,6485
2020.11.14,11:00:00,137700,137900,136600,137100,8747
2020.11.14,12:00:00,137100,137100,136300,136700,3785
2020.11.14,13:00:00,136700,137600,136500,137300,5390
2020.11.14,14:00:00,137400,137500,136900,137000,2209
2020.11.15,10:00:00,136800,137300,136100,136500,8471
2020.11.15,11:00:00,136500,136600,135800,136200,5746
2020.11.15,12:00:00,136200,136700,135700,136300,3448
2020.11.15,13:00:00,136400,136500,135800,136200,2123
2020.11.15,14:00:00,136100,136500,135900,136100,2877
2020.11.16,10:00:00,135500,136600,135400,136500,8335
2020.11.16,11:00:00,136600,137500,136300,137000,7724
2020.11.16,12:00:00,136900,137500,136800,137100,2182
2020.11.16,13:00:00,137200,137200,135500,135700,6554
2020.11.16,14:00:00,135700,136100,131300,132600,22228
2020.11.17,10:00:00,133000,134000,132400,133200,7191
2020.11.17,11:00:00,133200,133400,131900,132600,8298
2020.11.17,12:00:00,132800,133600,132500,133500,3515
2020.11.17,13:00:00,133500,133900,132900,133200,2942
2020.11.17,14:00:00,133200,139500,132600,139500,20696
2020.11.18,10:00:00,143700,143700,140200,141600,9662
2020.11.18,11:00:00,141600,141700,140800,141300,5476
2020.11.18,12:00:00,141300,143600,139000,139200,14937
2020.11.18,13:00:00,139200,142100,138500,140700,8379
2020.11.18,14:00:00,140800,141700,139200,140900,6824
2020.11.19,10:00:00,140900,140900,139400,140300,4847
2020.11.19,11:00:00,140400,141700,140000,141000,6682
2020.11.19,12:00:00,140900,141800,139400,139600,7738
2020.11.19,13:00:00,139600,140700,139300,140000,4685
2020.11.19,14:00:00,140000,141900,139800,141300,6679
2020.11.21,10:00:00,141300,142500,140500,141700,2956
2020.11.21,11:00:00,141700,142300,141300,141600,2355
2020.11.21,12:00:00,141600,142900,141500,142100,2558
2020.11.21,13:00:00,142100,142400,140800,141600,4023
2020.11.21,14:00:00,141600,142000,140700,141700,6623
2020.11.22,10:00:00,140000,140300,136000,138700,6168
2020.11.22,11:00:00,138400,139300,138100,138400,2386
2020.11.22,12:00:00,138400,138400,136300,137400,6741
2020.11.22,13:00:00,137400,137800,134600,135300,8254
2020.11.22,14:00:00,135300,135500,134300,134800,5338
2020.11.23,10:00:00,134500,135500,133700,135200,8487
2020.11.23,11:00:00,135200,135500,133900,134000,3711
2020.11.23,12:00:00,134200,134600,132600,133300,8650
2020.11.23,13:00:00,133400,134400,133300,133900,4361
2020.11.23,14:00:00,133800,135200,133700,134500,4654
2020.11.24,10:00:00,131500,133100,131500,132300,3570
2020.11.24,11:00:00,132400,133800,132200,133200,3076
2020.11.24,12:00:00,133300,133800,132400,132700,2151
2020.11.24,13:00:00,132700,133200,131900,132900,3880
2020.11.24,14:00:00,132800,134200,132000,133300,3420
2020.11.25,10:00:00,133900,134700,133300,134000,1911
2020.11.25,11:00:00,134000,134400,133400,134000,1799
2020.11.25,12:00:00,134100,134200,133400,133600,1143
2020.11.25,13:00:00,133600,134800,133600,134400,3411
2020.11.25,14:00:00,134500,134700,133700,134300,1553
2020.11.26,10:00:00,134900,135500,134500,134600,1448
2020.11.26,11:00:00,134700,134700,132900,133600,3163
2020.11.26,12:00:00,133500,133600,133100,133400,563
2020.11.26,13:00:00,133500,134000,133300,133800,595
2020.11.26,14:00:00,133700,134400,133400,134000,1877
2020.11.28,10:00:00,133100,133800,132000,133600,1298
2020.11.28,11:00:00,133500,133600,131600,132300,2701
2020.11.28,12:00:00,132300,133400,132300,133400,1367
2020.11.28,13:00:00,133400,134400,133300,134100,3578
2020.11.28,14:00:00,134100,134700,133500,134500,2458
2020.11.29,10:00:00,134800,134800,133800,134200,1159
