Date,Time,Open,High,Low,Close,Volume
2020.09.22,10:30:00,119500,119500,115000,115500,429
2020.09.22,10:31:00,117700,118300,116400,118300,750
2020.09.22,10:32:00,118300,119700,118200,118400,475
2020.09.22,10:33:00,118900,120000,118900,119900,280
2020.09.22,10:34:00,119500,119800,118900,119200,243
2020.09.22,10:35:00,119200,119500,118700,119200,280
2020.09.22,10:36:00,119200,119600,118800,119000,309
2020.09.22,10:37:00,119200,119600,119200,119600,82
2020.09.22,10:38:00,119600,120300,119600,119900,496
2020.09.22,10:39:00,119800,119800,118700,119000,274
2020.09.22,10:40:00,118900,119500,118900,119100,124
2020.09.22,10:41:00,119100,119300,118800,119200,202
2020.09.22,10:42:00,119000,119000,118700,119000,138
2020.09.22,10:43:00,118900,118900,118700,118900,204
2020.09.22,10:44:00,118800,118800,118400,118400,298
2020.09.22,10:45:00,118400,118500,118200,118500,200
2020.09.22,10:46:00,118500,118500,118000,118000,393
2020.09.22,10:47:00,117900,118000,117300,118000,186
2020.09.22,10:48:00,117800,118100,117400,117400,154
2020.09.22,10:49:00,117300,117700,116800,117200,358
2020.09.22,10:50:00,117200,117500,116300,116400,525
2020.09.22,10:51:00,116100,116400,115400,115500,315
2020.09.22,10:52:00,115500,115500,114500,115000,612
2020.09.22,10:53:00,115000,116000,115000,115300,309
2020.09.22,10:54:00,115400,116100,115400,115900,255
2020.09.22,10:55:00,115700,116500,115700,116200,313
2020.09.22,10:56:00,116200,116300,115500,115600,357
2020.09.22,10:57:00,116000,116000,115600,116000,259
2020.09.22,10:58:00,116000,116500,116000,116500,174
2020.09.22,10:59:00,116600,116900,115800,115800,316
2020.09.22,11:00:00,115900,115900,115500,115500,376
2020.09.22,11:01:00,115500,115500,115000,115500,242
2020.09.22,11:02:00,115400,115400,115100,115200,105
2020.09.22,11:03:00,115200,117000,115200,115700,326
2020.09.22,11:04:00,115900,116400,115800,115900,148
2020.09.22,11:05:00,116000,116200,115400,115900,187
2020.09.22,11:06:00,115200,115200,114500,115000,486
2020.09.22,11:07:00,114800,115100,114800,115100,93
2020.09.22,11:08:00,115100,115500,115000,115300,57
2020.09.22,11:09:00,115500,115500,115300,115500,84
2020.09.22,11:10:00,115600,116200,115600,116000,177
2020.09.22,11:11:00,116000,116300,116000,116000,63
2020.09.22,11:12:00,116000,116300,116000,116000,60
2020.09.22,11:13:00,116200,116200,116000,116200,62
2020.09.22,11:14:00,116000,116000,116000,116000,10
2020.09.22,11:15:00,115900,116300,115900,116300,20
2020.09.22,11:16:00,116100,116100,116000,116000,7
2020.09.22,11:17:00,116000,116500,116000,116500,24
2020.09.22,11:18:00,116500,116700,116500,116500,90
2020.09.22,11:19:00,116400,116400,116000,116000,360
2020.09.22,11:20:00,116100,116400,116000,116400,33
2020.09.22,11:21:00,116300,116400,116300,116400,27
2020.09.22,11:22:00,116400,116500,116400,116500,56
2020.09.22,11:23:00,116500,116500,116300,116400,104
2020.09.22,11:24:00,116500,117000,116500,117000,214
2020.09.22,11:25:00,117000,117000,116700,116900,98
2020.09.22,11:26:00,116800,116800,116700,116800,77
2020.09.22,11:27:00,116800,117400,116800,117100,181
2020.09.22,11:28:00,117200,117600,117100,117400,98
2020.09.22,11:29:00,117500,117600,117300,117300,309
2020.09.22,11:30:00,117400,117700,117200,117500,337
2020.09.22,11:31:00,117500,117700,117500,117600,15
2020.09.22,11:32:00,117500,117600,117500,117500,253
2020.09.22,11:33:00,117500,117600,117400,117400,225
2020.09.22,11:34:00,117400,117400,117200,117200,24
2020.09.22,11:35:00,117200,117300,117200,117300,89
2020.09.22,11:36:00,117300,117500,117300,117500,61
2020.09.22,11:37:00,117500,117700,117300,117700,75
2020.09.22,11:38:00,117400,117400,117400,117400,38
2020.09.22,11:39:00,117400,117500,117400,117400,57
2020.09.22,11:40:00,117400,117400,116800,116900,237
2020.09.22,11:41:00,116800,117000,116700,116800,81
2020.09.22,11:42:00,117000,117100,117000,117100,20
2020.09.22,11:43:00,117000,117200,117000,117000,36
2020.09.22,11:44:00,117000,117000,117000,117000,32
2020.09.22,11:45:00,117000,117000,116800,116900,13
2020.09.22,11:46:00,116800,116800,116800,116800,24
2020.09.22,11:47:00,116700,116700,116400,116500,63
2020.09.22,11:48:00,116500,116900,116500,116900,24
2020.09.22,11:49:00,116500,116500,116100,116400,114
2020.09.22,11:50:00,116300,116300,115800,115800,281
2020.09.22,11:51:00,116300,116300,116000,116000,40
2020.09.22,11:52:00,116100,116100,116000,116000,113
2020.09.22,11:53:00,115900,115900,115700,115800,110
2020.09.22,11:54:00,115800,116000,115800,115900,214
2020.09.22,11:55:00,115900,116200,115900,116200,188
2020.09.22,11:56:00,116200,116600,116200,116600,131
2020.09.22,11:57:00,116600,116700,116500,116500,36
2020.09.22,11:58:00,116600,116700,116600,116700,44
2020.09.22,11:59:00,116500,116500,116200,116200,140
2020.09.22,12:00:00,116200,116200,115600,115800,201
2020.09.22,12:01:00,115900,116000,115600,116000,68
2020.09.22,12:02:00,116000,116100,115700,115800,196
2020.09.22,12:03:00,115900,116200,115700,115700,105
2020.09.22,12:04:00,116000,116300,115900,116200,174
2020.09.22,12:05:00,116200,117000,116200,117000,145
2020.09.22,12:06:00,116800,117000,116500,116500,146
2020.09.22,12:07:00,116700,116800,116200,116300,51
2020.09.22,12:08:00,116300,116400,116200,116400,35
2020.09.22,12:09:00,116400,116400,116300,116300,51
2020.09.22,12:10:00,116200,116200,116000,116000,96
2020.09.22,12:11:00,116000,116100,115900,116100,35
2020.09.22,12:12:00,116100,116100,116000,116000,39
2020.09.22,12:13:00,116100,116200,116000,116000,45
2020.09.22,12:14:00,116000,116000,116000,116000,25
2020.09.22,12:16:00,116200,116200,116000,116000,2
2020.09.22,12:17:00,116000,116300,115700,115700,210
2020.09.22,12:18:00,115700,116000,115700,116000,22
2020.09.22,12:19:00,116000,116100,115900,115900,71
2020.09.22,12:20:00,115900,116000,115900,116000,3
2020.09.22,12:21:00,116300,116300,115800,115900,121
2020.09.22,12:22:00,115900,115900,115500,115700,215
2020.09.22,12:23:00,115700,115700,115500,115500,166
2020.09.22,12:24:00,115500,115600,115500,115600,33
2020.09.22,12:25:00,115800,116200,115800,116200,38
2020.09.22,12:26:00,116200,116400,116000,116000,52
2020.09.22,12:27:00,116200,116200,115900,115900,51
2020.09.22,12:28:00,116000,116000,116000,116000,4
2020.09.22,12:29:00,116000,116000,116000,116000,2
2020.09.22,12:30:00,116000,116400,116000,116100,31
2020.09.22,12:31:00,116100,116100,116000,116000,25
2020.09.22,12:32:00,116200,116400,116200,116300,34
2020.09.22,12:33:00,116100,116500,116000,116500,62
2020.09.22,12:34:00,116200,116400,116200,116400,33
2020.09.22,12:35:00,116400,116700,116400,116500,34
2020.09.22,12:36:00,116600,116600,116300,116300,32
2020.09.22,12:37:00,116400,116400,116400,116400,2
