<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.21	10:30:00	141300	141300	140700	141100	68	290	0
2020.11.21	10:31:00	141000	141100	140600	140600	46	268	100
2020.11.21	10:32:00	140600	140900	140600	140600	38	220	100
2020.11.21	10:33:00	140800	140900	140500	140600	43	281	100
2020.11.21	10:34:00	140700	140800	140600	140700	48	295	100
2020.11.21	10:35:00	140700	140800	140600	140800	25	172	100
2020.11.21	10:36:00	140800	140900	140800	140900	21	173	100
2020.11.21	10:37:00	141000	141500	141000	141400	30	104	100
2020.11.21	10:38:00	141300	141300	141300	141300	2	12	100
2020.11.21	10:39:00	141100	141100	141000	141100	17	114	100
2020.11.21	10:40:00	141300	141800	141300	141800	43	149	100
2020.11.21	10:41:00	141800	142500	141800	142100	57	243	100
2020.11.21	10:42:00	142000	142000	141900	141900	10	16	100
2020.11.21	10:43:00	142000	142000	141600	141600	23	91	100
2020.11.21	10:44:00	141700	141800	141700	141700	11	17	100
2020.11.21	10:45:00	141700	141700	141600	141600	10	41	100
2020.11.21	10:46:00	141600	141700	141600	141700	4	13	100
2020.11.21	10:47:00	141700	141900	141700	141800	17	70	100
2020.11.21	10:48:00	141800	141800	141700	141700	6	30	100
2020.11.21	10:49:00	141700	141700	141600	141700	12	46	100
2020.11.21	10:50:00	141700	141800	141700	141800	5	41	100
2020.11.21	10:51:00	141700	141700	141700	141700	6	30	100
2020.11.21	10:52:00	141700	141700	141700	141700	1	6	100
2020.11.21	10:53:00	141600	141600	141600	141600	6	29	100
2020.11.21	10:54:00	141500	141600	141500	141600	12	70	100
2020.11.21	10:55:00	141600	141800	141600	141800	8	50	100
2020.11.21	10:56:00	141700	141700	141700	141700	6	52	100
2020.11.21	10:57:00	141600	141600	141600	141600	1	2	100
2020.11.21	10:59:00	141700	141700	141700	141700	6	31	100
2020.11.21	11:00:00	141700	141800	141700	141800	5	24	100
2020.11.21	11:01:00	141800	141800	141700	141800	9	28	100
2020.11.21	11:02:00	141900	141900	141800	141800	8	17	100
2020.11.21	11:03:00	141900	142000	141900	142000	33	133	100
2020.11.21	11:04:00	142100	142200	142100	142200	32	157	100
2020.11.21	11:05:00	142200	142300	142200	142200	19	102	100
2020.11.21	11:06:00	142200	142200	142000	142000	25	134	100
2020.11.21	11:07:00	141900	142000	141800	142000	24	151	100
2020.11.21	11:08:00	142000	142000	142000	142000	5	28	100
2020.11.21	11:09:00	142100	142100	141800	141800	22	211	100
2020.11.21	11:10:00	141800	141800	141700	141700	11	59	100
2020.11.21	11:11:00	141700	141800	141700	141800	5	21	100
2020.11.21	11:12:00	141900	141900	141900	141900	4	18	100
2020.11.21	11:13:00	142000	142000	142000	142000	1	5	100
