<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020.11.21,10:30:00,141300,141300,140700,141100,290
2020.11.21,10:31:00,141000,141100,140600,140600,268
2020.11.21,10:32:00,140600,140900,140600,140600,220
2020.11.21,10:33:00,140800,140900,140500,140600,281
2020.11.21,10:34:00,140700,140800,140600,140700,295
2020.11.21,10:35:00,140700,140800,140600,140800,172
2020.11.21,10:36:00,140800,140900,140800,140900,173
2020.11.21,10:37:00,141000,141500,141000,141400,104
2020.11.21,10:38:00,141300,141300,141300,141300,12
2020.11.21,10:39:00,141100,141100,141000,141100,114
2020.11.21,10:40:00,141300,141800,141300,141800,149
2020.11.21,10:41:00,141800,142500,141800,142100,243
2020.11.21,10:42:00,142000,142000,141900,141900,16
2020.11.21,10:43:00,142000,142000,141600,141600,91
2020.11.21,10:44:00,141700,141800,141700,141700,17
2020.11.21,10:45:00,141700,141700,141600,141600,41
2020.11.21,10:46:00,141600,141700,141600,141700,13
2020.11.21,10:47:00,141700,141900,141700,141800,70
2020.11.21,10:48:00,141800,141800,141700,141700,30
2020.11.21,10:49:00,141700,141700,141600,141700,46
2020.11.21,10:50:00,141700,141800,141700,141800,41
2020.11.21,10:51:00,141700,141700,141700,141700,30
2020.11.21,10:52:00,141700,141700,141700,141700,6
2020.11.21,10:53:00,141600,141600,141600,141600,29
2020.11.21,10:54:00,141500,141600,141500,141600,70
2020.11.21,10:55:00,141600,141800,141600,141800,50
2020.11.21,10:56:00,141700,141700,141700,141700,52
2020.11.21,10:57:00,141600,141600,141600,141600,2
2020.11.21,10:59:00,141700,141700,141700,141700,31
2020.11.21,11:00:00,141700,141800,141700,141800,24
2020.11.21,11:01:00,141800,141800,141700,141800,28
2020.11.21,11:02:00,141900,141900,141800,141800,17
2020.11.21,11:03:00,141900,142000,141900,142000,133
2020.11.21,11:04:00,142100,142200,142100,142200,157
2020.11.21,11:05:00,142200,142300,142200,142200,102
2020.11.21,11:06:00,142200,142200,142000,142000,134
2020.11.21,11:07:00,141900,142000,141800,142000,151
2020.11.21,11:08:00,142000,142000,142000,142000,28
2020.11.21,11:09:00,142100,142100,141800,141800,211
2020.11.21,11:10:00,141800,141800,141700,141700,59
2020.11.21,11:11:00,141700,141800,141700,141800,21
2020.11.21,11:12:00,141900,141900,141900,141900,18
2020.11.21,11:13:00,142000,142000,141900,141900,50
2020.11.21,11:14:00,141800,141800,141600,141600,92
2020.11.21,11:15:00,141700,141900,141500,141800,161
2020.11.21,11:16:00,141900,141900,141900,141900,2
2020.11.21,11:17:00,141800,141800,141800,141800,34
2020.11.21,11:18:00,141800,141800,141800,141800,5
2020.11.21,11:20:00,141800,141800,141800,141800,80
2020.11.21,11:22:00,141700,141700,141700,141700,1
2020.11.21,11:23:00,141700,141700,141700,141700,4
2020.11.21,11:24:00,141600,141600,141600,141600,10
2020.11.21,11:25:00,141600,141700,141600,141700,27
2020.11.21,11:27:00,141700,141700,141700,141700,15
2020.11.21,11:28:00,141800,141800,141800,141800,1
2020.11.21,11:30:00,141800,141800,141800,141800,32
2020.11.21,11:31:00,141800,141800,141800,141800,2
2020.11.21,11:32:00,141800,141800,141800,141800,1
2020.11.21,11:33:00,141800,141800,141800,141800,2
2020.11.21,11:34:00,141800,141800,141800,141800,1
2020.11.21,11:35:00,141800,141800,141800,141800,1
2020.11.21,11:36:00,141900,141900,141900,141900,2
2020.11.21,11:37:00,141900,141900,141800,141800,23
2020.11.21,11:39:00,141800,141800,141800,141800,2
2020.11.21,11:41:00,141800,141800,141800,141800,3
2020.11.21,11:42:00,141700,141700,141700,141700,1
2020.11.21,11:43:00,141800,141800,141800,141800,6
2020.11.21,11:44:00,141800,141800,141800,141800,1
2020.11.21,11:46:00,141800,141800,141800,141800,1
