Date,Time,Open,High,Low,Close,Volume
2020.11.15,149800,149800,148400,148500,9157,
2020.11.16,148400,150800,144100,145100,22936,
2020.11.17,144100,153800,144100,153800,24800,
2020.11.18,159700,159800,152300,155700,40133,
2020.11.19,155000,156700,153600,156100,26888,
2020.11.21,156800,157900,154800,157100,17737,
2020.11.22,154000,154600,148200,148300,28276,
2020.11.23,147800,149300,145900,147900,31470,
2020.11.24,143500,147000,143500,146300,16955,
2020.11.25,146000,147700,145800,147200,15191,
2020.11.26,147100,147800,144600,145100,13467,
2020.11.28,144700,146500,142500,146100,19284,
2020.11.29,146000,147400,145200,147100,13329,
2020.11.30,147000,148800,146400,146700,19689,
2020.12.01,146800,146900,144400,144800,18681,
2020.12.02,144700,147400,144400,147400,20337,
2020.12.03,147300,148100,146600,146700,25627,
2020.12.05,146400,146500,144000,144000,14216,
2020.12.06,143600,145500,143000,144600,11990,
2020.12.07,144000,145100,143300,144300,21789,
2020.12.08,144400,146600,141300,145900,66582,
2020.12.09,145700,146400,143700,145400,20750,
2020.12.10,145300,145300,143800,144600,12422,
2020.12.12,143900,145500,143300,144800,17587,
2020.12.13,144300,145300,143700,144800,14884,
2020.12.14,144800,146500,144700,146100,19240,
2020.12.15,146000,146900,145600,146900,11522,
2020.12.16,147000,147600,146000,147400,13780,
2020.12.17,147600,148700,147400,148700,29247,
2020.12.19,147800,149000,146900,147000,13489,
2020.12.20,145900,146700,144800,145000,20874,
2020.12.21,144500,146300,144200,146000,21656,
2020.12.22,146200,146800,145300,146100,17422,
2020.12.23,145200,145800,143500,143600,19319,
2020.12.24,143000,143800,142300,143000,19358,
2020.12.26,142500,143500,142100,142900,17628,
2020.12.27,142500,142600,140600,140600,25764,
2020.12.28,140500,141100,140100,140800,3427,
