Date,Time,Open,High,Low,Close,Volume
2020.11.15,10:00:00,149800,149800,148400,149300,2097
2020.11.15,11:00:00,149300,149400,148600,148900,2947
2020.11.15,12:00:00,148900,149500,148600,149300,970
2020.11.15,13:00:00,149200,149400,148700,149000,1115
2020.11.15,14:00:00,149000,149200,148400,148500,2028
2020.11.16,10:00:00,148400,149600,147800,149600,2628
2020.11.16,11:00:00,149500,150800,149200,149800,5111
2020.11.16,12:00:00,149800,150600,149700,150200,1555
2020.11.16,13:00:00,150200,150200,148400,148400,4569
2020.11.16,14:00:00,148500,149200,144100,145100,9073
2020.11.17,10:00:00,144100,146600,144100,145900,1429
2020.11.17,11:00:00,145900,146000,144300,145500,2605
2020.11.17,12:00:00,145600,146600,145400,146600,2480
2020.11.17,13:00:00,146300,147200,146000,146600,2603
2020.11.17,14:00:00,146600,153800,145900,153800,15683
2020.11.18,10:00:00,159700,159800,156400,157800,12083
2020.11.18,11:00:00,157600,157800,156600,157300,4167
2020.11.18,12:00:00,157200,159600,152500,154000,10662
2020.11.18,13:00:00,154000,157900,152300,156800,8790
2020.11.18,14:00:00,156800,157600,154300,155700,4431
2020.11.19,10:00:00,155000,155500,153600,155300,6712
2020.11.19,11:00:00,155300,156500,154900,156000,6049
2020.11.19,12:00:00,156000,156200,154200,154500,5744
2020.11.19,13:00:00,154400,155700,154300,154800,3698
2020.11.19,14:00:00,154900,156700,154700,156100,4685
2020.11.21,10:00:00,156800,157300,155000,156900,3735
2020.11.21,11:00:00,156900,157100,156000,156000,1435
2020.11.21,12:00:00,156100,157900,156100,157000,2237
2020.11.21,13:00:00,157000,157200,155400,156000,2488
2020.11.21,14:00:00,156000,157200,154800,157100,7842
2020.11.22,10:00:00,154000,154600,152300,153100,5334
2020.11.22,11:00:00,153300,153800,152900,153200,2372
2020.11.22,12:00:00,153000,153000,149600,151300,7630
2020.11.22,13:00:00,151400,151900,148600,149400,6986
2020.11.22,14:00:00,149400,149500,148200,148300,5954
2020.11.23,10:00:00,147800,149100,147000,148800,8424
2020.11.23,11:00:00,148700,149300,147600,147800,5311
2020.11.23,12:00:00,147900,148200,145900,147100,7279
2020.11.23,13:00:00,147100,147900,146900,147200,5204
2020.11.23,14:00:00,147300,148500,147000,147900,5252
2020.11.24,10:00:00,143500,145300,143500,144500,3994
2020.11.24,11:00:00,144600,146100,144300,145800,3079
2020.11.24,12:00:00,145900,146500,145100,145500,3179
2020.11.24,13:00:00,145600,146200,144800,145800,2955
2020.11.24,14:00:00,145900,147000,145100,146300,3748
2020.11.25,10:00:00,146000,147700,145800,146800,5104
2020.11.25,11:00:00,146900,147600,146300,147000,2833
2020.11.25,12:00:00,147000,147000,146300,146600,1254
2020.11.25,13:00:00,146700,147700,146500,147400,3050
2020.11.25,14:00:00,147300,147400,146300,147200,2950
2020.11.26,10:00:00,147100,147800,146300,146600,2017
2020.11.26,11:00:00,146700,146700,144700,145200,6123
2020.11.26,12:00:00,145200,145600,144700,145400,1792
2020.11.26,13:00:00,145300,145600,145100,145400,677
2020.11.26,14:00:00,145400,145900,144600,145100,2858
2020.11.28,10:00:00,144700,145000,143900,144600,2698
2020.11.28,11:00:00,144600,144600,142500,143500,4220
2020.11.28,12:00:00,143500,144300,143500,144200,1124
2020.11.28,13:00:00,144200,146000,144200,145600,7070
2020.11.28,14:00:00,145500,146500,144800,146100,4172
2020.11.29,10:00:00,146000,146200,145200,145900,1811
2020.11.29,11:00:00,145900,146200,145300,145800,1817
2020.11.29,12:00:00,145800,146400,145400,145800,1591
2020.11.29,13:00:00,145600,147400,145500,147000,4060
2020.11.29,14:00:00,147000,147300,146200,147100,4050
2020.11.30,10:00:00,147000,147600,146400,147600,4336
2020.11.30,11:00:00,147600,148100,147000,147300,2658
2020.11.30,12:00:00,147300,147800,147000,147500,978
2020.11.30,13:00:00,147400,148800,147200,148200,5090
2020.11.30,14:00:00,148200,148300,146500,146700,6627
2020.12.01,10:00:00,146800,146900,145500,146300,6738
2020.12.01,11:00:00,146300,146800,145800,146200,2605
2020.12.01,12:00:00,146200,146700,146100,146500,894
2020.12.01,13:00:00,146500,146500,145700,145900,2087
2020.12.01,14:00:00,146000,146200,144400,144800,6357
2020.12.02,10:00:00,144700,145400,144400,145100,1659
2020.12.02,11:00:00,145000,145300,144400,145000,2540
2020.12.02,12:00:00,144900,145700,144800,144800,3567
2020.12.02,13:00:00,144800,146300,144700,146000,5347
2020.12.02,14:00:00,146000,147400,145800,147400,7224
2020.12.03,10:00:00,147300,148000,146800,147700,4072
2020.12.03,11:00:00,147600,148100,147100,147200,8703
2020.12.03,12:00:00,147300,147600,146900,147000,4210
2020.12.03,13:00:00,147100,147700,147000,147300,2600
2020.12.03,14:00:00,147300,147500,146600,146700,6042
2020.12.05,10:00:00,146400,146500,145600,145900,2306
2020.12.05,11:00:00,145900,146100,145600,145800,1736
2020.12.05,12:00:00,145900,145900,145000,145400,2653
2020.12.05,13:00:00,145300,145900,144800,144900,3252
2020.12.05,14:00:00,144900,145400,144000,144000,4269
2020.12.06,10:00:00,143600,144100,143000,143000,2676
2020.12.06,11:00:00,143100,143900,143000,143500,1324
2020.12.06,12:00:00,143500,143700,143300,143500,793
2020.12.06,13:00:00,143500,145500,143400,145100,4172
2020.12.06,14:00:00,145000,145100,144400,144600,3025
2020.12.07,10:00:00,144000,144700,143300,144500,3199
2020.12.07,11:00:00,144500,144800,144000,144400,3509
2020.12.07,12:00:00,144400,144500,143500,144000,5786
2020.12.07,13:00:00,144100,145100,143600,144600,6487
2020.12.07,14:00:00,144600,144900,144100,144300,2808
2020.12.08,10:00:00,144400,144500,143900,144000,1513
2020.12.08,11:00:00,144000,144100,141300,141400,18906
2020.12.08,12:00:00,141500,143300,141400,142900,16109
2020.12.08,13:00:00,142900,145600,142800,145200,20016
2020.12.08,14:00:00,145200,146600,144600,145900,10038
2020.12.09,10:00:00,145700,146000,145000,145600,1732
2020.12.09,11:00:00,145600,145800,145200,145500,2165
2020.12.09,12:00:00,145500,146300,145100,145600,2711
2020.12.09,13:00:00,145600,146200,145500,146200,1562
2020.12.09,14:00:00,146200,146400,143700,145400,12580
2020.12.10,10:00:00,145300,145300,144500,144700,2284
2020.12.10,11:00:00,144700,144800,144300,144700,1789
2020.12.10,12:00:00,144600,145000,144500,144800,1327
2020.12.10,13:00:00,144900,145000,143800,144600,3066
2020.12.10,14:00:00,144500,144900,144200,144600,3956
2020.12.12,10:00:00,143900,144400,143300,144200,2504
2020.12.12,11:00:00,144200,144200,143600,144000,3093
2020.12.12,12:00:00,144000,145000,143800,144500,4706
2020.12.12,13:00:00,144500,145500,144500,144600,4114
2020.12.12,14:00:00,144700,145200,144400,144800,3170
2020.12.13,10:00:00,144300,145000,144300,144500,1017
2020.12.13,11:00:00,144700,144700,144300,144600,773
2020.12.13,12:00:00,144600,145000,143800,144000,4490
2020.12.13,13:00:00,144000,144400,143700,144200,1823
2020.12.13,14:00:00,144200,145300,144100,144800,6781
2020.12.14,10:00:00,144800,145300,144700,144900,3406
2020.12.14,11:00:00,145000,145300,144700,145100,4117
2020.12.14,12:00:00,145200,145500,145000,145200,2224
2020.12.14,13:00:00,145300,145700,145000,145000,3889
2020.12.14,14:00:00,145000,146500,144700,146100,5604
2020.12.15,10:00:00,146000,146400,145800,146000,1906
2020.12.15,11:00:00,145900,146100,145600,145800,1467
2020.12.15,12:00:00,145800,146100,145700,146000,904
