<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.15	10:00:00	149800	149800	148400	149300	424	2097	0
2020.11.15	11:00:00	149300	149400	148600	148900	538	2947	100
2020.11.15	12:00:00	148900	149500	148600	149300	235	970	100
2020.11.15	13:00:00	149200	149400	148700	149000	172	1115	100
2020.11.15	14:00:00	149000	149200	148400	148500	292	2028	100
2020.11.16	10:00:00	148400	149600	147800	149600	474	2628	0
2020.11.16	11:00:00	149500	150800	149200	149800	827	5111	100
2020.11.16	12:00:00	149800	150600	149700	150200	279	1555	100
2020.11.16	13:00:00	150200	150200	148400	148400	669	4569	100
2020.11.16	14:00:00	148500	149200	144100	145100	1359	9073	100
2020.11.17	10:00:00	144100	146600	144100	145900	336	1429	0
2020.11.17	11:00:00	145900	146000	144300	145500	651	2605	100
2020.11.17	12:00:00	145600	146600	145400	146600	441	2480	100
2020.11.17	13:00:00	146300	147200	146000	146600	566	2603	100
2020.11.17	14:00:00	146600	153800	145900	153800	2271	15683	0
2020.11.18	10:00:00	159700	159800	156400	157800	1432	12083	0
2020.11.18	11:00:00	157600	157800	156600	157300	647	4167	100
2020.11.18	12:00:00	157200	159600	152500	154000	1958	10662	100
2020.11.18	13:00:00	154000	157900	152300	156800	1585	8790	100
2020.11.18	14:00:00	156800	157600	154300	155700	940	4431	100
2020.11.19	10:00:00	155000	155500	153600	155300	1334	6712	0
2020.11.19	11:00:00	155300	156500	154900	156000	1288	6049	100
2020.11.19	12:00:00	156000	156200	154200	154500	1238	5744	100
2020.11.19	13:00:00	154400	155700	154300	154800	773	3698	100
2020.11.19	14:00:00	154900	156700	154700	156100	942	4685	100
2020.11.21	10:00:00	156800	157300	155000	156900	697	3735	0
2020.11.21	11:00:00	156900	157100	156000	156000	289	1435	100
2020.11.21	12:00:00	156100	157900	156100	157000	495	2237	100
2020.11.21	13:00:00	157000	157200	155400	156000	497	2488	100
2020.11.21	14:00:00	156000	157200	154800	157100	1483	7842	100
2020.11.22	10:00:00	154000	154600	152300	153100	908	5334	0
2020.11.22	11:00:00	153300	153800	152900	153200	422	2372	100
2020.11.22	12:00:00	153000	153000	149600	151300	1420	7630	100
2020.11.22	13:00:00	151400	151900	148600	149400	1339	6986	100
2020.11.22	14:00:00	149400	149500	148200	148300	986	5954	100
2020.11.23	10:00:00	147800	149100	147000	148800	1456	8424	0
2020.11.23	11:00:00	148700	149300	147600	147800	948	5311	100
2020.11.23	12:00:00	147900	148200	145900	147100	1519	7279	100
2020.11.23	13:00:00	147100	147900	146900	147200	1071	5204	100
2020.11.23	14:00:00	147300	148500	147000	147900	1137	5252	100
2020.11.24	10:00:00	143500	145300	143500	144500	656	3994	0
2020.11.24	11:00:00	144600	146100	144300	145800	681	3079	100
2020.11.24	12:00:00	145900	146500	145100	145500	645	3179	100
2020.11.24	13:00:00	145600	146200	144800	145800	613	2955	100
2020.11.24	14:00:00	145900	147000	145100	146300	768	3748	100
2020.11.25	10:00:00	146000	147700	145800	146800	1009	5104	0
2020.11.25	11:00:00	146900	147600	146300	147000	544	2833	100
2020.11.25	12:00:00	147000	147000	146300	146600	290	1254	100
2020.11.25	13:00:00	146700	147700	146500	147400	557	3050	100
2020.11.25	14:00:00	147300	147400	146300	147200	492	2950	100
2020.11.26	10:00:00	147100	147800	146300	146600	420	2017	0
2020.11.26	11:00:00	146700	146700	144700	145200	1130	6123	100
2020.11.26	12:00:00	145200	145600	144700	145400	370	1792	100
2020.11.26	13:00:00	145300	145600	145100	145400	169	677	100
2020.11.26	14:00:00	145400	145900	144600	145100	541	2858	100
2020.11.28	10:00:00	144700	145000	143900	144600	490	2698	0
2020.11.28	11:00:00	144600	144600	142500	143500	761	4220	100
2020.11.28	12:00:00	143500	144300	143500	144200	338	1124	100
2020.11.28	13:00:00	144200	146000	144200	145600	1303	7070	100
2020.11.28	14:00:00	145500	146500	144800	146100	795	4172	100
2020.11.29	10:00:00	146000	146200	145200	145900	349	1811	100
2020.11.29	11:00:00	145900	146200	145300	145800	360	1817	100
2020.11.29	12:00:00	145800	146400	145400	145800	353	1591	100
2020.11.29	13:00:00	145600	147400	145500	147000	748	4060	100
2020.11.29	14:00:00	147000	147300	146200	147100	708	4050	100
2020.11.30	10:00:00	147000	147600	146400	147600	740	4336	0
2020.11.30	11:00:00	147600	148100	147000	147300	508	2658	100
2020.11.30	12:00:00	147300	147800	147000	147500	237	978	100
2020.11.30	13:00:00	147400	148800	147200	148200	968	5090	100
2020.11.30	14:00:00	148200	148300	146500	146700	1022	6627	100
2020.12.01	10:00:00	146800	146900	145500	146300	1260	6738	0
2020.12.01	11:00:00	146300	146800	145800	146200	601	2605	100
2020.12.01	12:00:00	146200	146700	146100	146500	259	894	100
2020.12.01	13:00:00	146500	146500	145700	145900	404	2087	100
2020.12.01	14:00:00	146000	146200	144400	144800	1097	6357	100
2020.12.02	10:00:00	144700	145400	144400	145100	369	1659	0
2020.12.02	11:00:00	145000	145300	144400	145000	643	2540	100
2020.12.02	12:00:00	144900	145700	144800	144800	806	3567	100
2020.12.02	13:00:00	144800	146300	144700	146000	1034	5347	100
2020.12.02	14:00:00	146000	147400	145800	147400	1341	7224	100
2020.12.03	10:00:00	147300	148000	146800	147700	797	4072	100
2020.12.03	11:00:00	147600	148100	147100	147200	1421	8703	100
2020.12.03	12:00:00	147300	147600	146900	147000	763	4210	100
2020.12.03	13:00:00	147100	147700	147000	147300	555	2600	100
2020.12.03	14:00:00	147300	147500	146600	146700	1025	6042	100
2020.12.05	10:00:00	146400	146500	145600	145900	467	2306	0
2020.12.05	11:00:00	145900	146100	145600	145800	317	1736	100
2020.12.05	12:00:00	145900	145900	145000	145400	438	2653	100
2020.12.05	13:00:00	145300	145900	144800	144900	596	3252	100
2020.12.05	14:00:00	144900	145400	144000	144000	752	4269	100
2020.12.06	10:00:00	143600	144100	143000	143000	630	2676	0
2020.12.06	11:00:00	143100	143900	143000	143500	403	1324	100
2020.12.06	12:00:00	143500	143700	143300	143500	183	793	100
2020.12.06	13:00:00	143500	145500	143400	145100	876	4172	100
2020.12.06	14:00:00	145000	145100	144400	144600	541	3025	100
2020.12.07	10:00:00	144000	144700	143300	144500	601	3199	0
2020.12.07	11:00:00	144500	144800	144000	144400	765	3509	100
2020.12.07	12:00:00	144400	144500	143500	144000	1044	5786	100
