<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020.12.28,10:00:00,140500,141100,140100,140900,2546
2020.12.28,11:00:00,140900,141000,140600,141000,3266
2020.12.28,12:00:00,141000,142500,141000,141700,8424
2020.12.28,13:00:00,141500,141700,140400,140500,6173
2020.12.28,14:00:00,140600,140700,139700,139900,9911
2020.12.29,10:00:00,140000,140100,137900,138200,5328
2020.12.29,11:00:00,138200,138400,137200,137500,4533
2020.12.29,12:00:00,137500,138100,136700,136900,3744
2020.12.29,13:00:00,136900,137100,136200,136200,2992
2020.12.29,14:00:00,136200,136200,133300,133300,7523
2020.12.30,10:00:00,132000,133200,129500,129700,10660
2020.12.30,11:00:00,129500,130000,127800,129500,20282
2020.12.30,12:00:00,129500,131300,128800,129700,6641
2020.12.30,13:00:00,129700,130400,128200,129300,3519
2020.12.30,14:00:00,129200,129500,127800,127800,6997
2020.12.31,10:00:00,127700,128800,126800,126900,4261
2020.12.31,11:00:00,126800,127600,125600,127100,8212
2020.12.31,12:00:00,127100,127600,126400,127300,2567
2020.12.31,13:00:00,127300,128700,127100,127900,3206
2020.12.31,14:00:00,127900,130300,127500,129900,6265
2021.01.02,10:00:00,130500,131300,129400,129600,3312
2021.01.02,11:00:00,129500,131000,129400,130500,2659
2021.01.02,12:00:00,130600,132200,130100,131700,12876
2021.01.02,13:00:00,131600,131700,131000,131300,2338
2021.01.02,14:00:00,131400,131400,129600,130900,3088
2021.01.03,10:00:00,131000,133200,130800,133100,5271
2021.01.03,11:00:00,132900,133200,132000,133100,5063
2021.01.03,12:00:00,133200,133800,132800,132800,3518
2021.01.03,13:00:00,132800,133500,132600,133400,1184
2021.01.03,14:00:00,133500,133500,131300,131800,5113
2021.01.04,10:00:00,131800,132800,131800,132600,2762
2021.01.04,11:00:00,132500,132600,129800,130500,5920
2021.01.04,12:00:00,130600,131500,130000,131400,2698
2021.01.04,13:00:00,131400,131500,130200,130400,2876
2021.01.04,14:00:00,130400,134500,130100,134500,9486
2021.01.05,10:00:00,134000,134500,133200,133600,2413
2021.01.05,11:00:00,133600,134000,132600,133200,1636
2021.01.05,12:00:00,133100,134000,132700,133300,1338
2021.01.05,13:00:00,133100,134300,133000,133700,2257
2021.01.05,14:00:00,133700,134700,133600,134300,2993
2021.01.06,10:00:00,134200,134300,133200,133800,3800
2021.01.06,11:00:00,133700,133900,132600,132600,4497
2021.01.06,12:00:00,132700,133700,132300,133200,5320
2021.01.06,13:00:00,133200,134200,133200,133900,2984
2021.01.06,14:00:00,133900,134900,133900,134700,4874
2021.01.07,10:00:00,134700,134700,133600,133700,1531
2021.01.07,11:00:00,133700,134400,133400,133900,1345
2021.01.07,12:00:00,133800,133800,132800,133200,3031
2021.01.07,13:00:00,133300,133400,131600,132800,4293
2021.01.07,14:00:00,133000,133000,132300,132400,1518
2021.01.09,10:00:00,131900,131900,130700,130900,1943
2021.01.09,11:00:00,130900,131600,130500,131400,1991
2021.01.09,12:00:00,131400,132000,131200,131800,1643
2021.01.09,13:00:00,131400,131700,130900,131700,1535
2021.01.09,14:00:00,131500,131600,130300,130600,3453
2021.01.10,10:00:00,129900,130200,129400,130100,1996
2021.01.10,11:00:00,130100,131600,129800,131400,4318
2021.01.10,12:00:00,131300,133000,131200,132300,5536
2021.01.10,13:00:00,132300,132600,131700,132300,1148
2021.01.10,14:00:00,132300,133700,132000,133600,5124
2021.01.11,10:00:00,133900,133900,132600,132900,2466
2021.01.11,11:00:00,133000,133800,132800,133800,4451
2021.01.11,12:00:00,133700,134600,133000,133100,6964
2021.01.11,13:00:00,133000,134000,132900,133700,2661
2021.01.11,14:00:00,133800,134200,132800,133100,6238
2021.01.12,10:00:00,132900,133500,132100,132400,5037
2021.01.12,11:00:00,132600,133000,132500,132600,2382
2021.01.12,12:00:00,132700,134200,132300,132500,3684
2021.01.12,13:00:00,132600,133200,132200,132800,2522
2021.01.12,14:00:00,133000,133100,132400,132600,2254
2021.01.13,10:00:00,132300,132600,132200,132400,1907
2021.01.13,11:00:00,132400,133000,132300,132700,3126
2021.01.13,12:00:00,132800,133400,132700,133400,2261
2021.01.13,13:00:00,133300,133900,132900,133100,5548
2021.01.13,14:00:00,133100,133200,132700,133000,2696
2021.01.14,11:00:00,132500,133000,132500,132900,1373
2021.01.14,12:00:00,132700,133100,132500,132500,2543
2021.01.14,13:00:00,132500,133200,132100,133200,2885
2021.01.14,14:00:00,133100,134800,133000,134000,4069
2021.01.16,10:00:00,133900,133900,132900,133600,2189
2021.01.16,11:00:00,133300,134000,133300,133500,1263
2021.01.16,12:00:00,133400,133700,133200,133400,1485
2021.01.16,13:00:00,133400,133800,133200,133300,757
2021.01.16,14:00:00,133500,134300,133500,133600,2238
