Date,Time,Open,High,Low,Close,Volume
2020.11.15,10:30:00,149800,149800,148700,149500,268
2020.11.15,10:31:00,148900,148900,148500,148500,100
2020.11.15,10:32:00,148500,149000,148500,148800,122
2020.11.15,10:33:00,148800,148900,148400,148400,138
2020.11.15,10:34:00,148500,149200,148500,149200,98
2020.11.15,10:35:00,149200,149300,149000,149000,132
2020.11.15,10:36:00,149200,149200,148900,149000,137
2020.11.15,10:37:00,149100,149300,149100,149100,47
2020.11.15,10:38:00,149100,149200,149100,149100,13
2020.11.15,10:39:00,149100,149300,149100,149100,65
2020.11.15,10:40:00,149100,149100,149000,149000,66
2020.11.15,10:41:00,149200,149500,149200,149500,211
2020.11.15,10:42:00,149500,149500,149500,149500,155
2020.11.15,10:43:00,149500,149500,149400,149400,29
2020.11.15,10:44:00,149400,149500,149300,149500,37
2020.11.15,10:45:00,149400,149400,149300,149300,138
2020.11.15,10:46:00,149300,149300,149300,149300,25
2020.11.15,10:47:00,149300,149300,149300,149300,26
2020.11.15,10:48:00,149400,149500,149400,149400,25
2020.11.15,10:49:00,149400,149400,149400,149400,5
2020.11.15,10:50:00,149400,149400,149400,149400,10
2020.11.15,10:51:00,149400,149400,149300,149400,51
2020.11.15,10:52:00,149400,149400,149300,149300,37
2020.11.15,10:53:00,149200,149300,149200,149300,4
2020.11.15,10:54:00,149400,149400,149400,149400,5
2020.11.15,10:55:00,149400,149500,149400,149400,108
2020.11.15,10:56:00,149400,149400,149300,149300,22
2020.11.15,10:57:00,149400,149400,149300,149300,4
2020.11.15,10:58:00,149300,149300,149300,149300,2
2020.11.15,10:59:00,149400,149400,149300,149300,17
2020.11.15,11:00:00,149300,149400,149300,149400,13
2020.11.15,11:02:00,149300,149300,149300,149300,26
2020.11.15,11:03:00,149200,149200,149200,149200,72
2020.11.15,11:04:00,149200,149200,149000,149000,208
2020.11.15,11:05:00,149100,149100,148900,148900,414
2020.11.15,11:06:00,149000,149100,148600,148600,163
2020.11.15,11:07:00,148700,148700,148700,148700,27
2020.11.15,11:08:00,148700,148800,148700,148800,157
2020.11.15,11:09:00,148800,148800,148700,148700,35
2020.11.15,11:10:00,148700,148700,148700,148700,9
2020.11.15,11:11:00,148700,148900,148700,148700,133
2020.11.15,11:12:00,148700,148800,148700,148700,31
2020.11.15,11:13:00,148700,148800,148600,148600,214
2020.11.15,11:14:00,148600,149000,148600,148900,9
2020.11.15,11:15:00,149000,149000,148800,148800,7
2020.11.15,11:16:00,148800,149000,148800,149000,9
2020.11.15,11:17:00,149000,149100,149000,149000,46
2020.11.15,11:18:00,149100,149200,149100,149100,76
2020.11.15,11:19:00,149200,149300,149200,149300,25
2020.11.15,11:20:00,149300,149300,149300,149300,419
2020.11.15,11:21:00,149300,149300,149100,149100,64
2020.11.15,11:22:00,149000,149000,149000,149000,6
2020.11.15,11:23:00,149000,149000,148900,148900,161
2020.11.15,11:24:00,148900,149000,148900,149000,53
2020.11.15,11:25:00,149000,149000,149000,149000,51
2020.11.15,11:26:00,149000,149000,149000,149000,5
2020.11.15,11:27:00,149100,149100,149100,149100,19
2020.11.15,11:28:00,149100,149100,149100,149100,5
2020.11.15,11:29:00,149100,149100,149100,149100,1
2020.11.15,11:30:00,149200,149300,149200,149300,80
2020.11.15,11:31:00,149200,149300,149200,149300,16
2020.11.15,11:32:00,149200,149200,149200,149200,33
2020.11.15,11:33:00,149200,149200,149200,149200,1
2020.11.15,11:34:00,149200,149200,149200,149200,6
2020.11.15,11:37:00,149200,149200,149200,149200,4
2020.11.15,11:39:00,149100,149100,149100,149100,4
2020.11.15,11:40:00,149100,149100,148900,148900,60
2020.11.15,11:41:00,149000,149000,149000,149000,10
2020.11.15,11:42:00,149000,149000,149000,149000,11
2020.11.15,11:43:00,149000,149000,149000,149000,1
2020.11.15,11:44:00,149000,149000,149000,149000,9
2020.11.15,11:45:00,149000,149000,149000,149000,9
2020.11.15,11:46:00,149000,149200,149000,149200,45
2020.11.15,11:47:00,149000,149000,149000,149000,6
2020.11.15,11:48:00,149000,149000,149000,149000,4
2020.11.15,11:49:00,149000,149000,149000,149000,1
2020.11.15,11:50:00,148900,149000,148900,149000,5
2020.11.15,11:51:00,148900,148900,148900,148900,100
2020.11.15,11:52:00,149000,149000,148800,148800,26
2020.11.15,11:53:00,148900,148900,148800,148800,20
2020.11.15,11:56:00,148900,148900,148900,148900,19
2020.11.15,11:57:00,148900,148900,148900,148900,9
2020.11.15,11:58:00,148900,148900,148900,148900,2
2020.11.15,11:59:00,148900,148900,148900,148900,8
2020.11.15,12:00:00,148900,148900,148900,148900,10
2020.11.15,12:01:00,149000,149100,149000,149100,13
2020.11.15,12:02:00,149100,149100,149100,149100,2
2020.11.15,12:03:00,149100,149100,148900,148900,2
2020.11.15,12:06:00,149100,149100,149100,149100,4
2020.11.15,12:07:00,149200,149200,149200,149200,54
2020.11.15,12:08:00,149300,149400,149300,149400,52
2020.11.15,12:09:00,149400,149400,149300,149300,28
2020.11.15,12:10:00,149300,149300,149300,149300,44
2020.11.15,12:11:00,149200,149200,149200,149200,1
2020.11.15,12:13:00,149200,149300,149200,149300,25
2020.11.15,12:15:00,149200,149200,149200,149200,1
2020.11.15,12:16:00,149200,149200,149200,149200,6
2020.11.15,12:17:00,149100,149100,149100,149100,13
2020.11.15,12:18:00,149100,149500,149100,149100,62
2020.11.15,12:19:00,149100,149100,149100,149100,5
2020.11.15,12:20:00,149200,149200,149200,149200,1
2020.11.15,12:21:00,149300,149300,149300,149300,30
2020.11.15,12:22:00,149300,149300,149300,149300,3
2020.11.15,12:23:00,149100,149100,149100,149100,1
2020.11.15,12:30:00,149200,149300,149200,149300,33
2020.11.15,12:31:00,149300,149300,149300,149300,9
2020.11.15,12:35:00,149300,149300,149100,149100,11
2020.11.15,12:36:00,149300,149300,149300,149300,5
2020.11.15,12:39:00,149300,149300,149200,149200,25
2020.11.15,12:40:00,149200,149200,149200,149200,5
2020.11.15,12:41:00,149100,149100,148900,148900,91
2020.11.15,12:42:00,148900,148900,148700,148700,251
2020.11.15,12:43:00,148800,148800,148700,148800,15
2020.11.15,12:44:00,148800,148800,148700,148700,3
2020.11.15,12:45:00,148700,148800,148700,148800,3
2020.11.15,12:46:00,148800,148900,148800,148900,15
2020.11.15,12:47:00,148800,148800,148600,148700,36
2020.11.15,12:48:00,148800,148800,148800,148800,13
2020.11.15,12:50:00,148900,148900,148900,148900,10
2020.11.15,12:51:00,149000,149000,149000,149000,2
2020.11.15,12:53:00,148900,148900,148900,148900,10
2020.11.15,12:55:00,149000,149200,149000,149200,57
2020.11.15,12:56:00,149300,149300,149200,149200,8
2020.11.15,12:57:00,149200,149300,149200,149300,5
2020.11.15,12:58:00,149300,149300,149300,149300,6
2020.11.15,13:01:00,149200,149300,149200,149300,25
2020.11.15,13:04:00,149200,149300,149100,149300,8
2020.11.15,13:07:00,149300,149300,149200,149200,2
2020.11.15,13:09:00,149300,149400,149300,149400,6
2020.11.15,13:11:00,149300,149300,149300,149300,5
2020.11.15,13:13:00,149300,149300,149300,149300,2
2020.11.15,13:14:00,149200,149200,149200,149200,2
2020.11.15,13:15:00,149200,149200,149200,149200,65
2020.11.15,13:16:00,149200,149200,149100,149200,15
2020.11.15,13:17:00,149100,149100,149000,149100,89
2020.11.15,13:18:00,149000,149000,149000,149000,12
2020.11.15,13:19:00,149000,149000,149000,149000,20
2020.11.15,13:20:00,149000,149000,149000,149000,2
2020.11.15,13:23:00,148900,148900,148900,148900,17
2020.11.15,13:24:00,149000,149000,149000,149000,25
2020.11.15,13:25:00,148900,148900,148700,148700,52
2020.11.15,13:26:00,148700,148700,148700,148700,75
2020.11.15,13:27:00,148800,148800,148800,148800,25
2020.11.15,13:29:00,148800,148800,148700,148800,51
2020.11.15,13:30:00,148800,148800,148700,148700,26
2020.11.15,13:31:00,148700,148700,148700,148700,25
2020.11.15,13:32:00,148700,148700,148700,148700,3
2020.11.15,13:33:00,148800,148800,148800,148800,25
2020.11.15,13:34:00,148800,148900,148800,148900,76
2020.11.15,13:35:00,149000,149000,149000,149000,9
2020.11.15,13:37:00,148900,149000,148900,149000,116
2020.11.15,13:38:00,149000,149200,149000,149200,25
2020.11.15,13:39:00,149200,149200,149200,149200,1
