<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2021.01.26,10:30:00,129200,129200,129100,129200,15
2021.01.26,10:31:00,129400,129600,129100,129600,18
2021.01.26,10:36:00,129400,129400,129300,129300,11
2021.01.26,10:38:00,129600,129600,129600,129600,10
2021.01.26,10:40:00,129700,129700,129700,129700,1
2021.01.26,10:42:00,129600,129600,129500,129500,16
2021.01.26,10:45:00,129500,129500,129500,129500,6
2021.01.26,10:46:00,129500,129500,129500,129500,22
2021.01.26,10:47:00,129500,129500,129500,129500,15
2021.01.26,10:49:00,129600,129600,129500,129500,2
2021.01.26,10:50:00,129500,129500,129500,129500,2
2021.01.26,10:51:00,129500,129500,129500,129500,6
2021.01.26,10:52:00,129400,129400,129300,129300,31
2021.01.26,10:53:00,129300,129300,129300,129300,7
2021.01.26,10:54:00,129300,129300,129300,129300,16
2021.01.26,10:55:00,129300,129300,129300,129300,14
2021.01.26,10:56:00,129400,129400,129400,129400,6
2021.01.26,10:57:00,129500,129500,129500,129500,22
2021.01.26,10:58:00,129500,129500,129500,129500,2
2021.01.26,11:02:00,129500,129500,129400,129400,3
2021.01.26,11:03:00,129600,129600,129600,129600,3
2021.01.26,11:05:00,129600,129600,129500,129500,28
2021.01.26,11:08:00,129600,129600,129600,129600,3
2021.01.26,11:10:00,129600,129600,129600,129600,1
2021.01.26,11:12:00,129700,129700,129700,129700,5
2021.01.26,11:13:00,129600,129600,129500,129500,25
2021.01.26,11:14:00,129600,129600,129600,129600,2
2021.01.26,11:15:00,129600,129600,129600,129600,1
2021.01.26,11:16:00,129600,129600,129600,129600,1
2021.01.26,11:17:00,129600,129600,129600,129600,6
2021.01.26,11:18:00,129600,129600,129600,129600,12
2021.01.26,11:19:00,129500,129500,129500,129500,45
2021.01.26,11:20:00,129700,129700,129700,129700,1
2021.01.26,11:22:00,129600,129600,129600,129600,5
2021.01.26,11:23:00,129500,129500,129400,129400,10
2021.01.26,11:25:00,129500,129500,129500,129500,1
2021.01.26,11:26:00,129500,129500,129500,129500,8
2021.01.26,11:27:00,129500,129500,129500,129500,19
2021.01.26,11:28:00,129500,129500,129500,129500,3
2021.01.26,11:29:00,129600,129600,129600,129600,8
2021.01.26,11:30:00,129500,129500,129400,129400,40
2021.01.26,11:31:00,129500,129500,129500,129500,5
2021.01.26,11:34:00,129400,129400,129400,129400,20
2021.01.26,11:37:00,129500,129500,129400,129400,35
2021.01.26,11:39:00,129500,129500,129500,129500,12
2021.01.26,11:41:00,129400,129400,129400,129400,7
2021.01.26,11:42:00,129400,129400,129400,129400,3
2021.01.26,11:44:00,129500,129500,129500,129500,5
2021.01.26,11:47:00,129500,129500,129500,129500,26
2021.01.26,11:48:00,129500,129500,129500,129500,14
2021.01.26,11:49:00,129500,129500,129500,129500,3
2021.01.26,11:51:00,129500,129600,129500,129600,120
2021.01.26,11:53:00,129600,129600,129600,129600,9
2021.01.26,11:57:00,129600,129600,129600,129600,17
2021.01.26,12:01:00,129600,129600,129600,129600,5
2021.01.26,12:02:00,129700,129700,129600,129600,34
2021.01.26,12:03:00,129700,129700,129600,129700,8
2021.01.26,12:04:00,129600,129600,129600,129600,11
2021.01.26,12:05:00,129700,129700,129700,129700,1
2021.01.26,12:06:00,129600,129600,129600,129600,16
2021.01.26,12:08:00,129600,129700,129600,129700,22
2021.01.26,12:09:00,129600,129600,129600,129600,6
2021.01.26,12:11:00,129600,129600,129600,129600,14
2021.01.26,12:14:00,129600,129600,129600,129600,14
2021.01.26,12:18:00,129600,129600,129600,129600,10
2021.01.26,12:20:00,129600,129600,129600,129600,52
2021.01.26,12:23:00,129600,129600,129600,129600,6
2021.01.26,12:25:00,129600,129600,129600,129600,9
2021.01.26,12:27:00,129600,129600,129600,129600,54
2021.01.26,12:29:00,129600,129600,129600,129600,15
2021.01.26,12:31:00,129600,129600,129600,129600,12
2021.01.26,12:32:00,129600,129600,129600,129600,36
2021.01.26,12:34:00,129600,129600,129500,129500,42
2021.01.26,12:35:00,129600,129600,129600,129600,6
2021.01.26,12:36:00,129600,129800,129600,129800,174
2021.01.26,12:37:00,129800,130000,129700,129900,248
2021.01.26,12:38:00,129900,130100,129900,130100,740
