<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.29	10:00:00	149000	150100	148000	148600	847	5683	0
2020.12.29	11:00:00	148500	148600	147500	147600	629	3526	100
2020.12.29	12:00:00	147700	148300	147700	148000	496	3377	100
2020.12.29	13:00:00	148000	148400	147300	147300	379	2317	100
2020.12.29	14:00:00	147300	147400	143000	143100	710	4476	100
2020.12.30	10:00:00	143000	144100	140200	140600	692	3970	0
2020.12.30	11:00:00	140600	140600	138700	140200	836	5462	100
2020.12.30	12:00:00	140200	141900	139900	140200	350	1877	100
2020.12.30	13:00:00	140300	141300	139200	140500	353	1093	100
2020.12.30	14:00:00	140400	140600	138700	139400	540	2739	100
2020.12.31	10:00:00	139000	140100	138400	138400	407	1785	0
2020.12.31	11:00:00	138400	139600	137400	138700	753	3095	100
2020.12.31	12:00:00	138800	139800	138400	139300	333	1225	100
2020.12.31	13:00:00	139300	140800	138900	139900	558	2509	100
2020.12.31	14:00:00	139800	142100	139500	141600	862	5592	100
2021.01.02	10:00:00	142500	142600	140800	141300	506	2385	0
2021.01.02	11:00:00	141200	143300	141100	142900	1280	7409	100
2021.01.02	12:00:00	142800	143700	142300	143000	1321	8469	100
2021.01.02	13:00:00	143000	143600	142500	143000	589	3974	100
2021.01.02	14:00:00	142900	142900	141100	142700	867	5653	100
2021.01.03	10:00:00	142500	144700	142500	144600	885	5538	100
2021.01.03	11:00:00	144600	145100	144000	145000	1081	6783	100
2021.01.03	12:00:00	145100	145800	144700	144700	521	3068	100
2021.01.03	13:00:00	144600	145400	144600	145300	282	1551	100
2021.01.03	14:00:00	145200	145200	143800	144100	565	3153	100
2021.01.04	10:00:00	144900	145400	144600	145000	393	2503	0
2021.01.04	11:00:00	145100	145200	142700	143400	848	5797	100
2021.01.04	12:00:00	143500	144000	142700	143600	415	2690	100
2021.01.04	13:00:00	143500	143700	142900	143100	169	1002	100
2021.01.04	14:00:00	143100	147100	142900	147000	1982	13719	100
2021.01.05	10:00:00	147000	147400	146200	146800	441	2731	0
2021.01.05	11:00:00	146800	146800	145200	145800	450	2156	100
2021.01.05	12:00:00	145800	146400	145500	145900	320	1730	100
2021.01.05	13:00:00	145800	146900	145700	146500	440	2635	100
2021.01.05	14:00:00	146400	147300	146400	146500	424	2306	100
2021.01.06	10:00:00	146000	146600	145000	145800	1140	6499	0
2021.01.06	11:00:00	145700	146300	144900	145000	1621	8378	100
2021.01.06	12:00:00	145000	146100	144700	145500	1086	6264	100
2021.01.06	13:00:00	145600	146900	145500	146900	960	6046	100
2021.01.06	14:00:00	146800	148300	146800	148200	1042	6613	100
2021.01.07	10:00:00	147900	148200	146600	146700	512	2678	0
2021.01.07	11:00:00	146800	147800	146600	147100	420	1395	100
2021.01.07	12:00:00	147100	147100	145900	146400	750	3647	100
2021.01.07	13:00:00	146400	146600	145100	145900	706	3302	100
2021.01.07	14:00:00	145900	146000	145100	145300	448	2072	100
2021.01.09	10:00:00	144500	144600	143700	143900	499	3140	0
2021.01.09	11:00:00	143900	144500	143400	144400	504	2581	100
2021.01.09	12:00:00	144400	145000	144100	144300	309	1652	100
2021.01.09	13:00:00	144400	144500	144000	144400	191	823	100
2021.01.09	14:00:00	144400	144400	143000	143500	625	3765	100
2021.01.10	10:00:00	142300	143000	142200	142600	432	2597	0
2021.01.10	11:00:00	142600	144000	142100	143800	786	4815	100
2021.01.10	12:00:00	143800	145400	143600	145200	1167	6446	100
2021.01.10	13:00:00	145200	145400	144500	145000	335	2287	100
2021.01.10	14:00:00	145100	146500	144700	146400	975	5278	100
2021.01.11	10:00:00	145800	146000	145400	145600	907	6180	0
2021.01.11	11:00:00	145700	146600	145500	146600	1256	8275	100
2021.01.11	12:00:00	146600	147500	145900	146000	2013	13710	100
2021.01.11	13:00:00	145900	146900	145700	146600	584	3712	100
2021.01.11	14:00:00	146600	147000	145600	146500	1590	10860	100
2021.01.12	10:00:00	146000	146200	145300	145600	857	5845	0
2021.01.12	11:00:00	145600	146000	145500	145500	520	3250	100
2021.01.12	12:00:00	145500	146200	144900	145400	738	4391	100
2021.01.12	13:00:00	145300	146000	144800	145900	523	2934	100
2021.01.12	14:00:00	145900	145900	145300	145600	329	2310	100
2021.01.13	10:00:00	145000	145500	145000	145100	498	2730	0
2021.01.13	11:00:00	145200	145800	145100	145700	983	5368	100
2021.01.13	12:00:00	145800	146500	145200	146300	1328	7081	100
2021.01.13	13:00:00	146300	146700	145300	145700	1642	9056	100
2021.01.13	14:00:00	145600	145800	145200	145300	915	4446	100
2021.01.14	10:00:00	144000	144600	142600	142800	1095	7300	0
2021.01.14	11:00:00	143500	144200	143300	143900	593	3881	100
2021.01.14	12:00:00	143500	143800	142900	143200	712	4939	100
2021.01.14	13:00:00	143200	144100	142200	144000	1224	7411	100
2021.01.14	14:00:00	144000	146100	143900	146000	2011	14451	100
2021.01.16	10:00:00	145100	145200	144600	145000	698	4063	0
2021.01.16	11:00:00	145000	145800	144800	144800	1085	4642	100
2021.01.16	12:00:00	145000	145200	144400	144800	786	2967	100
2021.01.16	13:00:00	144800	144800	144400	144500	530	2253	100
2021.01.16	14:00:00	144500	145600	144500	144800	1056	5302	100
2021.01.18	10:00:00	144300	144600	143100	143400	1073	5710	0
