<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2021.01.10,10:00:00,142300,143000,142200,142600,2597
2021.01.10,11:00:00,142600,144000,142100,143800,4815
2021.01.10,12:00:00,143800,145400,143600,145200,6446
2021.01.10,13:00:00,145200,145400,144500,145000,2287
2021.01.10,14:00:00,145100,146500,144700,146400,5278
2021.01.11,10:00:00,145800,146000,145400,145600,6180
2021.01.11,11:00:00,145700,146600,145500,146600,8275
2021.01.11,12:00:00,146600,147500,145900,146000,13710
2021.01.11,13:00:00,145900,146900,145700,146600,3712
2021.01.11,14:00:00,146600,147000,145600,146500,10860
2021.01.12,10:00:00,146000,146200,145300,145600,5845
2021.01.12,11:00:00,145600,146000,145500,145500,3250
2021.01.12,12:00:00,145500,146200,144900,145400,4391
2021.01.12,13:00:00,145300,146000,144800,145900,2934
2021.01.12,14:00:00,145900,145900,145300,145600,2310
2021.01.13,10:00:00,145000,145500,145000,145100,2730
2021.01.13,11:00:00,145200,145800,145100,145700,5368
2021.01.13,12:00:00,145800,146500,145200,146300,7081
2021.01.13,13:00:00,146300,146700,145300,145700,9056
2021.01.13,14:00:00,145600,145800,145200,145300,4446
2021.01.14,10:00:00,144000,144600,142600,142800,7300
2021.01.14,11:00:00,143500,144200,143300,143900,3881
2021.01.14,12:00:00,143500,143800,142900,143200,4939
2021.01.14,13:00:00,143200,144100,142200,144000,7411
2021.01.14,14:00:00,144000,146100,143900,146000,14451
2021.01.16,10:00:00,145100,145200,144600,145000,4063
2021.01.16,11:00:00,145000,145800,144800,144800,4642
2021.01.16,12:00:00,145000,145200,144400,144800,2967
2021.01.16,13:00:00,144800,144800,144400,144500,2253
2021.01.16,14:00:00,144500,145600,144500,144800,5302
