<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2021.02.15,10:00:00,140700,140700,140000,140100,3972
2021.02.15,11:00:00,140200,140400,140100,140200,1096
2021.02.15,12:00:00,140200,140200,139200,139400,6496
2021.02.15,13:00:00,139400,139400,137800,138700,5501
2021.02.15,14:00:00,138700,138900,138200,138400,1745
2021.02.16,10:00:00,138000,138700,137700,138400,1612
2021.02.16,11:00:00,138400,138600,138200,138400,536
2021.02.16,12:00:00,138400,138500,137900,138000,1072
2021.02.16,13:00:00,138000,138200,137300,137800,5310
2021.02.16,14:00:00,137800,138400,137600,137900,4095
