<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.14	10:00:00	199000	202300	199000	199500	123	325	0
2021.03.14	11:00:00	199500	199700	198300	198500	150	396	100
2021.03.14	12:00:00	198600	198900	198300	198900	32	82	100
2021.03.14	13:00:00	198900	199000	198000	198000	70	191	100
2021.03.14	14:00:00	198400	198500	198000	198000	64	309	100
2021.03.15	10:00:00	197100	199000	196100	196700	124	463	100
2021.03.15	11:00:00	196700	197000	194300	194900	242	722	100
2021.03.15	12:00:00	194600	196100	194600	195500	88	287	100
2021.03.15	13:00:00	195600	196600	195600	196400	126	349	100
2021.03.15	14:00:00	196100	197100	196000	196800	88	263	100
2021.03.16	10:00:00	196400	196600	195600	195800	49	183	100
2021.03.16	11:00:00	196000	197900	196000	197800	112	172	100
2021.03.16	12:00:00	197800	198000	197100	197200	69	191	100
2021.03.16	13:00:00	197200	197500	196700	197500	44	138	100
2021.03.16	14:00:00	197500	198200	197300	198200	80	187	100
2021.03.17	10:00:00	198800	199400	197500	199300	78	188	0
2021.03.17	11:00:00	199400	200000	198700	199900	110	379	100
2021.03.17	12:00:00	200000	200400	199500	199600	109	304	100
2021.03.17	13:00:00	199800	199900	199500	199500	26	76	100
2021.03.17	14:00:00	199400	200300	199300	199800	80	350	100
2021.03.18	10:00:00	201600	203400	201600	202300	111	344	0
2021.03.18	11:00:00	202800	205000	202800	202900	158	403	100
2021.03.18	12:00:00	203000	203500	202600	203400	45	74	100
2021.03.18	13:00:00	203400	203500	201700	202200	82	172	100
2021.03.18	14:00:00	202000	202400	201600	202300	161	453	100
2021.03.25	10:00:00	199900	199900	197800	198500	249	484	100
2021.03.25	11:00:00	198400	198700	197000	197500	262	524	100
2021.03.25	12:00:00	197500	197900	196900	197000	146	412	100
2021.03.25	13:00:00	197000	197200	196400	196500	221	667	100
2021.03.25	14:00:00	196500	197000	196200	196600	156	407	100
2021.03.27	10:00:00	196800	197200	196400	197000	124	540	100
2021.03.27	11:00:00	197100	198100	197100	197700	332	855	100
2021.03.27	12:00:00	197800	198600	197700	198600	157	757	100
2021.03.27	13:00:00	198300	199500	198300	199500	145	480	100
2021.03.27	14:00:00	199300	200100	199300	199900	118	439	100
2021.03.28	10:00:00	201000	203000	200400	202600	205	606	0
2021.03.28	11:00:00	202300	202300	199600	200700	146	408	100
2021.03.28	12:00:00	200600	202400	200600	202300	168	420	100
2021.03.28	13:00:00	202300	203300	202100	203200	192	552	100
2021.03.28	14:00:00	203200	203300	202500	202500	85	408	100
