Date,Time,Open,High,Low,Close,Volume
19381004,153100,5021000,5021000,5021000,5021000,1
19381005,153200,5020000,5020000,5020000,5020000,1
19381006,153500,5017000,5017000,5017000,5017000,1
19381007,153600,5017000,5017000,5017000,5017000,1
19381008,153700,5019000,5019000,5019000,5019000,1
19381009,153800,5019000,5019000,5019000,5019000,1
19381010,153900,5018000,5018000,5018000,5018000,1
19381011,154000,5017000,5017000,5017000,5017000,1
19381012,154100,5017000,5017000,5017000,5017000,1
19381013,154200,5018000,5018000,5018000,5018000,1
19381014,154300,5017000,5017000,5017000,5017000,1
19381015,154500,5016000,5016000,5016000,5016000,1
19381016,154700,5013000,5013000,5013000,5013000,1
19381017,154800,5014000,5014000,5014000,5014000,1
19381018,154900,5013000,5013000,5013000,5013000,1
19381019,155000,5014000,5014000,5014000,5014000,1
19381020,155300,5015000,5015000,5015000,5015000,1
19381021,155400,5014000,5014000,5014000,5014000,1
19381022,155500,5015000,5015000,5015000,5015000,1
19381023,155700,5015000,5015000,5015000,5015000,1
19381024,160300,5014000,5014000,5014000,5014000,1
19381025,160400,5016000,5016000,5016000,5016000,1
19381026,160700,5015000,5015000,5015000,5015000,1
19381027,160900,5015000,5015000,5015000,5015000,1
19381028,161300,5016000,5016000,5016000,5016000,1
19381029,161400,5015000,5015000,5015000,5015000,1
19381030,161500,5016000,5016000,5016000,5016000,1
19381031,161600,5015000,5015000,5015000,5015000,1
19381101,161800,5014000,5014000,5014000,5014000,1
19381102,161900,5015000,5015000,5015000,5015000,1
19381103,162000,5014000,5014000,5014000,5014000,1
19381104,162100,5015000,5015000,5015000,5015000,1
19381105,162200,5017000,5017000,5017000,5017000,1
19381106,162300,5018000,5018000,5018000,5018000,1
19381107,162400,5019000,5019000,5019000,5019000,1
19381108,162500,5018000,5018000,5018000,5018000,1
19381109,162900,5019000,5019000,5019000,5019000,1
19381110,163000,5018000,5018000,5018000,5018000,1
19381111,163100,5019000,5019000,5019000,5019000,1
19381112,163300,5019000,5019000,5019000,5019000,1
19381113,163500,5017000,5017000,5017000,5017000,1
19381114,163700,5014000,5014000,5014000,5014000,1
19381115,163800,5015000,5015000,5015000,5015000,1
19381116,164400,5015000,5015000,5015000,5015000,1
19381117,164600,5016000,5016000,5016000,5016000,1
19381118,164900,5018000,5018000,5018000,5018000,1
19381119,165000,5019000,5019000,5019000,5019000,1
19381120,165200,5018000,5018000,5018000,5018000,1
19381121,165300,5019000,5019000,5019000,5019000,1
19381122,165600,5020000,5020000,5020000,5020000,1
19381123,165800,5021000,5021000,5021000,5021000,1
19381124,170100,5020000,5020000,5020000,5020000,1
19381125,170800,5022000,5022000,5022000,5022000,1
19381126,171600,5022000,5022000,5022000,5022000,1
19381127,171700,5021000,5021000,5021000,5021000,1
19381128,172200,5022000,5022000,5022000,5022000,1
19381129,172600,5021000,5021000,5021000,5021000,1
19381130,172900,5020000,5020000,5020000,5020000,1
19381201,173100,5019000,5019000,5019000,5019000,1
19381202,173200,5020000,5020000,5020000,5020000,1
19381203,173300,5019000,5019000,5019000,5019000,1
19381204,173400,5021000,5021000,5021000,5021000,1
19381205,173500,5022000,5022000,5022000,5022000,1
19381206,173600,5021000,5021000,5021000,5021000,1
19381207,173700,5022000,5022000,5022000,5022000,1
19381208,173900,5022000,5022000,5022000,5022000,1
19381209,174000,5021000,5021000,5021000,5021000,1
19381210,174100,5020000,5020000,5020000,5020000,1
19381211,174300,5021000,5021000,5021000,5021000,1
19381212,174500,5021000,5021000,5021000,5021000,1
19381213,174600,5019000,5019000,5019000,5019000,1
19381214,174800,5019000,5019000,5019000,5019000,1
19381215,174900,5018000,5018000,5018000,5018000,1
19381216,175200,5017000,5017000,5017000,5017000,1
19381217,175500,5018000,5018000,5018000,5018000,1
19381218,175900,5017000,5017000,5017000,5017000,1
19381219,101900,5022000,5022000,5022000,5022000,1
19381220,102000,5023000,5023000,5023000,5023000,1
19381221,102100,5025000,5025000,5025000,5025000,4
19381222,102200,5025000,5025000,5025000,5025000,1
19381223,102300,5027000,5027000,5027000,5027000,1
19381224,102500,5028000,5028000,5028000,5028000,1
19381225,102600,5026000,5026000,5026000,5026000,1
19381226,102700,5028000,5028000,5028000,5028000,4
19381227,103000,5027000,5027000,5027000,5027000,1
19381228,103100,5025000,5025000,5025000,5025000,1
19381229,103200,5022000,5022000,5022000,5022000,1
19381230,103300,5020000,5020000,5020000,5020000,1
19381231,103600,5024000,5024000,5024000,5024000,1
19390101,103800,5025000,5025000,5025000,5025000,1
19390102,103900,5026000,5026000,5026000,5026000,1
19390103,104000,5025000,5025000,5025000,5025000,1
19390104,104200,5026000,5026000,5026000,5026000,1
19390105,104400,5025000,5025000,5025000,5025000,1
19390106,104800,5027000,5027000,5027000,5027000,1
19390107,105200,5029000,5029000,5029000,5029000,1
19390108,105300,5027000,5027000,5027000,5027000,1
19390109,105500,5027000,5027000,5027000,5027000,1
19390110,105700,5028000,5028000,5028000,5028000,1
19390111,105900,5029000,5029000,5029000,5029000,1
19390112,110100,5030000,5030000,5030000,5030000,1
19390113,110200,5029000,5029000,5029000,5029000,1
19390114,110300,5028000,5028000,5028000,5028000,1
19390115,110900,5027000,5027000,5027000,5027000,1
19390116,111000,5027000,5027000,5027000,5027000,1
19390117,111500,5025000,5025000,5025000,5025000,1
19390118,112300,5026000,5026000,5026000,5026000,1
