Date,Time,Open,High,Low,Close,Volume
20071216,0,183000,185500,183000,185500,1
20071223,0,186000,189000,186000,189000,1
20071230,0,193000,194500,189000,194500,1
20080106,0,194500,197500,194500,197500,1
20080113,0,197500,199000,197500,197500,1
20080120,0,197500,206000,197500,206000,1
20080127,0,206500,216500,206500,213000,1
20080203,0,214500,215500,212500,213500,1
20080210,0,214000,214000,209500,210000,1
20080217,0,210500,218000,210500,218000,1
20080224,0,218000,220000,216000,220000,1
20080302,0,220000,227000,220000,227000,1
20080309,0,227000,227500,226000,227500,1
20080316,0,227500,233000,227500,233000,1
20080324,10000,210000,232000,210000,230000,1
20080330,10000,230000,230000,210000,210000,1
20080406,10000,210000,210000,208000,208000,1
20080413,10000,208000,210000,207000,209000,1
20080420,10000,210500,210500,203000,203000,1
20080427,10000,203000,204000,199500,199500,1
20080504,10000,199000,203000,199000,203000,1
20080511,10000,203800,207000,203800,207000,1
20080518,10000,207000,214000,207000,212000,1
20080525,10000,212000,212000,206000,206000,1
20080601,10000,206000,207000,206000,207000,1
20080608,10000,207000,207000,203800,203800,1
20080615,10000,203800,209000,203800,209000,1
20080622,10000,208500,214000,206500,214000,1
20080629,10000,214000,216000,212000,215000,1
20080706,10000,212500,218000,212000,218000,1
20080713,10000,220000,220000,216000,216000,1
20080720,10000,216000,216000,215000,215000,1
20080727,10000,215500,215500,211500,211500,1
20080803,10000,211500,212000,205000,205000,1
20080810,10000,205000,206000,193500,193500,1
20080818,10000,194000,198000,192000,198000,1
20080824,10000,198000,201000,197000,201000,1
20080831,10000,201000,201000,194500,195500,1
20080907,10000,195500,198000,188500,190000,1
20080914,10000,190000,208000,190000,207000,1
20080921,0,207000,213000,207000,212000,1
20080928,0,212000,212500,208000,209000,1
20081005,0,209000,212500,208500,210000,1
20081012,0,209500,212000,198000,198000,1
20081019,0,198000,202000,188000,188000,1
20081026,0,188000,195500,188000,189000,1
20081102,0,189000,191000,188000,189500,1
20081109,0,189500,190000,186000,189000,1
20081116,0,189000,199000,188500,199000,1
20081123,0,199000,199500,198500,199500,1
20081130,0,200000,200000,196000,196000,1
20081207,0,195500,201500,195500,201500,1
20081214,0,199000,201000,199000,199000,1
20081221,0,198500,200500,198000,200500,1
20081228,0,200500,201500,199000,200000,1
20090104,0,200000,200000,199000,199000,1
20090111,0,200000,200000,198000,200000,1
20090118,0,200500,203000,198500,203000,1
20090125,0,203000,205000,201500,205000,1
20090201,0,206500,206500,204000,206500,1
20090208,0,206000,207500,205500,207500,1
20090215,0,207000,225000,207000,225000,1
20090222,0,225000,225000,219000,219000,1
20090301,0,220000,222000,216500,220000,1
20090308,0,219000,220000,216000,220000,1
20090316,0,217500,217500,216000,216000,1
20090325,10000,218000,218000,217000,217000,1
20090329,10000,217000,218000,215000,215000,1
20090405,10000,215000,215500,213500,215000,1
20090412,10000,215000,216000,213000,213000,1
20090419,10000,212500,216000,212500,216000,1
20090426,10000,216000,216000,213000,213000,1
20090503,10000,213000,214000,213000,214000,1
20090510,10000,213500,214000,212000,214000,1
20090517,10000,213000,215000,212000,215000,1
20090524,10000,215000,217500,213500,217500,1
20090531,10000,217500,218500,217000,217000,1
20090607,10000,218000,221000,218000,220000,1
20090614,10000,220000,220000,218500,220000,1
20090622,10000,221000,222000,220500,222000,1
20090628,10000,222500,223500,222500,223500,1
20090705,10000,224000,224000,222500,222500,1
20090712,10000,222500,223000,222000,222000,1
20090719,10000,222000,223500,222000,223500,1
20090726,10000,223000,225000,223000,225000,1
20090802,10000,224500,226500,224500,226000,1
20090809,10000,226000,226500,226000,226000,1
20090816,10000,226000,226000,224000,225000,1
20090823,10000,225000,225000,224000,225000,1
20090830,10000,225000,229000,225000,229000,1
20090906,10000,230000,233000,229500,233000,1
20090913,10000,233000,240000,232000,238500,1
20090921,10000,238000,239000,237000,237000,1
20090927,0,237000,241000,237000,241000,1
20091004,0,240000,247000,240000,247000,1
20091011,0,248000,250000,248000,250000,1
20091018,0,250000,254000,250000,253000,1
20091025,0,253000,253000,250000,250000,1
20091101,0,251000,257000,251000,257000,1
20091108,0,258000,282000,258000,270000,1
20091115,0,268000,271000,267000,271000,1
20091122,0,271000,282000,271000,282000,1
20091129,0,280000,285000,279000,279000,1
20091207,0,276000,276000,266000,266000,1
20091213,0,263000,263500,261000,261000,1
20091221,0,262000,262000,259000,259000,1
20091228,0,264000,265000,260500,262000,1
20100103,0,263000,271000,263000,271000,1
20100110,0,272000,275000,269500,269500,1
20100117,0,269500,270000,262000,262000,1
20100124,0,262000,266000,262000,263000,1
20100131,0,262000,267000,258000,258000,1
20100207,0,259000,259000,258000,259000,1
20100214,0,259000,268000,259000,268000,1
20100221,0,268000,269000,265000,267000,1
20100228,0,267500,270000,267500,270000,1
20100307,0,271000,272000,268000,268000,1
20100314,0,264000,272000,264000,272000,1
20100331,10000,268000,272000,268000,272000,1
20100404,10000,268500,275000,268500,275000,1
20100411,10000,275000,276000,272000,272000,1
20100418,10000,272000,276000,272000,276000,1
20100425,10000,276000,281000,276000,281000,1
20100502,10000,283000,289000,282000,289000,1
20100503,10000,290000,290000,290000,290000,1
20100509,10000,290000,294000,288000,288500,1
20100510,10000,288000,288000,288000,288000,1
20100516,10000,293000,293000,289000,289000,1
20100517,10000,292000,292000,292000,292000,1
20100524,10000,290000,290000,290000,290000,1
20100531,10000,297500,303000,297500,302000,1
20100607,10000,302000,311000,302000,309000,1
20100614,10000,307500,310000,305000,310000,1
20100621,10000,311000,311500,308000,309000,1
20100628,10000,311000,312000,303000,303000,1
20100705,10000,303000,303000,299000,302000,1
20100712,10000,302000,302000,298000,298000,1
20100719,10000,296000,296000,294000,295000,1
20100726,10000,296500,297500,292500,294500,1
20100802,10000,295500,300000,295000,300000,1
20100809,10000,300000,303000,299000,303000,1
20100816,10000,303000,304000,303000,304000,1
20100823,10000,304000,306500,303500,306500,1
20100830,10000,308000,311000,308000,311000,1
20100906,10000,311000,313000,311000,313000,1
20100913,10000,313000,317500,313000,317500,1
20100920,10000,321000,327000,321000,327000,1
20100927,0,332000,355000,332000,349000,1
20101004,0,345000,348000,342000,345000,1
20101011,0,345000,349000,342000,346000,1
20101018,0,346000,346000,336000,336000,1
20101025,0,334000,342000,334000,342000,1
20101101,0,341000,347000,339000,347000,1
20101108,0,346000,350000,343000,343000,1
20101115,0,343000,343000,339000,339000,1
20101122,0,340000,343000,340000,341000,1
20101129,0,342000,350000,342000,350000,1
20101206,0,350000,351000,349000,349000,1
20101213,0,348000,350000,346000,346000,1
20101220,0,346000,350000,346000,350000,1
20101227,0,351000,365000,351000,365000,1
20110103,0,364000,364500,359000,359000,1
20110110,0,360000,366000,360000,361000,1
20110117,0,362000,363000,356000,356000,1
20110124,0,356000,357000,355000,357000,1
20110131,0,357000,360000,357000,360000,1
20110207,0,359000,359000,357500,358000,1
20110214,0,358000,364000,358000,364000,1
20110221,0,364000,381000,364000,381000,1
20110228,0,385000,397000,385000,392000,1
20110307,0,384000,390000,384000,387000,1
20110314,0,385000,390000,385000,390000,1
20110321,0,391000,391000,391000,391000,1
20110328,10000,391000,392000,391000,391000,1
20110404,10000,393000,412000,393000,405000,1
20110411,10000,410000,427000,410000,427000,1
20110418,10000,430000,451000,420000,428000,1
20110425,10000,429000,429000,415000,424000,1
20110502,10000,427000,427000,422000,422000,1
20110509,10000,420000,428000,420000,424000,1
20110516,10000,422000,424000,420500,424000,1
20110523,10000,438000,450000,434000,450000,1
20110530,10000,445000,445000,441000,445000,1
20110606,10000,447000,460000,447000,459000,1
20110613,10000,452000,458000,450000,450000,1
20110620,10000,448000,448000,428000,428000,1
20110627,10000,428000,435000,426000,431000,1
20110704,10000,432000,432000,430000,430000,1
20110711,10000,427500,430000,426000,430000,1
20110718,10000,432000,437500,432000,432000,1
20110725,10000,429000,432000,429000,431000,1
20110801,10000,430000,442000,430000,442000,1
20110808,10000,447000,485000,447000,481000,1
20110815,10000,477000,520000,476000,520000,1
20110822,10000,533000,558000,522000,553000,1
20110829,10000,555000,565000,548000,565000,1
20110905,10000,564000,608000,564000,608000,1
20110912,10000,620000,639000,604000,609000,1
20110919,10000,609000,614000,606000,606000,1
20110926,0,572000,592000,565000,570000,1
20111003,0,555000,576000,555000,567000,1
20111010,0,565000,569000,563000,563000,1
20111017,0,563000,570000,562000,566000,1
20111024,0,566000,590000,566000,590000,1
20111031,0,594000,594000,589000,592000,1
20111107,0,593000,617000,593000,617000,1
20111114,0,618000,618000,607000,607000,1
20111121,0,604000,623000,599000,623000,1
20111128,0,625000,625000,597000,617000,1
20111205,0,609000,609000,590000,590000,1
20111212,0,589000,596000,580000,596000,1
20111219,0,612000,622000,602000,605000,1
20111226,0,612000,615000,602000,613000,1
20120102,0,613000,621000,613000,617000,1
20120109,0,621000,669000,621000,667000,1
20120116,0,670000,915000,670000,915000,1
20120123,0,1010000,1010000,780000,795000,1
20120130,0,840000,840000,755000,805000,1
20120206,0,832000,835000,815000,828000,1
20120213,0,823000,824000,810000,814000,1
20120220,0,812000,825000,808000,825000,1
20120227,0,810000,812000,775000,810000,1
20120305,0,801000,801000,775000,775000,1
20120312,0,762000,776000,740000,776000,1
20120319,0,765000,768000,765000,768000,1
20120326,10000,764000,781000,764000,779000,1
20120402,10000,774000,774000,743000,747000,1
20120409,10000,745000,745000,721000,726000,1
20120416,10000,665000,707000,665000,700000,1
20120423,10000,698000,698000,658000,658000,1
20120430,10000,681000,681000,657000,657000,1
20120507,10000,648000,648000,600000,600000,1
20120514,10000,608000,650000,608000,650000,1
20120521,10000,650000,666000,633000,666000,1
20120528,10000,650000,682000,650000,682000,1
20120604,10000,669000,681000,669000,681000,1
20120611,10000,687000,687000,671000,681000,1
20120618,10000,685500,694000,685500,694000,1
20120625,10000,705000,787000,703000,763000,1
20120702,10000,762000,763000,722000,729000,1
20120709,10000,715000,728000,699000,713000,1
20120716,10000,708000,713000,699000,702000,1
20120723,10000,699000,744000,693000,738000,1
20120730,10000,732000,749000,723000,739000,1
20120806,10000,736000,790000,736000,784000,1
20120813,10000,791000,800000,774000,786000,1
20120820,10000,787000,852000,787000,843000,1
20120827,10000,842000,844000,830000,838000,1
20120903,10000,839000,914000,816000,908000,1
20120910,10000,922000,980000,875000,942000,1
20120917,10000,945000,970000,930000,970000,1
20120924,0,968000,1148000,966000,1132000,1
20121001,0,1170000,1440000,1140000,1350000,1
20121008,0,1270000,1310000,1255000,1310000,1
20121015,0,1405000,1515000,1405000,1498000,1
20121022,0,1380000,1405000,1210000,1273000,1
20121029,0,1270000,1320000,1250000,1265000,1
20121105,0,1230000,1290000,1122000,1232000,1
20121112,0,1223000,1228000,1130000,1130000,1
20121119,0,1118000,1170000,1049000,1155000,1
20121126,0,1170000,1200000,1130000,1195000,1
20121203,0,1185000,1210000,1172000,1180000,1
20121210,0,1170000,1214000,1167000,1190000,1
20121217,0,1196000,1250000,1193000,1243000,1
20121224,0,1250000,1365000,1246000,1246000,1
20121231,0,1230000,1290000,1225000,1276000,1
20130107,0,1277000,1305000,1267000,1297000,1
20130114,0,1302000,1360000,1297000,1350000,1
20130121,0,1362000,1460000,1360000,1434000,1
20130128,0,1458000,1562000,1447000,1530000,1
20130204,0,1510000,1569000,1413000,1490000,1
20130211,0,1480000,1480000,1360000,1437000,1
20130218,0,1435000,1449000,1388000,1398000,1
20130225,0,1402000,1500000,1393000,1395000,1
20130304,0,1380000,1435000,1280000,1373000,1
20130311,0,1354000,1405000,1295000,1305000,1
20130318,0,1318000,1360000,1318000,1352000,1
20130325,10000,1370000,1380000,1365000,1365000,1
20130401,10000,1358000,1396000,1339000,1375000,1
20130408,10000,1435000,1441000,1332000,1355000,1
20130415,10000,1338000,1339000,1292000,1295000,1
20130422,10000,1300000,1385000,1296000,1355000,1
20130429,10000,1353000,1378000,1337000,1342500,1
20130506,10000,1348000,1358000,1282000,1282000,1
20130513,10000,1287000,1315000,1244000,1247000,1
20130520,10000,1224000,1327000,1157000,1324000,1
20130527,10000,1330000,1354000,1308000,1312000,1
20130603,10000,1311000,1314000,1295000,1305000,1
20130610,10000,1304000,1312000,1200000,1212000,1
20130617,10000,1250000,1268000,1108000,1120000,1
20130624,10000,1088000,1130000,1038000,1090000,1
20130701,10000,1101000,1153000,1092000,1093000,1
20130708,10000,1090000,1116000,1080000,1087000,1
20130715,10000,1085000,1094000,1012000,1012000,1
20130722,10000,998000,1051000,998000,1051000,1
20130729,10000,1066000,1100000,1049000,1090000,1
20130805,10000,1089000,1095000,1057000,1075000,1
20130812,10000,1076000,1088000,1055000,1062000,1
20130819,10000,1053000,1070000,1010000,1038000,1
20130826,10000,1036000,1118000,1032500,1095000,1
20130902,10000,1082000,1147000,1082000,1112500,1
20130909,10000,1112000,1126000,1006000,1009000,1
20130916,10000,1013000,1018000,908000,908000,1
20130923,0,922000,983000,917000,968000,1
20130930,0,990000,998000,961300,977000,1
20131007,0,979000,980000,930000,932000,1
20131014,0,930000,958000,925500,955500,1
20131021,0,956000,971000,947500,970000,1
20131028,0,968000,971000,948000,948000,1
20131104,0,949000,957000,917000,919500,1
20131111,0,926000,932000,924000,928000,1
20131118,0,927000,928000,879000,885000,1
20131125,0,851000,877000,820000,871000,1
20131202,0,874000,880000,849000,863500,1
20131209,0,861500,884000,861500,880000,1
20131216,0,881500,881500,849000,851000,1
20131223,0,852000,875000,852000,872500,1
20131230,0,870000,883000,861000,875000,1
20140106,0,874500,883000,873000,881200,1
20140113,0,881000,882500,862000,862000,1
20140120,0,864000,881000,850000,878500,1
20140127,0,878800,879300,867000,870300,1
20140203,0,871000,885500,870000,883000,1
20140210,0,882500,940000,880100,931500,1
20140217,0,931000,949000,928200,940800,1
20140224,0,941000,991700,941000,974500,1
20140303,0,973500,1007500,955000,955000,1
20140310,0,956000,989500,952000,977500,1
20140317,0,976000,982000,950000,955000,1
20140324,10000,953000,955000,945000,945000,1
20140331,10000,944000,950000,941000,946200,1
20140407,10000,945800,977000,940000,975000,1
20140414,10000,977000,990000,972800,979000,1
20140421,10000,978000,1015000,972500,1014000,1
20140428,10000,1015000,1046000,1007800,1021800,1
20140505,10000,1020000,1023000,976000,976000,1
20140512,10000,975000,999300,966500,992500,1
20140519,10000,994000,996000,982800,987000,1
20140526,10000,986800,990200,956500,962000,1
20140602,10000,960800,961800,946000,946000,1
20140604,10000,956700,961000,955500,956000,1
20140605,10000,956500,957500,955700,955700,1
20140606,10000,955800,960000,955800,958800,1
20140607,10000,959000,960000,957000,958000,1
20140608,10000,958500,959500,946000,946000,1
20140609,10000,945000,948800,942000,946100,1
20140610,10000,946500,952000,942000,943900,1
20140611,10000,943800,951000,936000,951000,1
20140612,10000,951500,955000,948800,952400,1
20140613,10000,954500,962000,954500,962000,1
20140614,10000,964000,968000,962500,968000,1
20140615,10000,966500,969000,957800,958500,1
20140616,10000,959000,962000,956000,959200,1
20140617,10000,960200,960800,947500,948600,1
20140618,10000,943500,951700,941500,949500,1
20140619,10000,949200,952800,946000,948000,1
20140620,10000,949500,979000,948500,978000,1
20140621,10000,975000,983500,973200,981000,1
20140622,10000,984500,984500,976500,980200,1
20140623,10000,979500,979500,970300,973000,1
20140624,10000,973500,973500,966000,967000,1
20140625,10000,966800,975500,964700,969400,1
20140626,10000,966500,969500,964800,968500,1
20140627,10000,966500,967500,964900,966500,1
20140628,10000,968800,970000,967500,968000,1
20140629,10000,967700,967700,957300,957300,1
20140630,10000,956800,957800,945100,949000,1
20140701,10000,948800,954000,941500,954000,1
20140702,10000,955000,961000,948800,958300,1
20140703,10000,956800,963700,956800,961600,1
20140704,10000,958800,962300,957500,957500,1
20140705,10000,958000,958700,956500,958500,1
20140706,10000,958500,958900,956500,956800,1
20140707,10000,956000,956000,949000,949000,1
20140708,10000,947500,952500,947500,952500,1
20140709,10000,953100,959300,953100,955300,1
20140710,10000,957700,959400,955700,959000,1
20140711,10000,959200,965300,957000,961700,1
20140712,10000,962500,963200,961800,962500,1
20140713,10000,962300,967800,961500,967500,1
20140714,10000,968000,972000,964800,970600,1
20140715,10000,967800,968100,955000,955500,1
20140716,10000,956000,956000,946000,948300,1
20140717,10000,948000,955400,947800,952300,1
20140718,10000,956500,961000,954400,961000,1
20140719,10000,958000,962500,958000,959500,1
20140720,10000,960000,960000,952400,953200,1
20140721,10000,954200,954500,951800,954500,1
20140722,10000,954300,956500,953700,955700,1
20140723,10000,953000,953000,950000,951000,1
20140724,10000,950000,952800,949000,951300,1
20140725,10000,950000,951300,948000,949000,1
20140726,10000,948800,952500,948800,952500,1
20140727,10000,952300,955000,951700,954700,1
20140728,10000,955000,955900,953000,953000,1
20140729,10000,952000,952000,950200,950700,1
20140730,10000,953200,953200,950200,951000,1
20140731,10000,950800,950800,950000,950800,1
20140801,10000,950400,950700,945800,945800,1
20140802,10000,947000,948800,946500,947800,1
20140803,10000,948000,949000,946000,949000,1
20140804,10000,948700,952200,948700,951900,1
20140805,10000,952400,953200,949200,950000,1
20140806,10000,951200,951200,947000,948400,1
20140807,10000,948700,953300,947600,952700,1
20140808,10000,952500,953200,951000,952900,1
20140809,10000,954000,956000,953400,954000,1
20140810,10000,953900,958000,952500,957700,1
20140811,10000,957500,958000,952800,953500,1
20140812,10000,952500,955200,951100,952900,1
20140813,10000,952700,954800,952700,953000,1
20140814,10000,952800,954200,952100,953300,1
20140815,10000,953500,955700,953500,953800,1
20140816,10000,953700,954000,949500,950800,1
20140817,10000,951500,951500,947300,947600,1
20140818,10000,947400,948000,945800,946100,1
20140819,10000,945000,946000,944200,945200,1
20140820,10000,945700,946100,944000,944000,1
20140821,10000,943700,944000,939000,939000,1
20140822,10000,936800,936800,933100,933900,1
20140823,10000,934400,934700,933100,933300,1
20140824,10000,932900,940200,932900,939500,1
20140825,10000,939700,943700,938500,939400,1
20140826,10000,938000,942400,937100,941500,1
20140827,10000,943500,946700,943000,943000,1
20140828,10000,943300,944000,942500,943600,1
20140829,10000,944300,948600,944200,947500,1
20140830,10000,946700,949300,946000,949300,1
20140831,10000,950000,953000,948700,950200,1
20140901,10000,950300,950600,947600,948500,1
20140902,10000,948000,950600,947800,950100,1
20140903,10000,948400,949000,946100,946500,1
20140904,10000,946900,947600,945000,946200,1
20140905,10000,947000,947700,945500,946700,1
20140906,10000,946600,946800,946000,946000,1
20140907,10000,946300,946500,941200,942000,1
20140908,10000,942100,943900,941200,943600,1
20140909,10000,943700,944200,941900,942000,1
20140910,10000,942700,942700,938500,939800,1
20140911,10000,940300,940600,938000,938900,1
20140912,10000,939000,939000,936900,937000,1
20140913,10000,936800,936800,931400,931400,1
20140914,10000,930700,931000,922000,922200,1
20140915,10000,921900,925600,921900,924700,1
20140916,10000,924200,931000,924200,930800,1
20140917,10000,931700,935500,929800,932500,1
20140918,10000,934000,938000,932400,932400,1
20140919,10000,932000,932000,926500,928700,1
20140920,10000,927200,927700,922600,922700,1
20140921,10000,921700,921800,916200,917000,1
20140922,0,916500,918300,915000,917000,1
20140923,0,916200,918500,913000,918000,1
20140924,0,918600,928000,918000,927000,1
20140925,0,927200,928800,924500,924500,1
20140926,0,920200,926000,919200,925400,1
20140927,0,926700,927200,923100,925200,1
20140928,0,928000,936500,928000,936400,1
20140929,0,936800,939700,935900,939400,1
20140930,0,940000,940000,935500,935500,1
20141001,0,935700,935700,931800,933400,1
20141002,0,933200,935500,932800,933100,1
20141003,0,934600,934600,932200,934300,1
20141004,0,932900,933300,926400,926800,1
20141005,0,925400,927000,924300,926600,1
20141006,0,926400,926500,924300,924900,1
20141007,0,924400,932400,924000,932400,1
20141008,0,932700,937000,932700,936600,1
20141009,0,938000,945500,937200,944800,1
20141010,0,948500,948800,944500,945700,1
20141011,0,944500,947700,943600,947500,1
20141012,0,948500,949500,937100,937200,1
20141013,0,937000,940100,936700,939500,1
20141014,0,941500,946000,941500,943700,1
20141015,0,943000,943400,937000,938600,1
