Date,Time,Open,High,Low,Close,Volume
20071217,33000,186000,189000,186000,189000,1
20071224,33000,193000,194500,189000,194500,1
20071231,33000,194500,197500,194500,197500,1
20080107,33000,197500,199000,197500,197500,1
20080114,33000,197500,206000,197500,206000,1
20080121,33000,206500,216500,206500,213000,1
20080128,33000,214500,215500,212500,213500,1
20080204,33000,214000,214000,209500,210000,1
20080211,33000,210500,218000,210500,218000,1
20080218,33000,218000,220000,216000,220000,1
20080225,33000,220000,227000,220000,227000,1
20080303,33000,227000,227500,226000,227500,1
20080310,33000,227500,233000,227500,233000,1
20080317,33000,210000,232000,210000,230000,1
20080324,43000,230000,230000,210000,210000,1
20080331,43000,210000,210000,208000,208000,1
20080407,43000,208000,210000,207000,209000,1
20080414,43000,210500,210500,203000,203000,1
20080421,43000,203000,204000,199500,199500,1
20080428,43000,199000,203000,199000,203000,1
20080505,43000,203800,207000,203800,207000,1
20080512,43000,207000,214000,207000,212000,1
20080519,43000,212000,212000,206000,206000,1
20080526,43000,206000,207000,206000,207000,1
20080602,43000,207000,207000,203800,203800,1
20080609,43000,203800,209000,203800,209000,1
20080616,43000,208500,214000,206500,214000,1
20080623,43000,214000,216000,212000,215000,1
20080630,43000,212500,218000,212000,218000,1
20080707,43000,220000,220000,216000,216000,1
20080714,43000,216000,216000,215000,215000,1
20080721,43000,215500,215500,211500,211500,1
20080728,43000,211500,212000,205000,205000,1
20080804,43000,205000,206000,193500,193500,1
20080811,43000,194000,198000,192000,198000,1
20080818,43000,198000,201000,197000,201000,1
20080825,43000,201000,201000,194500,195500,1
20080901,43000,195500,198000,188500,190000,1
20080908,43000,190000,208000,190000,207000,1
20080915,43000,207000,213000,207000,212000,1
20080922,33000,212000,212500,208000,209000,1
20080929,33000,209000,212500,208500,210000,1
20081006,33000,209500,212000,198000,198000,1
20081013,33000,198000,202000,188000,188000,1
20081020,33000,188000,195500,188000,189000,1
20081027,33000,189000,191000,188000,189500,1
20081103,33000,189500,190000,186000,189000,1
20081110,33000,189000,199000,188500,199000,1
20081117,33000,199000,199500,198500,199500,1
20081124,33000,200000,200000,196000,196000,1
20081201,33000,195500,201500,195500,201500,1
20081208,33000,199000,201000,199000,199000,1
20081215,33000,198500,200500,198000,200500,1
20081222,33000,200500,201500,199000,200000,1
20081229,33000,200000,200000,199000,199000,1
20090105,33000,200000,200000,198000,200000,1
20090112,33000,200500,203000,198500,203000,1
20090119,33000,203000,205000,201500,205000,1
20090126,33000,206500,206500,204000,206500,1
20090202,33000,206000,207500,205500,207500,1
20090209,33000,207000,225000,207000,225000,1
20090216,33000,225000,225000,219000,219000,1
20090223,33000,220000,222000,216500,220000,1
20090302,33000,219000,220000,216000,220000,1
20090309,33000,217500,217500,216000,216000,1
20090323,43000,218000,218000,215000,215000,1
20090330,43000,215000,215500,213500,215000,1
20090406,43000,215000,216000,213000,213000,1
20090413,43000,212500,216000,212500,216000,1
20090420,43000,216000,216000,213000,213000,1
20090427,43000,213000,214000,213000,214000,1
20090504,43000,213500,214000,212000,214000,1
20090511,43000,213000,215000,212000,215000,1
20090518,43000,215000,217500,213500,217500,1
20090525,43000,217500,218500,217000,217000,1
20090601,43000,218000,221000,218000,220000,1
20090608,43000,220000,220000,218500,220000,1
20090615,43000,221000,222000,220500,222000,1
20090622,43000,222500,223500,222500,223500,1
20090629,43000,224000,224000,222500,222500,1
20090706,43000,222500,223000,222000,222000,1
20090713,43000,222000,223500,222000,223500,1
20090720,43000,223000,225000,223000,225000,1
20090727,43000,224500,226500,224500,226000,1
20090803,43000,226000,226500,226000,226000,1
20090810,43000,226000,226000,224000,225000,1
20090817,43000,225000,225000,224000,225000,1
20090824,43000,225000,229000,225000,229000,1
20090831,43000,230000,233000,229500,233000,1
20090907,43000,233000,240000,232000,238500,1
20090914,43000,238000,239000,237000,237000,1
20090921,43000,237000,241000,237000,241000,1
20090928,33000,240000,247000,240000,247000,1
20091005,33000,248000,250000,248000,250000,1
20091012,33000,250000,254000,250000,253000,1
20091019,33000,253000,253000,250000,250000,1
20091026,33000,251000,257000,251000,257000,1
20091102,33000,258000,282000,258000,270000,1
20091109,33000,268000,271000,267000,271000,1
20091116,33000,271000,282000,271000,282000,1
20091123,33000,280000,285000,279000,279000,1
20091130,33000,276000,276000,266000,266000,1
20091207,33000,263000,263500,261000,261000,1
20091214,33000,262000,262000,259000,259000,1
20091221,33000,264000,265000,260500,262000,1
20091228,33000,263000,271000,263000,271000,1
20100104,33000,272000,275000,269500,269500,1
20100111,33000,269500,270000,262000,262000,1
20100118,33000,262000,266000,262000,263000,1
20100125,33000,262000,267000,258000,258000,1
20100201,33000,259000,259000,258000,259000,1
20100208,33000,259000,268000,259000,268000,1
20100215,33000,268000,269000,265000,267000,1
20100222,33000,267500,270000,267500,270000,1
20100301,33000,271000,272000,268000,268000,1
20100308,33000,264000,272000,264000,272000,1
20100329,43000,268000,275000,268000,275000,1
20100405,43000,275000,276000,272000,272000,1
20100412,43000,272000,276000,272000,276000,1
20100419,43000,276000,281000,276000,281000,1
20100426,43000,283000,289000,282000,289000,1
20100503,43000,290000,294000,288000,288500,1
20100510,43000,293000,293000,289000,289000,1
20100517,43000,290000,290000,290000,290000,1
20100524,43000,297500,303000,297500,302000,1
20100531,43000,302000,311000,302000,309000,1
20100607,43000,307500,310000,305000,310000,1
20100614,43000,311000,311500,308000,309000,1
20100621,43000,311000,312000,303000,303000,1
20100628,43000,303000,303000,299000,302000,1
20100705,43000,302000,302000,298000,298000,1
20100712,43000,296000,296000,294000,295000,1
20100719,43000,296500,297500,292500,294500,1
20100726,43000,295500,300000,295000,300000,1
20100802,43000,300000,303000,299000,303000,1
20100809,43000,303000,304000,303000,304000,1
20100816,43000,304000,306500,303500,306500,1
20100823,43000,308000,311000,308000,311000,1
20100830,43000,311000,313000,311000,313000,1
20100906,43000,313000,317500,313000,317500,1
20100913,43000,321000,327000,321000,327000,1
20100920,43000,332000,355000,332000,349000,1
20100927,33000,345000,348000,342000,345000,1
20101004,33000,345000,349000,342000,346000,1
20101011,33000,346000,346000,336000,336000,1
20101018,33000,334000,342000,334000,342000,1
20101025,33000,341000,347000,339000,347000,1
20101101,33000,346000,350000,343000,343000,1
20101108,33000,343000,343000,339000,339000,1
20101115,33000,340000,343000,340000,341000,1
20101122,33000,342000,350000,342000,350000,1
20101129,33000,350000,351000,349000,349000,1
20101206,33000,348000,350000,346000,346000,1
20101213,33000,346000,350000,346000,350000,1
20101220,33000,351000,365000,351000,365000,1
20101227,33000,364000,364500,359000,359000,1
20110103,33000,360000,366000,360000,361000,1
20110110,33000,362000,363000,356000,356000,1
20110117,33000,356000,357000,355000,357000,1
20110124,33000,357000,360000,357000,360000,1
20110131,33000,359000,359000,357500,358000,1
20110207,33000,358000,364000,358000,364000,1
20110214,33000,364000,381000,364000,381000,1
20110221,33000,385000,397000,385000,392000,1
20110228,33000,384000,390000,384000,387000,1
20110307,33000,385000,390000,385000,390000,1
20110314,33000,391000,391000,391000,391000,1
