Date,Open,High,Low,Close,Volume USDT
10/29/20,13266.4,13308.54,13167,13278.4,184198460
10/28/20,13636.17,13859.48,12888,13266.4,1263487953
10/27/20,13052.19,13789.29,13019.87,13636.17,1085403903
10/26/20,13028.83,13238.81,12765,13052.19,794395722
10/25/20,13111.73,13350,12888,13028.83,502672049
10/24/20,12923.07,13166.73,12870,13111.73,468299522
10/23/20,12968.52,13027.69,12720.08,12923.07,650680239
10/22/20,12780.96,13185,12678.08,12968.52,905778889
10/21/20,11909.99,13217.68,11886.95,12780.96,1437122187
10/20/20,11751.47,12038.38,11677.59,11909.99,737363649
10/19/20,11503.14,11823.99,11407.96,11751.47,550728684
10/18/20,11360.2,11505,11346.22,11503.14,266150824
10/17/20,11319.32,11402.42,11255,11360.2,253582776
10/16/20,11505.12,11541.15,11200,11319.32,553211002
10/15/20,11417.89,11617.34,11250.83,11505.12,556436446
10/14/20,11420.56,11547.98,11280,11417.89,472007016
10/13/20,11528.25,11557,11300,11420.56,482663391
10/12/20,11369.02,11720.01,11172,11528.25,604779846
10/11/20,11293.22,11445,11221,11369.02,329927755
10/10/20,11050.64,11491,11050.51,11293.22,494785212
10/9/20,10925.57,11104.64,10829,11050.64,530822322
10/8/20,10666.39,10950,10530.41,10925.57,559311760
10/7/20,10599.66,10681.87,10546.17,10666.39,348298563
10/6/20,10792.21,10800,10525,10599.66,520051256
10/5/20,10666.63,10798,10615.64,10792.21,364158510
10/4/20,10542.06,10696.87,10517.87,10666.63,246252051
10/3/20,10570.4,10603.56,10496.46,10542.06,235160885
10/2/20,10619.13,10664.64,10374,10570.4,526864379
10/1/20,10776.59,10920,10437,10619.13,652168989
9/30/20,10840.48,10849.34,10665.13,10776.59,425279696
9/29/20,10696.12,10867.54,10635.87,10840.48,449345822
9/28/20,10774.25,10950,10626,10696.12,544463220
9/27/20,10728.6,10799,10594.82,10774.25,327169249
9/26/20,10686.67,10820.94,10644.68,10728.6,304511478
9/25/20,10736.32,10760.53,10556.24,10686.67,512647249
9/24/20,10241.46,10795.24,10190.93,10736.32,604520870
9/23/20,10529.61,10537.15,10136.82,10241.46,539362015
9/22/20,10417.22,10572.71,10353,10529.61,460302252
9/21/20,10920.28,10988.86,10296.35,10417.22,751020795
9/20/20,11080.65,11080.65,10723,10920.28,426815211
9/19/20,10933.39,11179.79,10887.37,11080.65,423651901
9/18/20,10939.99,11038.03,10812.84,10933.39,516147936
9/17/20,10954.01,11045.46,10745.83,10939.99,605010289
9/16/20,10785.31,11093,10661.22,10954.01,708644989
9/15/20,10671.77,10930.04,10606.48,10785.31,666457161
9/14/20,10332.83,10750,10212.34,10671.77,706175591
9/13/20,10440.92,10580.11,10200,10332.83,455338605
9/12/20,10387.89,10477.97,10269.25,10440.92,366912671
9/11/20,10336.87,10397.6,10200,10387.89,451241003
9/10/20,10219.2,10483.35,10070.83,10336.87,602390078
9/9/20,10126.65,10343,9981.01,10219.2,503082625
9/8/20,10373.44,10438,9850,10126.65,742947562
9/7/20,10256.2,10410.75,9875,10373.44,634278538
