<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zaferan.9908-44,20201028,75115.00,76999.00,73406.00,74409.00,19934316224,267903,345,D,77269.00,74500.00
Zaferan.9908-44,20201027,80080.00,80500.00,75736.00,77269.00,10164768892,131551,226,D,79722.00,75736.00
Zaferan.9908-44,20201026,78099.00,81000.00,78099.00,79722.00,25755718420,323071,408,D,78465.00,79541.00
Zaferan.9908-44,20201024,80000.00,80290.00,77777.00,78465.00,9446525885,120391,341,D,81107.00,78010.00
Zaferan.9908-44,20201021,81000.00,82990.00,80000.00,81107.00,11110088815,136980,340,D,80347.00,81000.00
Zaferan.9908-44,20201020,82000.00,84097.00,79262.00,80347.00,22098009756,275031,388,D,83433.00,82001.00
Zaferan.9908-44,20201019,86840.00,87700.00,82770.00,83433.00,34018875248,407738,464,D,87126.00,82770.00
Zaferan.9908-44,20201018,86721.00,89990.00,86721.00,87126.00,28321055704,325057,403,D,91285.00,86790.00
Zaferan.9908-44,20201014,91200.00,94820.00,91182.00,91285.00,26122168893,286161,358,D,95981.00,91182.00
Zaferan.9908-44,20201013,95981.00,95981.00,95981.00,95981.00,3096443041,32261,31,D,101032.00,95981.00
Zaferan.9908-44,20201012,105005.00,106230.00,96115.00,101032.00,15121045326,149666,294,D,101173.00,96115.00
Zaferan.9908-44,20201011,99600.00,101383.00,99000.00,101173.00,41638749096,411559,398,D,96556.00,101383.00
Zaferan.9908-44,20201010,97000.00,97015.00,94350.00,96556.00,21233360478,219908,460,D,92396.00,97015.00
Zaferan.9908-44,20201007,91500.00,92886.00,89260.00,92396.00,16836658820,182223,259,D,88463.00,92886.00
Zaferan.9908-44,20201006,87000.00,90409.00,86294.00,88463.00,15974842882,180582,371,D,86794.00,90400.00
Zaferan.9908-44,20201005,87000.00,87172.00,84000.00,86794.00,16538616802,190551,298,D,83021.00,86000.00
Zaferan.9908-44,20201004,83069.00,83069.00,80000.00,83021.00,15169288421,182716,295,D,79114.00,83069.00
Zaferan.9908-44,20201003,79114.00,79114.00,79114.00,79114.00,389952906,4929,11,D,75347.00,79114.00
Zaferan.9908-44,20200930,74880.00,76999.00,74000.00,75347.00,6359079791,84397,266,D,75665.00,75810.00
Zaferan.9908-44,20200929,75110.00,78000.00,74600.00,75665.00,9906150768,130921,447,D,78012.00,75019.00
Zaferan.9908-44,20200928,77881.00,79500.00,77881.00,78012.00,23146983393,296711,230,D,81979.00,77881.00
Zaferan.9908-44,20200927,83100.00,84896.00,80400.00,81979.00,6334679198,77272,191,D,83057.00,80950.00
Zaferan.9908-44,20200926,82160.00,84779.00,81000.00,83057.00,5334499643,64227,289,D,82974.00,84000.00
Zaferan.9908-44,20200923,82712.00,85000.00,81001.00,82974.00,7096686390,85529,318,D,83716.00,83189.00
Zaferan.9908-44,20200922,86006.00,86006.00,83359.00,83716.00,20004642703,238958,279,D,87746.00,83359.00
Zaferan.9908-44,20200921,87010.00,90899.00,86197.00,87746.00,10599243096,120794,205,D,90733.00,86197.00
Zaferan.9908-44,20200920,90067.00,94034.00,87200.00,90733.00,19147487730,211030,281,D,89557.00,87974.00
Zaferan.9908-44,20200919,86812.00,90660.00,84960.00,89557.00,13953830009,155810,241,D,86343.00,90660.00
Zaferan.9908-44,20200916,86470.00,88200.00,85000.00,86343.00,14397432578,166747,363,D,87526.00,87700.00
Zaferan.9908-44,20200915,87360.00,89500.00,86000.00,87526.00,9605626907,109746,240,D,88301.00,86500.00
Zaferan.9908-44,20200914,86504.00,90000.00,86400.00,88301.00,8790236360,99548,179,D,86539.00,87900.00
Zaferan.9908-44,20200913,88000.00,89900.00,85546.00,86539.00,39001920080,450684,490,D,90048.00,89000.00
Zaferan.9908-44,20200912,93320.00,93990.00,88327.00,90048.00,19599127790,217651,359,D,92975.00,88327.00
Zaferan.9908-44,20200908,91007.00,93890.00,90941.00,91545.00,11493278511,125548,232,D,95727.00,93890.00
Zaferan.9908-44,20200907,95010.00,98198.00,93499.00,95727.00,14372423390,150140,240,D,97889.00,93499.00
Zaferan.9908-44,20200906,98700.00,98788.00,97101.00,97889.00,21442284059,219048,260,D,98381.00,97900.00
Zaferan.9908-44,20200905,98280.00,99000.00,97150.00,98381.00,8207727506,83428,148,D,98344.00,98500.00
Zaferan.9908-44,20200902,98900.00,99198.00,97200.00,98344.00,26551461276,269986,227,D,98200.00,99000.00
Zaferan.9908-44,20200901,95300.00,99500.00,95100.00,98200.00,34423279541,350544,261,D,97669.00,98600.00
Zaferan.9908-44,20200831,100001.00,100599.00,97223.00,97669.00,10576288886,108287,195,D,102340.00,98000.00
Zaferan.9908-44,20200826,102000.00,104500.00,101000.00,102340.00,7245760895,70801,201,D,101138.00,101100.00
Zaferan.9908-44,20200825,104389.00,104389.00,99019.00,101138.00,11474256217,113452,215,D,99421.00,101100.00
Zaferan.9908-44,20200824,97100.00,101417.00,95000.00,99421.00,22465149815,225959,379,D,96588.00,101010.00
Zaferan.9908-44,20200823,98000.00,99000.00,94150.00,96588.00,23426828142,242545,282,D,98479.00,97010.00
Zaferan.9908-44,20200822,98000.00,102145.00,95000.00,98479.00,21055867523,213810,402,D,97284.00,96900.00
Zaferan.9908-44,20200819,95780.00,105833.00,95755.00,97284.00,37075529097,381106,294,D,100794.00,102998.00
Zaferan.9908-44,20200818,100379.00,104000.00,100377.00,100794.00,7962102263,78994,108,D,105660.00,100377.00
Zaferan.9908-44,20200817,109125.00,111499.00,104999.00,105660.00,13849783503,131079,126,D,110525.00,104999.00
Zaferan.9908-44,20200816,114200.00,114999.00,109125.00,110525.00,24067021266,217752,234,D,114868.00,109125.00
Zaferan.9908-44,20200815,116450.00,116914.00,108600.00,114868.00,39531080112,344143,389,D,111347.00,110420.00
Zaferan.9908-44,20200812,108500.00,115579.00,108500.00,111347.00,40733887872,365828,349,D,110153.00,112500.00
Zaferan.9908-44,20200811,107000.00,110674.00,106500.00,110153.00,39704620811,360449,632,D,105404.00,110674.00
Zaferan.9908-44,20200810,104932.00,109995.00,101935.00,105404.00,9865875717,93601,336,D,107299.00,107800.00
Zaferan.9908-44,20200809,108916.00,108916.00,100251.00,107299.00,43610229299,406436,753,D,103730.00,101000.00
Zaferan.9908-44,20200805,102000.00,107184.00,100200.00,103730.00,43273891061,417178,542,D,102080.00,107183.00
Zaferan.9908-44,20200804,101990.00,103854.00,98203.00,102080.00,33547419498,328637,429,D,98909.00,101200.00
