Date,Time,Open,High,Low,Close,Volume
2017.01.23,9:48:00,2614,2617,2614,2614,3638
2017.01.23,9:49:00,2603,2604,2603,2603,5305
2017.01.23,9:51:00,2603,2603,2603,2603,200
2017.01.23,9:53:00,2603,2603,2603,2603,376
2017.01.23,9:55:00,2603,2603,2603,2603,89
2017.01.23,9:57:00,2603,2603,2603,2603,7880
2017.01.23,9:58:00,2744,2744,2736,2744,680
2017.01.23,9:59:00,2745,2745,2745,2745,39
2017.01.23,10:00:00,2823,2823,2823,2823,5000
2017.01.23,10:02:00,2823,2823,2823,2823,10
2017.01.23,10:23:00,2807,2807,2807,2807,2000
2017.01.23,10:25:00,2807,2807,2807,2807,1246
2017.01.23,10:28:00,2807,2807,2807,2807,56
2017.01.23,12:05:00,2692,2692,2692,2692,134
2017.01.23,12:07:00,2648,2648,2648,2648,2
2017.01.23,12:20:00,2648,2648,2648,2648,2500
2017.01.24,12:29:00,2639,2639,2639,2639,5500
2017.01.25,9:06:00,2836,2836,2836,2836,200
2017.01.25,11:56:00,2692,2692,2692,2692,5000
2017.01.25,12:00:00,2692,2692,2692,2692,9800
2017.01.30,11:41:00,2623,2623,2623,2623,87
2017.01.31,11:29:00,2624,2624,2624,2624,1000
2017.01.31,11:32:00,2623,2623,2623,2623,50
2017.01.31,12:07:00,2623,2623,2623,2623,385
2017.01.31,12:24:00,2648,2648,2648,2648,17
2017.01.31,12:28:00,2623,2623,2623,2623,148
2017.01.31,12:29:00,2586,2604,2586,2586,2535
2017.02.01,12:03:00,2648,2648,2648,2648,830
2017.02.01,12:17:00,2665,2665,2665,2665,100
2017.02.04,11:53:00,2573,2573,2573,2573,200
2017.02.04,12:01:00,2573,2573,2573,2573,2679
2017.02.04,12:18:00,2573,2573,2573,2573,500
2017.02.05,10:50:00,2631,2631,2631,2631,1800
2017.02.05,11:14:00,2657,2657,2657,2657,650
2017.02.05,12:14:00,2644,2644,2644,2644,149
2017.02.05,12:27:00,2644,2644,2644,2644,110
2017.02.05,12:29:00,2642,2642,2642,2642,70
2017.02.06,10:28:00,2595,2595,2595,2595,40
2017.02.06,12:00:00,2568,2569,2568,2568,5000
2017.02.06,12:01:00,2567,2568,2567,2567,1183
2017.02.06,12:04:00,2565,2565,2565,2565,3000
2017.02.07,9:02:00,2561,2561,2553,2553,300
2017.02.07,9:07:00,2565,2565,2565,2565,4760
2017.02.07,9:08:00,2565,2565,2565,2565,240
2017.02.07,9:22:00,2565,2565,2565,2565,160
2017.02.07,9:33:00,2553,2553,2553,2553,420
2017.02.07,9:46:00,2553,2553,2553,2553,100
2017.02.07,10:16:00,2617,2617,2565,2617,25000
2017.02.07,10:17:00,2620,2692,2620,2692,4433
2017.02.07,11:04:00,2692,2692,2692,2692,10000
2017.02.07,11:05:00,2807,2807,2692,2807,5000
2017.02.08,9:55:00,2736,2736,2657,2736,10000
2017.02.08,12:18:00,2736,2767,2736,2767,20000
2017.02.08,12:23:00,2767,2767,2767,2767,102
2017.02.11,10:30:00,2736,2736,2736,2736,35
2017.02.11,10:44:00,2578,2604,2578,2578,350
2017.02.12,10:21:00,2780,2780,2780,2780,5000
2017.02.12,11:53:00,2751,2751,2751,2751,10000
2017.02.12,12:22:00,2750,2750,2736,2750,10000
2017.02.13,9:29:00,2604,2604,2604,2604,300
2017.02.13,9:57:00,2604,2604,2604,2604,617
2017.02.13,10:00:00,2604,2604,2604,2604,38
2017.02.13,10:01:00,2604,2604,2604,2604,344
2017.02.14,11:56:00,2605,2605,2605,2605,35
2017.02.15,11:30:00,2608,2608,2608,2608,68
2017.02.15,11:34:00,2648,2648,2648,2648,1000
2017.02.15,11:35:00,2692,2692,2692,2692,10310
2017.02.15,11:36:00,2696,2696,2696,2696,3000
2017.02.15,11:41:00,2692,2692,2692,2692,300
2017.02.15,11:52:00,2674,2692,2648,2648,30920
2017.02.15,11:55:00,2696,2696,2696,2696,100
2017.02.18,10:17:00,2815,2815,2688,2815,30000
2017.02.18,10:18:00,2818,2818,2815,2818,70000
2017.02.18,10:19:00,2822,2822,2818,2822,20000
2017.02.18,10:45:00,2688,2688,2688,2688,5
2017.02.18,11:09:00,2803,2803,2803,2803,10
2017.02.18,11:45:00,2688,2688,2674,2674,18625
2017.02.18,11:47:00,2665,2665,2665,2665,15000
2017.02.18,11:56:00,2800,2800,2800,2800,100
2017.02.19,12:13:00,2775,2775,2775,2775,537
2017.02.20,9:49:00,2824,2824,2824,2824,980
2017.02.20,10:42:00,2736,2736,2736,2736,100
2017.02.20,11:14:00,2736,2736,2736,2736,236
2017.02.20,11:24:00,2692,2692,2674,2674,4502
2017.02.21,9:56:00,2680,2680,2680,2680,12500
2017.02.21,10:09:00,2674,2674,2674,2674,362
2017.02.21,11:19:00,2692,2692,2692,2692,34
2017.02.22,9:05:00,2771,2771,2771,2771,60
2017.02.22,9:06:00,2771,2771,2771,2771,81
2017.02.22,9:07:00,2771,2771,2771,2771,57
2017.02.22,12:26:00,2758,2758,2758,2758,318
2017.02.25,10:47:00,2692,2692,2683,2692,2100
2017.02.25,11:05:00,2683,2683,2683,2683,3000
2017.02.25,11:08:00,2683,2683,2683,2683,242
2017.02.25,11:16:00,2683,2683,2683,2683,240
2017.02.25,11:21:00,2683,2683,2683,2683,1000
2017.02.25,11:28:00,2683,2683,2683,2683,1518
2017.02.25,11:29:00,2683,2683,2683,2683,120
2017.02.25,11:31:00,2683,2683,2683,2683,350
2017.02.25,11:34:00,2683,2683,2683,2683,1530
2017.02.25,11:38:00,2683,2683,2683,2683,395
2017.02.25,11:53:00,2677,2677,2677,2677,1442
2017.02.25,11:54:00,2675,2677,2674,2674,4903
2017.02.27,9:18:00,2824,2824,2758,2824,50000
2017.02.27,9:20:00,2824,2824,2824,2824,4693
2017.02.27,10:47:00,2780,2780,2780,2780,170
2017.02.27,11:43:00,2736,2736,2736,2736,170
2017.02.27,12:20:00,2745,2745,2745,2745,89
2017.02.27,12:22:00,2745,2745,2745,2745,240
2017.02.28,9:10:00,2692,2692,2692,2692,1000
2017.02.28,9:58:00,2657,2657,2657,2657,330
2017.02.28,12:28:00,2657,2657,2657,2657,215
2017.03.01,9:17:00,2761,2761,2761,2761,100000
2017.03.01,9:29:00,2692,2692,2692,2692,1000
2017.03.04,9:44:00,2653,2653,2653,2653,3031
2017.03.04,9:49:00,2648,2648,2648,2648,500
2017.03.04,9:50:00,2648,2648,2648,2648,100
2017.03.04,9:56:00,2648,2648,2648,2648,100
2017.03.04,10:02:00,2648,2648,2648,2648,60
2017.03.04,10:08:00,2648,2648,2648,2648,540
2017.03.04,10:16:00,2648,2648,2648,2648,112
2017.03.04,10:34:00,2648,2648,2648,2648,300
2017.03.04,11:11:00,2648,2648,2648,2648,500
2017.03.04,11:13:00,2648,2648,2648,2648,200
2017.03.04,11:25:00,2648,2648,2648,2648,180
2017.03.04,11:41:00,2648,2648,2648,2648,170
2017.03.04,12:09:00,2640,2640,2640,2640,280
2017.03.05,9:09:00,2780,2780,2780,2780,50000
2017.03.05,9:12:00,2648,2648,2648,2648,1800
2017.03.05,9:13:00,2648,2648,2648,2648,170
2017.03.05,9:33:00,2648,2648,2648,2648,2378
2017.03.05,9:36:00,2648,2648,2648,2648,18507
2017.03.05,10:13:00,2623,2623,2623,2623,300
2017.03.05,12:05:00,2648,2648,2648,2648,470
2017.03.05,12:29:00,2648,2648,2648,2648,48
2017.03.05,12:39:00,2780,2780,2780,2780,29830
2017.03.06,9:43:00,2648,2648,2648,2648,1990
2017.03.06,10:38:00,2648,2648,2648,2648,15
2017.03.06,11:33:00,2648,2648,2648,2648,2321
2017.03.06,11:57:00,2624,2624,2624,2624,704
2017.03.06,12:00:00,2624,2624,2624,2624,150
2017.03.06,12:08:00,2625,2630,2625,2625,1985
2017.03.06,12:16:00,2648,2648,2648,2648,91
