Date,Open,High,Low,Close,Volume
2019.12.31,375547.69,379601.38,375547.69,377012.34,1939
2020.01.01,377012.56,384934.84,377012.56,384319.78,1951
2020.01.04,384099.59,384099.59,367444.13,367444.13,2271
2020.01.05,367334.19,367334.19,363925.53,365819.31,2026
2020.01.07,365815.5,368353.63,359212.63,359212.63,2319
2020.01.08,358843.22,358843.22,353709.97,353770.66,2211
2020.01.11,353807.69,359658,353807.69,359658,2204
2020.01.12,359807.44,375556.13,359807.44,375556.13,2296
2020.01.13,375650.16,391906.28,375650.16,391906.28,2343
2020.01.14,392038.38,398920.69,392038.38,395945.75,2316
2020.01.15,395912.63,399121.94,394102.78,399121.94,2173
2020.01.18,399445.28,410549.84,399445.28,410037.06,2079
2020.01.19,409962.47,410977.63,407306.38,410791.22,2233
2020.01.20,410694.53,411459.53,409044.53,409753.06,2285
2020.01.21,409807.78,409807.78,406008.47,406008.47,1123
2020.01.22,406008.94,411211.13,405366.06,411211.13,1166
2020.01.25,411211.47,417100.25,411211.47,417001.88,783
2020.01.26,417001.88,422713.88,417001.88,418466.06,1298
2020.01.27,418312.47,420668.13,415189.94,420668.13,1697
2020.01.28,420668.03,427491.03,420668.03,427155.47,1677
2020.02.01,427139.41,430737.38,426293.69,426293.69,2015
2020.02.02,426184.91,428216.75,422604.78,428216.75,1886
2020.02.03,428216.97,438893.63,428216.97,438881.28,1229
2020.02.04,438880.22,444403.34,438880.22,440199.56,1221
2020.02.05,440199.06,445893.41,440199.06,445893.41,774
2020.02.08,445894.13,456488.28,445894.13,455655.31,475
2020.02.09,452842.34,455485.34,452842.34,454618.63,574
2020.02.10,454618.53,456680.56,445576.81,447152.28,1363
2020.02.12,447151.94,459507.31,447151.94,458984.16,1941
2020.02.15,459079.63,465978.19,459079.63,461988.72,975
2020.02.16,461988.41,472749.63,461988.41,472749.63,771
2020.02.17,472749.88,480712.72,472749.88,476812.91,676
2020.02.18,476812.75,477209.75,468840.75,472119.84,646
2020.02.19,472120.38,479180.84,472120.38,478754.41,873
2020.02.22,478755.66,481867,467120.34,481867,869
2020.02.23,481798.03,499031.09,481798.03,498904.53,532
2020.02.24,498904.5,507269.66,498904.5,503736.94,665
2020.02.25,503735.81,518514,503735.81,518514,986
2020.02.26,518512.81,530073.38,518512.81,524611.38,874
2020.02.29,523850.97,523850.97,504035.94,505825.19,1425
2020.03.01,505801,515583.97,505801,515583.97,864
2020.03.02,515583.38,529328.94,515583.38,529328.94,753
2020.03.03,529329,544239.81,529329,544239.81,1115
2020.03.04,544237.69,555293.94,544237.69,555181.56,816
2020.03.07,555167.63,555167.63,549322.5,549322.5,864
2020.03.09,549185.06,549185.06,534792.94,534792.94,986
2020.03.10,534378.44,534378.44,520059.31,520059.31,2035
2020.03.14,520211.78,520211.78,502688.25,502688.25,1003
2020.03.15,502739.16,502739.16,493276.38,494099.69,1325
2020.03.16,494405.69,505981.44,494405.69,505956.06,43
2020.03.17,506079.81,506880.22,501053,502245.63,668
2020.03.18,502429.72,512615.31,502429.72,512615.31,1367
2020.03.24,512900.47,513347.75,508533.06,508862.03,2331
2020.03.25,508661.53,521065.81,508661.53,521065.81,2326
2020.03.28,521267.66,532522.19,521267.66,532522.19,1810
2020.03.29,532525.25,545899.25,532525.25,545728.56,1577
2020.03.30,545649.38,547238.06,543655.19,547238.06,1442
2020.04.04,547658.5,567664.25,547658.5,567664.25,1102
2020.04.05,567425.56,574017.56,567425.56,574017.56,1212
2020.04.06,573904.06,575338.06,568336.31,569609.75,1276
2020.04.07,569673.69,583598.56,569673.69,583598.56,1475
2020.04.08,583383,597348.38,583383,597164.44,1673
2020.04.11,597253.88,608289.06,597253.88,608060.13,860
2020.04.12,607855.88,623328.69,607855.88,623278.19,998
2020.04.13,623259.81,643951.88,623259.81,624715.81,1025
2020.04.14,624528.5,626515.63,617224.13,626515.63,1148
2020.04.15,626408.69,645781.25,626408.69,645781.25,746
2020.04.18,645762.5,668296.44,645762.5,668166.13,736
2020.04.19,668905.5,691183.63,668905.5,690376.38,781
2020.04.20,690037,708356,690037,708356,923
2020.04.21,708995,726965,708995,725621,585
2020.04.22,726137,741828,726137,741828,695
2020.04.25,741932,769695,741932,769695,1015
2020.04.26,769373,797188,769373,797188,1132
2020.04.27,797813,819555,797813,819555,1531
2020.04.29,845952,877213,845952,877213,657
2020.05.02,878101,916313,878101,916313,1324
2020.05.03,917406,963272,917406,963272,1301
2020.05.04,956200,979103,956200,979103,850
2020.05.05,979105,995966,978311,978363,1571
2020.05.06,980571,980571,965587,977980,362
2020.05.09,977923,1020841,977923,1020841,1714
2020.05.10,1020218,1044492,1020218,1041773,1634
2020.05.11,1043253,1048829,1043131,1044441,1736
2020.05.12,1047763,1047763,1020312,1020312,2264
2020.05.13,1021445,1026061,1008215,1018971,1659
2020.05.16,1017663,1017663,984065,984065,2447
2020.05.17,987475,987475,964010,968024,2190
2020.05.18,968460,993512,968460,992228,1976
2020.05.19,995181,1008562,995181,1001022,2276
2020.05.20,1002125,1002125,985263,986024,1986
2020.05.23,986638,986638,961582,961582,21
2020.05.26,959840,959840,929314,929314,11
2020.05.27,926133,936587,913866,936587,11
2020.05.30,938557,971688,938557,971688,13
2020.05.31,973494,987298,970304,970467,12
2020.06.01,970413,986628,970413,986628,11
2020.06.02,988121,1028537,988121,1028537,13
2020.06.06,1028538,1067775,1028538,1067775,12
2020.06.07,1068844,1115170,1068844,1115170,9
2020.06.08,1116187,1127717,1116187,1119865,9
2020.06.09,1118912,1128633,1117350,1118200,11
2020.06.10,1118118,1153362,1118118,1153362,9
2020.06.13,1153680,1190341,1153680,1189892,9
2020.06.14,1189858,1201880,1178773,1184277,9
2020.06.16,1200100,1229707,1200100,1229707,44
2020.06.20,1229674,1270603,1229674,1270603,44
2020.06.21,1270627,1300838,1270627,1300838,43
2020.06.22,1300813,1339100,1300813,1339100,36
2020.06.23,1341579,1391811,1341579,1391047,44
2020.06.24,1391025,1419294,1391025,1419294,43
2020.06.27,1419454,1466243,1419454,1466243,40
2020.06.28,1466278,1499893,1466278,1491952,39
2020.06.29,1491928,1491928,1460445,1481005,36
2020.06.30,1481938,1546850,1481938,1546850,34
2020.07.01,1546845,1612679,1546845,1612679,26
2020.07.04,1612902,1645266,1612902,1619185,27
2020.07.05,1621343,1652752,1620469,1652752,27
2020.07.06,1655430,1737811,1655430,1737811,24
2020.07.07,1718350,1745912,1718350,1745713,44
2020.07.08,1747079,1767015,1747079,1752530,43
2020.07.11,1753643,1753643,1719034,1738327,43
2020.07.12,1741354,1814831,1741354,1813499,42
2020.07.13,1812843,1816467,1799815,1816167,41
