<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020.12.29,10:00:00,149000,150100,148000,148600,5683
2020.12.29,11:00:00,148500,148600,147500,147600,3526
2020.12.29,12:00:00,147700,148300,147700,148000,3377
2020.12.29,13:00:00,148000,148400,147300,147300,2317
2020.12.29,14:00:00,147300,147400,143000,143100,4476
2020.12.30,10:00:00,143000,144100,140200,140600,3970
2020.12.30,11:00:00,140600,140600,138700,140200,5462
2020.12.30,12:00:00,140200,141900,139900,140200,1877
2020.12.30,13:00:00,140300,141300,139200,140500,1093
2020.12.30,14:00:00,140400,140600,138700,139400,2739
2020.12.31,10:00:00,139000,140100,138400,138400,1785
2020.12.31,11:00:00,138400,139600,137400,138700,3095
2020.12.31,12:00:00,138800,139800,138400,139300,1225
2020.12.31,13:00:00,139300,140800,138900,139900,2509
2020.12.31,14:00:00,139800,142100,139500,141600,5592
2021.01.02,10:00:00,142500,142600,140800,141300,2385
2021.01.02,11:00:00,141200,143300,141100,142900,7409
2021.01.02,12:00:00,142800,143700,142300,143000,8469
2021.01.02,13:00:00,143000,143600,142500,143000,3974
2021.01.02,14:00:00,142900,142900,141100,142700,5653
2021.01.03,10:00:00,142500,144700,142500,144600,5538
2021.01.03,11:00:00,144600,145100,144000,145000,6783
2021.01.03,12:00:00,145100,145800,144700,144700,3068
2021.01.03,13:00:00,144600,145400,144600,145300,1551
2021.01.03,14:00:00,145200,145200,143800,144100,3153
2021.01.04,10:00:00,144900,145400,144600,145000,2503
2021.01.04,11:00:00,145100,145200,142700,143400,5797
2021.01.04,12:00:00,143500,144000,142700,143600,2690
2021.01.04,13:00:00,143500,143700,142900,143100,1002
2021.01.04,14:00:00,143100,147100,142900,147000,13719
2021.01.05,10:00:00,147000,147400,146200,146800,2731
2021.01.05,11:00:00,146800,146800,145200,145800,2156
2021.01.05,12:00:00,145800,146400,145500,145900,1730
2021.01.05,13:00:00,145800,146900,145700,146500,2635
2021.01.05,14:00:00,146400,147300,146400,146500,2306
2021.01.06,10:00:00,146000,146600,145000,145800,6499
2021.01.06,11:00:00,145700,146300,144900,145000,8378
2021.01.06,12:00:00,145000,146100,144700,145500,6264
2021.01.06,13:00:00,145600,146900,145500,146900,6046
2021.01.06,14:00:00,146800,148300,146800,148200,6613
2021.01.07,10:00:00,147900,148200,146600,146700,2678
2021.01.07,11:00:00,146800,147800,146600,147100,1395
2021.01.07,12:00:00,147100,147100,145900,146400,3647
2021.01.07,13:00:00,146400,146600,145100,145900,3302
2021.01.07,14:00:00,145900,146000,145100,145300,2036
