<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2018.01.02,96208,96354.49,96208,96241.4,2607
2018.01.03,96241.28,96263.86,95929.59,95929.59,2603
2018.01.06,95929.46,96280.96,95919.05,96270.31,2607
2018.01.07,96270.39,96374.34,96234.53,96234.53,2605
2018.01.08,96234.54,96351.9,96234.54,96332.54,2608
2018.01.09,96332.55,96359.92,96141.07,96149.21,2607
2018.01.10,96149.27,96261.33,96147.68,96186,2607
2018.01.13,96185.99,96727.65,96185.99,96719.89,2580
2018.01.14,96627.55,97230.65,96627.55,97226.77,2599
2018.01.15,97228.67,97966.58,97228.67,97944.1,2606
2018.01.16,97944.03,98603.65,97944.03,98597.05,2607
2018.01.17,98596.93,98959.46,98596.93,98923.71,2602
2018.01.20,98923.55,99075.05,98832.31,98832.31,2605
2018.01.21,98817.28,98817.28,98221.08,98221.08,2606
2018.01.22,98221.09,98679.89,98218.09,98629.26,2606
2018.01.23,98628.43,99224.71,98628.43,99224.71,2605
2018.01.24,99224.8,99607.05,99224.8,99522.19,2605
2018.01.27,99522.18,99557.32,99355.55,99355.55,2585
2018.01.28,99355.55,99563.76,99355.55,99414.54,2600
2018.01.29,99414.55,99501.71,99046.12,99046.12,2606
2018.01.30,99046.12,99065.31,98557.73,98557.73,2607
2018.01.31,98557.87,98561.54,98133.5,98133.5,2585
2018.02.03,98133.52,98145.53,97718.79,97718.79,2604
2018.02.04,97718.81,97868.81,97705.81,97808.22,2606
2018.02.05,97808.19,98050.93,97808.19,98033.55,2604
2018.02.06,98033.54,98093.53,97913.59,97927.39,2605
2018.02.07,97927.5,98317.47,97927.5,98317.47,2606
2018.02.10,98299.74,98299.74,97782.51,97782.51,2607
2018.02.12,97782.73,98003.88,97782.73,97924.43,2596
2018.02.13,97924.73,98175.42,97924.73,98103.28,2601
2018.02.14,98103.36,98348.09,98103.36,98348.09,2601
2018.02.17,98347.92,98603.78,98347.92,98429.69,2605
2018.02.18,98429.69,98462.97,98300.4,98300.4,2598
2018.02.19,98300.65,98338.93,98148.52,98148.52,2606
2018.02.21,98148.52,98249.66,98148.52,98157.18,2609
2018.02.24,98157.3,98313.72,98157.3,98176.9,2583
2018.02.25,98176.9,98211.47,98080.18,98080.18,2590
2018.02.26,98080.27,98173.29,98080.27,98098.53,2591
2018.02.27,98098.51,98229.87,98096.99,98100.78,2601
2018.02.28,98100.84,98181.61,97961.42,97961.42,2604
2018.03.03,97961.75,97968.75,97388.44,97388.44,2603
2018.03.04,97388.71,97446.17,97354.3,97354.3,2604
