Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/CAD,0.947380,0.000140000,-0.2968,-0.1410,0.00010,0.000074,0,33.333,1.00,0.300,AUD/CAD
AUD/CHF,0.659850,0.000150000,0.5379,-1.2949,0.00010,0.000106,0,25.000,1.00,0.300,AUD/CHF
AUD/JPY,74.92,0.00900000,0.0914,-0.5394,0.01000,0.000093,0,25.000,1.00,0.300,AUD/JPY
AUD/NZD,1.06696,0.000130000,-0.3078,-0.2227,0.00010,0.000065,0,33.333,1.00,0.300,AUD/NZD
AUD/USD,0.698050,0.000030000,-0.4100,-0.0100,0.00010,0.000100,0,33.333,1.00,0.300,AUD/USD
CAD/CHF,0.696550,0.000150000,0.7371,-1.4144,0.00010,0.000106,0,25.000,1.00,0.300,CAD/CHF
CAD/JPY,79.08,0.0100000,0.2468,-0.6034,0.01000,0.000093,0,25.000,1.00,0.300,CAD/JPY
CHF/JPY,113.55,0.0130000,-0.7863,-0.1280,0.01000,0.000093,0,25.000,1.00,0.300,CHF/JPY
EUR/AUD,1.63219,0.000140000,-0.9066,0.2284,0.00010,0.000070,0,33.333,1.00,0.300,EUR/AUD
EUR/CAD,1.54620,0.000150000,-0.9349,0.4304,0.00010,0.000074,0,50.000,1.00,0.300,EUR/CAD
EUR/CHF,1.07688,0.000080000,-0.2391,-0.7570,0.00010,0.000106,0,25.000,1.00,0.300,EUR/CHF
EUR/GBP,0.906740,0.000120000,-0.6714,-0.0253,0.00010,0.000126,0,20.000,1.00,0.300,EUR/GBP
EUR/JPY,122.27,0.00800000,-0.3566,-0.2468,0.01000,0.000093,0,25.000,1.00,0.300,EUR/JPY
EUR/NOK,10.59,0.0106200,-1.4833,0.4162,0.00010,0.000011,0,14.286,1.00,0.300,EUR/NOK
EUR/NZD,1.74146,0.000320000,-0.9693,0.3078,0.00010,0.000065,0,33.333,1.00,0.300,EUR/NZD
EUR/SEK,10.34,0.00898000,-0.8684,-0.1946,0.00010,0.000011,0,33.333,1.00,0.300,EUR/SEK
EUR/USD,1.13930,0.000040000,-1.2100,0.6800,0.00010,0.000100,0,50.000,1.00,0.300,EUR/USD
GBP/AUD,1.80025,0.000310000,-0.7128,-0.1730,0.00010,0.000070,0,20.000,1.00,0.300,GBP/AUD
GBP/CAD,1.70540,0.000310000,-0.6752,-0.0074,0.00010,0.000074,0,20.000,1.00,0.300,GBP/CAD
GBP/CHF,1.18779,0.000180000,0.7172,-2.0918,0.00010,0.000106,0,20.000,1.00,0.300,GBP/CHF
GBP/JPY,134.86,0.0210000,-0.1280,-0.7223,0.01000,0.000093,0,20.000,1.00,0.300,GBP/JPY
GBP/NOK,11.69,0.0147200,-0.8808,-0.5220,1.00000,0.011498,0,20.004,1000.00,0.300,GBP/NOK
GBP/NZD,1.92074,0.000420000,-0.8449,-0.1703,0.00010,0.000065,0,20.000,1.00,0.300,GBP/NZD
GBP/SEK,11.41,0.0140900,-0.1528,-1.2493,1.00000,0.010463,0,20.003,1000.00,0.300,GBP/SEK
GBP/USD,1.25660,0.000100000,-1.0700,0.2900,0.00010,0.000100,0,20.000,1.00,0.300,GBP/USD
NZD/CAD,0.887970,0.000170000,-0.2300,-0.1707,0.00010,0.000074,0,33.333,1.00,0.300,NZD/CAD
NZD/CHF,0.618520,0.000180000,0.4781,-1.3148,0.00010,0.000106,0,25.000,1.00,0.300,NZD/CHF
NZD/JPY,70.22,0.0110000,0.1371,-0.5486,0.01000,0.000093,0,25.000,1.00,0.300,NZD/JPY
NZD/USD,0.654300,0.000070000,-0.3400,-0.0500,0.00010,0.000100,0,33.333,1.00,0.300,NZD/USD
USD/CAD,1.35712,0.000090000,-0.0223,-0.4378,0.00010,0.000074,0,50.000,1.00,0.300,USD/CAD
USD/CHF,0.945260,0.000070000,1.4343,-2.4703,0.00010,0.000106,0,25.000,1.00,0.300,USD/CHF
USD/JPY,107.32,0.00400000,0.5394,-1.0148,0.01000,0.000093,0,25.000,1.00,0.300,USD/JPY
USD/NOK,9.29773,0.00813000,0.3311,-1.2556,0.00010,0.000011,0,14.286,1.00,0.300,USD/NOK
USD/SEK,9.07971,0.00792000,0.8768,-1.8017,0.00010,0.000011,0,33.333,1.00,0.300,USD/SEK
