Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/CAD,0.898270,0.000170000,0.0000,0.0000,0.00010,0.000068,0,20.000,1.00,0.000,AUD/CAD
AUD/CHF,0.670610,0.000280000,0.0000,0.0000,0.00010,0.000092,0,20.000,1.00,0.000,AUD/CHF
AUD/HKD,5.30255,0.00163000,0.0000,0.0000,0.00010,0.000012,0,20.000,1.00,0.000,AUD/HKD
AUD/JPY,72.79,0.0200000,0.0000,0.0000,0.01000,0.000084,0,20.000,1.00,0.000,AUD/JPY
AUD/NZD,1.08113,0.000320000,0.0000,0.0000,0.00010,0.000057,0,20.000,1.00,0.000,AUD/NZD
AUD/SGD,0.931850,0.000370000,0.0000,0.0000,0.00010,0.000066,0,20.000,1.00,0.000,AUD/SGD
AUD/USD,0.676410,0.000150000,0.0000,0.0000,0.00010,0.000091,0,20.000,1.00,0.000,AUD/USD
CAD/CHF,0.746580,0.000240000,0.0000,0.0000,0.00010,0.000092,0,20.000,1.00,0.000,CAD/CHF
CAD/HKD,5.90311,0.00127000,0.0000,0.0000,0.00010,0.000012,0,20.000,1.00,0.000,CAD/HKD
CAD/JPY,81.03,0.0190000,0.0000,0.0000,0.01000,0.000084,0,20.000,1.00,0.000,CAD/JPY
CAD/SGD,1.03752,0.000330000,0.0000,0.0000,0.00010,0.000066,0,20.000,1.00,0.000,CAD/SGD
CHF/HKD,7.90855,0.00220000,0.0000,0.0000,0.00010,0.000012,0,20.000,1.00,0.000,CHF/HKD
CHF/JPY,108.56,0.0180000,0.0000,0.0000,0.01000,0.000084,0,20.000,1.00,0.000,CHF/JPY
CHF/ZAR,15.08,0.0175100,0.0000,0.0000,0.00010,0.000006,0,20.000,1.00,0.000,CHF/ZAR
EUR/AUD,1.62923,0.000300000,0.0000,0.0000,0.00010,0.000061,0,20.000,1.00,0.000,EUR/AUD
EUR/CAD,1.46318,0.000240000,0.0000,0.0000,0.00010,0.000068,0,20.000,1.00,0.000,EUR/CAD
EUR/CHF,1.09225,0.000230000,0.0000,0.0000,0.00010,0.000092,0,20.000,1.00,0.000,EUR/CHF
EUR/CZK,25.86,0.0129600,0.0000,0.0000,0.00010,0.000004,0,20.000,1.00,0.000,EUR/CZK
EUR/DKK,7.46898,0.00189000,0.0000,0.0000,0.00010,0.000013,0,20.000,1.00,0.000,EUR/DKK
EUR/GBP,0.883320,0.000150000,0.0000,0.0000,0.00010,0.000113,0,20.000,1.00,0.000,EUR/GBP
EUR/HKD,8.63673,0.00184000,0.0000,0.0000,0.00010,0.000012,0,20.000,1.00,0.000,EUR/HKD
EUR/HUF,333.76,0.247000,0.0000,0.0000,0.01000,0.000030,0,20.000,1.00,0.000,EUR/HUF
EUR/JPY,118.56,0.0170000,0.0000,0.0000,0.01000,0.000084,0,20.000,1.00,0.000,EUR/JPY
EUR/NOK,9.99563,0.00418000,0.0000,0.0000,0.00010,0.000010,0,20.000,1.00,0.000,EUR/NOK
EUR/NZD,1.76112,0.000280000,0.0000,0.0000,0.00010,0.000057,0,20.000,1.00,0.000,EUR/NZD
EUR/PLN,4.37658,0.00282000,0.0000,0.0000,0.00010,0.000023,0,20.000,1.00,0.000,EUR/PLN
EUR/SEK,10.71,0.00311000,0.0000,0.0000,0.00010,0.000009,0,20.000,1.00,0.000,EUR/SEK
EUR/SGD,1.51796,0.000460000,0.0000,0.0000,0.00010,0.000066,0,20.000,1.00,0.000,EUR/SGD
EUR/TRY,6.33598,0.00908000,0.0000,0.0000,0.00010,0.000016,0,20.000,1.00,0.000,EUR/TRY
EUR/USD,1.10186,0.000140000,0.0000,0.0000,0.00010,0.000091,0,20.000,1.00,0.000,EUR/USD
EUR/ZAR,16.47,0.0172700,0.0000,0.0000,0.00010,0.000006,0,20.000,1.00,0.000,EUR/ZAR
GBP/AUD,1.84490,0.000860000,0.0000,0.0000,0.00010,0.000061,0,20.000,1.00,0.000,GBP/AUD
GBP/CAD,1.65674,0.000420000,0.0000,0.0000,0.00010,0.000068,0,20.000,1.00,0.000,GBP/CAD
