Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/CAD,0.93954,0.0003,-0.213,-0.205,0.0001,0.000065,0,20,1,0,AUD/CAD
AUD/CHF,0.65499,0.00029,0.061,-0.361,0.0001,0.000094,0,20,1,0,AUD/CHF
AUD/JPY,73.8,0.022,-0.18,-0.247,0.01,0.000083,0,20,1,0,AUD/JPY
AUD/NZD,1.06756,0.00035,-0.243,-0.19,0.0001,0.000057,0,20,1,0,AUD/NZD
AUD/USD,0.69323,0.00016,-0.23,-0.18,0.0001,0.000088,0,20,1,0,AUD/USD
CAD/CHF,0.69726,0.00029,-0.065,-0.383,0.0001,0.000094,0,25,1,0,CAD/CHF
CAD/JPY,78.56,0.022,-0.184,-0.259,0.01,0.000083,0,30.03,1,0,CAD/JPY
CHF/JPY,112.69,0.022,-0.493,-0.138,0.01,0.000083,0,25,1,0,CHF/JPY
EUR/AUD,1.63155,0.0003,-0.534,-0.133,0.0001,0.000061,0,20,1,0,EUR/AUD
EUR/CAD,1.53272,0.0005,-0.528,-0.133,0.0001,0.000065,0,30.03,1,0,EUR/CAD
EUR/CHF,1.0685,0.0003,-0.265,-0.404,0.0001,0.000094,0,25,1,0,EUR/CHF
EUR/GBP,0.90321,0.00014,-0.522,-0.145,0.0001,0.000111,0,30.03,1,0,EUR/GBP
EUR/JPY,120.39,0.024,-0.46,-0.194,0.01,0.000083,0,30.03,1,0,EUR/JPY
EUR/NZD,1.74153,0.00049,-0.58,-0.102,0.0001,0.000057,0,20,1,0,EUR/NZD
EUR/USD,1.13077,0.00004,-0.559,-0.09,0.0001,0.000088,0,30.03,1,0,EUR/USD
GBP/AUD,1.80619,0.00058,-0.401,-0.353,0.0001,0.000061,0,20,1,0,GBP/AUD
GBP/CAD,1.69672,0.00065,-0.391,-0.353,0.0001,0.000065,0,30.03,1,0,GBP/CAD
GBP/CHF,1.1828,0.0003,-0.114,-0.644,0.0001,0.000094,0,25,1,0,GBP/CHF
GBP/JPY,133.27,0.028,-0.322,-0.429,0.01,0.000083,0,30.03,1,0,GBP/JPY
GBP/NZD,1.92798,0.00073,-0.443,-0.325,0.0001,0.000057,0,20,1,0,GBP/NZD
GBP/USD,1.25169,0.00011,-0.408,-0.315,0.0001,0.000088,0,30.03,1,0,GBP/USD
NZD/CAD,0.88019,0.00028,-0.177,-0.215,0.0001,0.000065,0,20,1,0,NZD/CAD
NZD/CHF,0.61369,0.00029,-0.03,-0.367,0.0001,0.000094,0,20,1,0,NZD/CHF
NZD/JPY,69.14,0.02,-0.14,-0.252,0.01,0.000083,0,20,1,0,NZD/JPY
NZD/USD,0.6495,0.00018,-0.197,-0.197,0.0001,0.000088,0,20,1,0,NZD/USD
USD/CAD,1.35525,0.00024,-0.26,-0.318,0.0001,0.000065,0,30.03,1,0,USD/CAD
USD/CHF,0.94486,0.00017,-0.033,-0.548,0.0001,0.000094,0,25,1,0,USD/CHF
USD/JPY,106.46,0.015,-0.208,-0.367,0.01,0.000083,0,30.03,1,0,USD/JPY
